True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	html	java	jpg	kml	kmz	log	pdf	png	ppt	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xml
csv	70	3	0	0	0	17	1	0	0	1	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
doc	0	0	60	1	2	3	0	2	1	0	0	2	0	0	0	0	0	6	2	1	0	0	0	0	0	1	3	0	11	0
docx	0	0	3	21	24	0	0	0	12	0	0	4	0	6	0	0	10	13	0	0	0	5	0	0	0	0	0	0	0	0
dwf	0	0	0	3	54	0	0	0	10	0	0	5	0	5	0	1	6	8	0	0	0	7	0	0	0	0	0	0	1	0
eps	0	0	0	0	0	71	0	0	2	1	1	0	0	0	0	3	0	0	16	2	0	0	1	0	0	0	0	0	0	0
f	0	0	0	0	0	12	33	5	0	0	4	0	0	0	3	1	0	0	3	3	10	0	0	0	3	6	6	4	7	0
fits	0	1	4	1	2	3	3	57	9	0	0	0	0	0	0	1	1	0	1	0	0	6	0	2	0	0	1	0	4	0
gif	0	0	2	0	22	0	0	1	64	0	0	0	0	1	0	0	1	7	0	0	0	5	0	0	0	0	0	0	2	0
html	0	0	0	0	0	9	4	0	0	32	4	0	2	0	7	0	0	0	4	1	1	0	2	0	5	3	5	3	9	10
java	0	0	0	0	0	2	24	0	0	4	43	0	0	0	3	0	0	0	1	0	2	0	0	0	1	0	2	8	5	3
jpg	0	0	0	4	39	0	0	2	11	0	0	3	0	7	0	2	4	14	0	0	0	7	0	5	0	0	0	1	1	0
kml	0	0	0	0	0	3	0	0	0	4	1	0	64	0	3	0	0	0	1	0	0	0	0	0	3	0	3	0	1	18
kmz	0	0	1	6	34	0	0	0	15	0	0	6	0	23	0	1	2	12	0	0	0	2	0	0	0	0	0	0	0	0
log	1	1	0	0	0	31	6	0	0	2	1	0	1	0	13	1	0	0	16	0	3	0	3	0	7	1	3	3	2	2
pdf	0	0	1	2	26	7	0	2	15	0	0	5	0	2	0	15	8	5	7	0	0	5	0	0	0	0	0	0	0	1
png	0	0	0	3	33	0	0	0	34	0	0	1	0	4	0	0	10	9	0	0	0	6	0	0	0	0	0	0	2	0
ppt	0	0	13	6	22	0	0	0	11	0	0	3	0	5	0	0	4	19	0	1	0	5	0	0	0	0	0	0	10	0
ps	0	0	0	0	1	43	1	0	1	0	0	2	0	0	0	3	0	0	45	3	0	0	0	0	0	0	0	0	0	0
rtf	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	82	0	0	1	0	0	0	1	2	6	1
sql	0	0	1	0	0	6	6	2	0	2	0	0	0	0	1	0	0	0	3	0	58	0	0	0	2	8	3	3	5	0
swf	0	0	0	0	25	0	0	0	17	0	0	4	0	4	0	0	2	8	0	0	0	27	0	1	0	1	0	0	7	0
tex	2	0	0	0	0	7	11	0	0	3	0	0	0	0	1	0	0	0	1	7	2	0	40	0	6	2	10	2	4	2
text	2	0	6	1	11	11	8	3	7	0	0	1	0	3	0	1	4	4	3	3	4	0	0	4	1	1	10	1	15	0
tmp	0	0	12	0	0	22	4	0	0	0	0	0	1	0	7	2	0	1	10	5	4	0	1	0	16	0	5	1	3	5
troff	1	0	0	0	0	14	13	0	0	1	0	0	0	0	0	0	0	0	3	3	9	0	0	0	2	43	1	1	10	0
txt	4	2	0	0	0	21	10	7	0	0	0	0	0	0	2	0	0	0	3	0	7	0	2	3	1	3	15	2	21	0
unk	0	1	3	0	4	5	16	16	3	5	5	0	0	1	1	0	0	0	3	2	2	1	0	1	0	3	6	7	18	0
wp	0	0	2	0	1	1	2	2	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	91	0
xml	0	0	0	0	0	11	3	0	0	9	2	0	8	0	2	0	0	0	0	5	1	0	4	0	8	0	2	1	5	38
