True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	rtf	sql	swf	text	tmp	txt	unk	wp	xls	zip
csv	80	0	1	0	0	2	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	2	0	0	2	1	3	0	0	0
dbase3	0	99	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
doc	0	0	42	0	1	1	0	0	6	3	0	1	1	0	1	1	0	1	0	5	0	5	2	0	0	0	3	2	9	12	1
docx	0	0	11	6	0	0	0	0	19	7	0	0	0	0	4	0	2	16	1	1	3	0	0	1	0	0	0	0	5	0	20
dwf	0	0	0	0	7	0	0	0	19	14	0	0	2	0	12	0	3	21	0	0	1	0	0	2	0	0	0	0	1	0	20
eps	1	0	0	0	0	77	0	0	0	0	1	1	0	2	0	1	5	0	0	0	0	3	5	0	0	0	3	0	0	0	0
f	4	3	0	0	0	2	28	0	0	0	9	11	0	0	0	4	0	0	0	0	0	4	16	0	1	3	6	7	3	0	0
fits	0	4	8	0	2	0	1	52	14	2	0	0	0	0	0	1	0	3	0	1	0	0	0	1	0	0	3	4	2	3	1
gif	0	0	1	0	2	0	0	0	71	3	0	0	1	0	0	0	1	14	0	0	0	0	0	2	0	0	0	0	3	0	3
gz	0	0	0	0	2	0	0	0	15	36	0	0	1	0	14	0	2	10	0	0	0	0	0	2	0	0	0	0	1	0	16
hlp	0	0	1	0	0	0	5	0	0	0	72	3	0	0	0	1	0	0	0	0	0	2	1	0	2	0	3	10	4	0	0
java	0	0	0	0	0	0	4	0	0	0	8	62	0	2	0	5	0	0	0	0	0	4	4	0	0	1	1	3	0	0	0
jpg	0	0	0	0	5	0	0	2	20	20	0	0	3	0	12	0	5	17	0	0	0	0	0	1	0	0	0	0	1	0	16
kml	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	3	1	0	0	0	0	0	4	0	0	1	3	0	0	0	0
kmz	0	0	1	3	2	0	0	0	13	15	0	0	1	0	25	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	21
log	2	0	0	0	0	4	3	0	0	0	0	4	0	16	0	35	1	0	0	0	0	5	4	0	2	11	2	2	0	0	0
pdf	0	2	1	0	1	6	0	0	14	11	0	0	3	3	5	2	24	15	0	0	0	0	0	0	0	0	0	2	0	1	11
png	0	0	0	0	2	0	0	0	25	13	0	0	1	0	11	0	1	28	1	0	1	0	0	2	0	0	0	0	1	0	16
pps	0	0	8	0	2	0	0	2	12	12	0	0	3	0	14	0	1	13	1	4	0	0	1	1	1	0	0	0	7	8	13
ppt	1	0	6	1	3	0	0	0	17	10	0	0	1	0	9	0	0	5	0	15	1	2	0	0	0	0	0	0	5	5	10
pptx	0	0	0	2	4	0	0	0	20	16	0	0	3	0	14	0	0	21	1	0	2	1	0	0	0	0	0	0	2	0	14
rtf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	2	1	0	0
sql	2	2	0	0	0	2	4	0	0	0	7	5	0	0	0	10	0	0	0	0	0	5	54	0	1	4	1	2	0	0	0
swf	0	0	3	0	7	0	0	0	19	17	0	0	2	0	8	0	2	9	0	1	0	0	0	13	0	0	0	0	4	2	14
text	6	1	6	0	2	3	2	2	6	2	2	2	0	2	5	2	3	2	0	1	0	10	7	2	5	1	10	5	7	4	0
tmp	2	2	6	0	0	7	0	0	0	0	2	5	0	6	0	25	1	0	0	1	0	8	3	0	0	29	3	2	0	0	0
txt	8	4	3	0	0	4	3	4	0	0	7	0	0	2	0	3	0	0	0	0	0	7	4	0	5	7	25	15	3	0	0
unk	1	0	1	0	0	2	3	3	12	0	6	10	0	2	0	5	0	2	0	1	1	20	3	0	2	0	6	15	2	1	2
wp	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	3	0	10	1	1	0	0	0	6	69	3	0
xls	0	0	27	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	2	0	1	0	1	0	0	1	2	9	56	0
zip	0	0	0	0	4	0	0	0	15	19	0	0	2	0	15	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	22
