True	csv	dbase3	doc	docx	dwf	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	sql	swf	tex	text	troff	txt	unk	wp	xls	zip
csv	81	2	0	0	0	2	0	1	0	1	8	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	3	0	0	0	0	0
dbase3	0	95	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0
doc	0	0	39	1	2	1	1	2	13	3	5	2	0	0	2	1	0	5	0	0	0	0	2	1	1	1	1	2	1	3	12	2
docx	0	0	5	18	6	0	0	5	18	0	0	0	3	0	8	1	2	21	1	0	7	0	0	0	0	0	0	0	0	1	0	3
dwf	0	0	0	2	3	0	0	22	13	0	0	0	4	0	6	0	0	25	0	0	8	0	0	4	0	0	2	0	0	1	0	12
f	2	0	2	0	0	25	1	0	0	7	4	12	0	0	0	2	0	0	0	0	0	0	6	0	2	1	20	12	5	2	0	0
fits	0	2	2	0	0	1	62	7	1	0	0	4	1	0	3	0	0	2	0	0	0	0	0	2	0	0	0	14	0	0	1	0
gif	0	0	0	2	7	0	0	61	3	0	0	0	1	0	1	0	3	13	1	0	0	0	0	2	0	0	0	0	0	0	0	3
gz	0	0	0	2	4	0	0	11	37	0	0	0	1	0	8	0	0	19	3	0	1	0	0	2	0	0	0	0	0	0	0	9
hlp	0	0	0	0	0	2	0	0	0	74	3	6	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	3	1	2	0	0
html	7	1	0	0	0	1	0	0	0	0	55	9	0	4	0	5	0	0	0	0	0	1	0	0	5	0	2	4	2	3	0	0
java	1	0	0	0	0	9	0	0	0	5	6	68	0	0	0	3	0	0	0	0	0	0	1	0	4	0	1	0	1	0	0	0
jpg	0	0	0	2	7	0	0	12	32	1	0	0	4	0	10	0	0	17	0	1	1	0	0	5	0	1	0	0	0	0	0	13
kml	2	0	0	0	0	1	0	0	0	0	5	3	0	83	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
kmz	0	0	1	7	5	0	0	11	18	0	0	0	1	0	28	0	0	16	2	0	1	0	1	1	0	0	0	0	0	0	0	6
log	9	0	0	0	0	6	0	0	0	0	27	1	0	0	0	40	0	0	0	0	0	0	4	0	6	0	3	5	1	0	0	0
pdf	0	0	2	1	3	0	2	6	11	0	3	0	2	2	13	2	13	18	2	0	2	5	0	1	0	0	3	4	0	0	0	2
png	0	0	0	1	8	0	0	22	13	0	0	0	1	0	7	0	4	31	2	0	3	0	0	1	0	0	0	0	0	0	0	7
pps	1	0	5	3	4	1	0	8	20	0	0	0	1	0	5	0	1	21	2	8	1	0	0	1	0	0	0	0	0	4	7	6
ppt	0	0	9	0	2	0	1	10	16	0	1	0	1	0	8	0	3	13	0	6	1	0	0	1	0	1	0	0	0	4	12	8
pptx	0	0	1	6	2	0	0	14	22	1	0	0	1	0	7	0	0	29	1	0	3	0	0	4	0	0	0	0	0	6	0	3
ps	3	3	0	0	0	1	0	0	0	0	5	5	0	0	1	7	4	0	0	0	0	55	0	0	4	0	6	7	0	1	0	1
sql	4	0	1	3	0	8	0	0	0	7	5	3	0	1	0	3	0	0	0	0	0	0	48	0	3	0	14	1	0	2	0	0
swf	0	0	0	3	9	0	0	13	16	0	0	0	1	0	9	0	0	16	0	0	1	0	1	14	0	0	0	0	0	3	8	4
tex	6	0	0	1	0	0	0	0	0	4	7	3	0	2	0	3	0	0	0	0	0	1	5	0	48	2	3	4	5	3	0	0
text	1	0	8	0	0	2	2	11	6	3	1	2	1	1	0	1	5	7	0	2	0	4	4	2	0	5	5	10	3	5	8	1
troff	11	0	0	0	0	4	0	0	0	2	3	4	0	0	0	1	0	0	0	0	0	1	2	0	4	2	57	6	0	3	0	0
txt	12	0	0	0	0	6	1	0	0	8	4	2	0	0	0	0	0	0	0	0	0	0	3	0	1	3	8	40	7	3	0	0
unk	2	5	3	1	1	11	10	2	3	5	8	9	1	1	0	4	1	0	0	0	1	1	1	0	2	0	2	11	4	7	1	1
wp	0	0	5	0	0	2	0	1	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	5	3	71	6	0
xls	0	0	31	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	4	0	0	1	1	0	2	51	0
zip	0	0	0	1	6	0	0	10	28	0	0	0	1	0	8	0	1	24	2	0	7	0	0	0	0	0	0	0	0	0	0	11
