True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	tex	text	tmp	troff	unk	wp	xls	xml
csv	69	0	0	0	0	0	7	0	0	0	0	3	1	0	6	0	0	0	0	0	0	0	1	1	2	2	3	0	9	1	0	0	0
dbase3	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0
doc	0	0	37	0	4	1	2	1	2	3	2	1	0	4	0	0	0	0	0	2	1	2	0	1	1	0	2	0	0	2	9	20	0
docx	0	0	3	11	33	0	0	0	5	10	0	0	0	16	0	7	0	1	5	1	0	8	0	0	0	0	0	0	0	0	1	0	0
dwf	0	0	0	0	32	0	0	8	10	9	0	0	0	25	0	12	0	0	1	3	1	1	0	0	0	0	0	0	0	0	1	0	0
eps	0	0	1	0	0	25	2	4	0	0	0	2	1	0	0	0	2	2	0	0	0	0	46	0	0	2	3	0	6	3	0	1	0
f	0	3	2	0	0	0	44	1	0	0	5	1	3	0	0	0	5	0	0	0	0	0	1	0	2	0	10	0	10	10	5	0	0
fits	0	0	0	0	4	0	1	67	6	1	1	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	2	0	9	0
gif	0	0	0	4	11	0	0	0	52	6	0	0	0	13	0	9	0	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0
gz	0	0	0	0	32	0	0	0	3	21	0	0	0	18	0	18	0	0	3	2	0	5	0	0	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	8	0	0	0	69	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	5	1	0
html	1	0	8	0	0	1	6	2	0	0	1	39	2	0	8	0	5	0	0	0	0	0	2	6	0	0	1	0	2	3	5	0	13
java	0	0	0	0	0	0	14	0	0	0	1	6	50	0	2	0	0	0	0	0	0	0	1	1	4	2	2	3	3	3	0	0	3
jpg	0	0	0	1	35	0	0	1	4	10	0	0	0	21	0	15	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	1	0
kml	0	0	0	0	0	0	0	0	0	0	0	7	0	0	83	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	4
kmz	0	0	1	3	18	0	0	1	2	12	0	0	0	23	0	29	0	1	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0
log	3	0	0	0	0	1	8	0	0	0	1	1	1	0	12	0	38	2	0	0	0	0	6	0	0	7	2	9	2	1	4	0	2
pdf	0	0	0	0	24	2	1	2	7	9	0	2	0	13	3	5	3	19	4	0	1	3	3	0	0	0	0	0	0	1	0	0	0
png	0	0	0	2	35	0	0	0	13	9	0	0	0	17	0	7	0	1	5	0	0	7	0	0	0	0	0	0	0	0	1	0	0
pps	0	0	10	3	24	0	0	1	5	7	0	0	0	13	0	8	0	0	3	2	3	3	0	1	0	0	0	0	0	1	0	13	0
ppt	0	0	8	1	24	0	0	1	8	11	0	0	0	8	0	9	0	0	2	4	7	4	0	0	0	0	0	0	0	0	1	16	0
pptx	0	0	1	6	21	0	0	1	8	13	0	0	0	19	0	11	0	0	3	3	0	12	0	0	0	0	0	0	0	1	1	0	0
ps	1	0	1	0	1	12	2	0	0	0	0	0	0	1	1	0	5	6	0	0	0	1	68	2	0	0	1	0	2	1	0	0	0
rtf	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	87	0	0	0	0	0	2	8	0	0
sql	1	4	0	0	1	2	7	0	0	0	2	3	5	0	0	0	2	0	0	0	0	0	0	0	38	2	0	11	11	3	0	0	3
tex	2	0	6	0	0	0	2	0	0	0	4	8	3	0	1	0	3	0	0	0	0	0	0	5	0	46	2	1	0	4	4	0	5
text	0	1	9	0	6	0	9	4	6	2	0	0	3	4	2	4	0	4	0	0	0	1	3	0	1	0	18	0	8	6	7	4	0
tmp	1	0	0	0	0	2	13	1	0	0	0	1	0	0	2	0	14	0	0	0	0	0	4	2	4	3	7	39	1	3	0	1	0
troff	3	0	1	0	0	0	12	1	0	0	2	8	1	0	1	0	2	0	0	0	0	0	3	1	4	3	4	1	50	4	2	0	0
unk	0	0	10	1	1	0	10	8	2	1	1	7	5	1	0	1	0	0	1	0	0	0	3	2	1	2	8	0	3	17	14	5	0
wp	0	0	5	0	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	75	5	0
xls	0	0	12	0	1	0	0	1	0	1	0	1	0	2	1	1	0	0	0	0	2	2	0	1	1	0	0	0	1	0	6	72	0
xml	0	0	3	0	0	0	6	0	0	0	1	16	3	0	21	0	4	0	0	0	0	0	1	3	1	2	0	2	0	0	5	0	33
