True	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	unk	wp	xls	xml	zip
dbase3	88	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0
doc	0	26	4	3	0	0	1	0	5	0	1	0	2	0	1	0	0	0	0	0	0	0	6	2	2	3	1	0	0	1	8	22	2	2
docx	0	0	18	8	0	0	0	8	19	0	0	0	10	0	2	0	1	6	1	0	7	0	0	0	5	0	0	0	0	0	0	1	0	15
dwf	0	0	5	17	0	0	1	11	15	0	0	0	20	0	0	0	5	3	1	0	2	0	0	0	7	0	0	0	0	0	1	0	0	20
eps	0	0	0	0	37	0	2	0	0	0	2	1	0	0	0	4	4	0	0	0	0	40	1	1	0	0	0	8	1	0	1	1	2	0
f	1	0	0	0	2	25	4	0	0	1	5	5	0	0	0	1	0	0	0	0	0	2	5	3	0	1	1	4	27	7	11	0	0	0
fits	0	0	2	1	0	3	57	5	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	1	12	0	2
gif	0	1	0	6	0	0	0	50	17	0	0	0	12	0	0	0	1	2	0	0	1	1	0	0	5	0	0	0	0	0	1	0	0	4
gz	0	0	0	7	0	0	0	12	33	0	0	0	16	0	0	0	0	5	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	23
hlp	1	0	0	0	0	3	5	0	0	63	0	3	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	2	2	6	7	0	0	0
html	1	0	0	0	1	1	2	0	0	6	29	1	0	7	0	4	4	0	0	0	0	0	3	1	0	1	0	4	4	3	5	0	26	0
java	0	0	0	0	3	10	0	0	0	3	4	50	0	0	0	3	0	0	0	0	0	0	1	4	0	7	0	8	2	0	1	0	2	0
jpg	0	0	3	15	0	0	0	6	20	0	0	0	22	0	0	1	0	5	1	0	4	0	0	0	6	0	1	0	0	0	0	1	0	21
kml	0	0	0	0	0	0	0	0	0	0	1	0	0	71	0	8	1	0	0	0	0	0	0	2	0	1	0	2	1	0	0	0	11	0
kmz	0	0	1	8	0	0	0	12	21	0	0	0	16	0	15	0	1	4	0	0	1	0	0	0	3	0	1	0	0	0	0	1	0	14
log	1	0	0	0	6	10	0	0	0	1	4	1	0	2	0	27	0	0	0	0	0	3	1	4	0	9	2	18	1	4	0	0	3	0
pdf	0	0	2	11	3	0	2	8	11	0	3	0	8	0	2	0	11	2	1	0	2	7	1	0	5	0	1	0	0	0	2	0	0	20
png	0	0	4	7	0	0	1	20	14	0	0	0	19	0	2	0	1	17	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	11
pps	0	4	1	4	0	0	1	7	18	0	0	0	8	0	1	0	2	8	2	1	1	0	0	0	9	0	1	0	0	0	2	14	0	14
ppt	0	9	2	3	0	0	1	10	22	0	0	0	9	0	3	0	0	3	3	2	1	0	1	0	2	0	1	0	0	0	5	20	0	9
pptx	0	0	3	4	0	0	1	12	23	0	0	0	18	0	4	0	2	2	0	0	3	1	0	0	7	0	0	0	0	0	4	1	0	17
ps	0	0	0	0	25	0	0	0	4	0	1	0	0	0	0	0	4	1	0	0	0	54	3	0	0	3	0	3	1	0	0	0	0	0
rtf	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	85	0	0	1	0	0	3	0	6	0	2	0
sql	6	0	0	0	1	4	0	0	0	2	3	6	0	0	0	4	0	0	0	0	0	0	0	43	0	3	0	3	22	4	3	0	3	0
swf	0	1	2	4	0	0	1	15	21	0	0	0	11	0	1	0	2	5	1	0	1	0	0	0	9	0	0	0	0	0	8	4	0	15
tex	1	0	0	0	0	0	0	0	0	4	8	1	0	2	0	3	0	0	0	0	0	0	14	1	0	44	2	6	2	0	7	0	6	0
text	1	2	1	2	2	5	6	3	3	1	0	2	7	0	3	0	0	1	0	0	1	1	7	3	3	1	4	6	5	3	8	9	0	2
tmp	1	1	0	0	5	3	0	0	0	0	5	2	0	4	0	11	3	0	0	0	0	10	1	5	0	0	0	32	1	1	1	5	6	0
troff	0	0	0	0	2	3	0	0	0	4	2	1	0	1	0	3	0	0	0	0	0	5	6	4	0	0	2	6	60	1	3	0	3	0
unk	5	2	1	1	1	10	7	3	2	4	3	3	0	0	0	1	0	0	1	0	0	2	8	1	1	1	3	2	6	9	22	1	1	0
wp	0	2	0	1	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	4	0	1	2	4	1	1	1	60	4	0	0
xls	0	5	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	1	2	1	4	1	5	65	1	0
xml	0	0	0	0	2	1	0	0	0	0	9	4	0	17	0	1	0	0	0	0	0	1	4	4	0	3	1	2	0	0	4	0	39	0
zip	0	0	0	8	0	0	0	6	21	0	0	0	22	0	1	0	1	10	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	27
