True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	80	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	6	0	3	0	1	7	1	0	0	0	0	0
dbase3	0	98	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
doc	0	0	31	3	0	0	0	1	1	1	2	1	0	0	0	3	1	1	0	7	1	0	3	3	2	1	0	0	0	1	6	5	30	1	1
docx	0	0	3	30	9	0	0	0	4	8	0	0	0	6	0	8	0	11	0	1	2	0	0	0	8	0	0	0	0	0	0	2	2	0	7
dwf	0	0	0	7	8	0	0	1	3	4	0	0	0	4	0	20	0	11	0	2	5	0	0	0	16	0	0	0	0	0	0	1	0	0	23
eps	2	0	0	0	0	50	1	1	0	0	0	0	2	0	2	0	0	0	0	1	0	16	4	0	0	4	3	4	2	6	0	0	3	1	0
f	0	2	0	0	0	1	30	1	0	0	1	0	15	0	1	0	3	0	0	0	0	0	2	3	0	4	2	3	5	5	13	5	0	1	0
fits	0	9	0	1	4	0	0	59	7	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	2	0	1	1	0	3	2	0	9	0	0
gif	0	0	0	8	6	0	0	1	34	6	0	0	0	3	0	5	0	8	0	1	1	0	0	0	11	0	0	0	0	0	0	1	0	0	2
gz	0	0	0	17	3	0	0	0	0	21	0	0	0	3	0	12	0	5	0	0	3	0	0	0	15	0	0	0	0	0	0	1	0	0	10
hlp	0	0	0	0	0	0	8	1	0	0	50	0	5	0	0	0	2	0	0	0	0	0	1	3	0	0	1	0	3	1	17	2	0	0	0
html	4	1	0	0	0	0	0	0	0	0	0	28	1	0	11	0	5	0	0	0	0	1	1	3	0	10	1	1	2	0	7	3	0	20	0
java	0	0	0	0	0	0	4	0	0	0	1	3	67	0	0	0	4	0	0	0	0	0	0	5	0	3	0	1	0	0	7	0	0	8	0
jpg	0	0	0	11	7	0	0	2	0	8	0	0	0	7	0	15	0	8	0	1	0	0	0	0	20	0	1	0	0	0	0	1	0	0	15
kml	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	1	0	0	0	0	0	1	1	5	0	1	0	10	0
kmz	0	0	0	12	4	0	0	0	4	14	0	0	0	7	0	24	0	7	0	1	5	0	0	0	8	0	0	1	0	0	0	0	0	0	13
log	7	1	0	0	0	4	4	0	0	0	0	9	1	0	9	0	25	0	0	0	0	0	0	3	0	4	0	15	7	0	1	0	0	11	0
png	0	0	0	17	3	0	0	0	4	9	0	0	0	4	0	11	0	12	0	0	5	0	0	0	17	0	0	0	0	0	0	0	0	0	19
pps	0	0	2	13	4	0	2	1	5	6	0	0	0	7	1	9	0	8	0	8	5	0	0	1	10	0	1	0	0	0	0	2	7	0	11
ppt	0	0	5	15	4	0	0	1	4	5	0	0	0	6	0	8	0	7	0	16	4	1	0	1	9	0	0	0	0	0	0	7	1	0	11
pptx	0	0	1	15	7	0	0	0	5	6	0	0	0	6	0	12	0	8	0	1	2	0	0	0	15	0	0	0	0	0	0	7	0	0	12
ps	3	0	0	0	0	29	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	42	1	2	0	2	0	3	0	3	1	0	0	5	0
rtf	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	90	2	0	3	0	0	1	2	1	3	0	0	0
sql	1	2	0	0	0	0	9	2	0	0	3	2	1	0	1	0	7	0	0	0	0	0	0	58	0	0	0	5	5	0	2	0	0	2	0
swf	0	0	2	11	6	0	0	1	6	7	0	0	0	6	0	6	0	7	0	4	1	0	0	0	23	0	0	0	0	0	1	7	0	0	9
tex	6	0	1	0	0	1	1	0	0	0	3	3	0	0	0	0	3	0	0	0	0	1	3	5	0	46	0	3	0	5	2	5	0	12	0
text	3	0	3	0	1	1	6	2	3	2	1	2	0	1	2	1	1	2	0	3	2	4	0	4	3	1	12	1	5	11	10	7	6	0	1
tmp	1	0	2	0	0	2	3	0	0	0	0	5	2	0	2	0	20	0	0	0	0	2	3	10	0	1	0	23	2	4	2	0	0	13	0
troff	2	0	0	0	0	0	9	0	0	0	2	2	1	0	0	0	3	0	0	0	0	2	2	4	0	7	0	1	52	0	2	1	0	1	0
txt	3	3	0	0	0	0	6	5	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	3	0	7	3	6	10	24	14	13	0	0	0
unk	1	0	5	2	0	0	11	6	1	0	1	2	0	0	0	0	3	1	0	3	0	1	4	1	0	4	1	3	4	5	14	14	11	4	1
wp	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	1	3	0	0	1	1	3	4	0	1	0	3	6	67	6	0	0
xls	0	0	1	1	0	0	1	2	0	1	0	0	0	1	0	0	0	1	0	5	0	0	0	0	1	0	0	0	2	0	2	4	83	0	1
xml	0	0	0	0	0	0	1	0	0	0	0	7	5	0	11	0	5	0	0	0	0	0	2	2	0	5	2	2	3	2	6	3	0	45	0
zip	0	0	0	28	6	0	0	0	1	6	0	0	0	11	0	19	0	5	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0	0	11
