True	doc	eps	f	fits	gz	hlp	html	kml	ppt	ps	tex	text	troff	unk	wp	xml
doc	59	0	1	3	11	0	1	0	10	0	0	4	3	7	4	0
eps	0	58	3	4	0	0	0	0	2	19	0	8	1	1	0	0
f	1	6	37	3	0	7	6	0	0	0	3	2	28	5	7	0
fits	11	0	0	77	2	0	0	0	10	0	0	1	0	2	2	0
gz	1	0	0	2	61	0	0	0	32	0	0	0	0	0	0	0
hlp	0	0	2	0	0	88	0	0	0	0	2	0	7	0	1	0
html	0	0	2	1	0	3	57	8	0	1	3	0	5	3	3	15
kml	1	3	2	0	0	0	4	76	0	0	0	0	1	0	0	4
ppt	25	0	0	1	48	0	0	0	23	0	0	1	0	0	1	0
ps	0	39	0	1	2	0	3	1	3	41	1	2	3	0	0	2
tex	0	2	3	0	0	1	9	3	0	1	52	2	8	8	9	5
text	5	3	12	8	11	7	3	0	13	1	0	23	4	5	4	0
troff	0	1	5	2	0	5	11	2	0	2	1	2	75	2	2	0
unk	7	5	6	9	3	6	14	0	3	3	4	8	5	18	5	0
wp	8	0	1	3	0	1	1	0	3	0	1	1	4	2	72	0
xml	0	0	1	0	0	0	31	22	0	0	1	2	0	2	3	39
