True	dbase3	docx	dwf	gz	html	java	kml	pdf	png	rtf	sql	tex	text	troff	unk	xls	zip
dbase3	98	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
docx	0	48	6	28	0	0	0	0	5	0	0	0	0	0	0	4	20
dwf	0	34	9	20	0	0	0	3	5	0	0	0	1	0	2	1	21
gz	0	28	7	39	0	0	0	0	7	0	0	0	0	0	0	0	20
html	3	0	0	0	58	6	6	0	0	7	2	9	2	1	6	0	0
java	0	0	0	0	6	76	1	0	0	1	3	5	0	0	2	0	0
kml	0	0	0	0	2	1	95	0	0	0	0	1	0	0	0	0	0
pdf	0	23	1	19	2	0	13	26	5	1	0	0	0	0	0	0	16
png	0	34	10	27	0	0	0	1	11	0	0	0	0	0	1	0	18
rtf	0	0	0	0	0	0	0	1	0	86	0	0	0	4	5	0	0
sql	0	0	0	1	5	7	7	0	0	0	68	5	0	6	2	0	0
tex	0	0	0	0	3	6	1	0	0	5	6	61	4	6	8	0	0
text	4	8	2	4	4	2	4	3	1	2	6	0	22	4	15	15	4
troff	0	0	0	0	6	3	3	5	0	2	20	7	5	35	9	6	0
unk	2	7	3	1	4	11	2	1	1	4	6	13	5	5	23	5	1
xls	0	0	0	0	0	1	1	0	0	0	0	1	3	2	4	86	1
zip	0	38	4	30	0	0	0	2	1	0	0	0	0	0	0	0	26
