True	dwf	eps	f	fits	gz	hlp	jpg	kml	png	ppt	pptx	ps	rtf	sql	tex	text	troff	unk	wp
dwf	39	0	0	0	21	0	17	0	14	0	7	0	0	1	0	0	0	0	3
eps	0	47	1	1	0	0	0	0	0	3	0	25	6	1	5	1	4	2	1
f	0	1	35	4	0	2	1	1	0	0	0	4	0	5	4	1	11	18	9
fits	6	0	1	67	4	0	1	0	3	11	1	0	0	1	1	0	0	2	2
gz	31	0	0	0	35	0	14	0	10	2	5	0	0	0	0	0	0	0	1
hlp	0	0	7	1	0	57	0	0	0	0	0	0	0	5	2	0	6	20	7
jpg	37	0	0	2	26	0	13	0	10	3	7	0	0	0	0	0	0	0	2
kml	0	1	0	0	0	0	0	92	0	0	0	0	0	1	3	0	1	0	0
png	44	0	0	0	15	0	10	0	19	5	6	0	0	0	0	0	0	0	0
ppt	28	0	0	1	14	0	15	0	10	26	7	0	0	0	0	0	0	0	2
pptx	27	0	0	0	24	0	13	0	12	8	20	0	0	0	0	0	0	0	1
ps	2	28	0	0	0	0	0	0	0	0	0	51	10	2	2	1	1	2	0
rtf	0	1	0	0	0	0	0	0	1	1	0	3	75	0	8	0	1	7	6
sql	0	3	4	0	0	0	0	0	0	2	0	2	0	61	7	0	6	13	2
tex	0	1	1	0	0	0	0	4	0	0	0	1	3	4	66	0	7	6	12
text	11	3	7	6	9	0	3	1	1	11	2	5	0	1	3	11	5	10	13
troff	0	1	8	1	0	0	0	0	0	0	0	4	1	12	6	1	51	7	4
unk	2	2	9	9	2	0	2	1	0	7	0	4	1	2	8	6	5	22	13
wp	1	0	0	0	0	0	0	0	0	14	0	0	1	0	4	2	1	3	71
