True	csv	dbase3	docx	dwf	eps	fits	hlp	kml	log	pdf	png	ppt	pptx	ps	rtf	sql	unk	wp	xml	zip
csv	79	3	0	0	2	0	0	0	5	0	0	0	0	1	0	8	1	1	0	0
dbase3	0	91	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
docx	0	0	23	21	0	1	0	0	0	4	9	12	0	0	0	0	0	3	0	31
dwf	0	0	6	23	0	1	0	0	0	2	13	8	0	0	0	0	0	0	0	39
eps	0	0	0	0	57	0	0	0	1	5	0	0	0	27	4	4	0	1	0	0
fits	0	1	0	1	1	82	0	0	0	1	2	5	0	0	2	2	1	1	0	2
hlp	0	0	0	0	0	2	65	0	3	0	0	0	0	0	2	8	6	10	1	0
kml	5	0	0	0	2	0	0	92	1	0	0	0	0	0	0	0	0	0	5	0
log	2	0	0	0	10	4	2	5	38	2	0	0	0	16	2	9	4	3	1	0
pdf	0	0	5	7	2	0	0	1	0	35	8	8	0	5	0	0	0	2	2	28
png	0	0	4	21	0	0	0	0	0	4	22	13	1	0	0	0	0	0	0	33
ppt	0	0	5	5	0	2	0	0	0	3	12	41	0	0	1	1	0	6	0	22
pptx	0	0	12	8	0	2	0	1	0	6	12	15	1	0	0	0	0	3	0	32
ps	0	0	0	0	34	0	0	0	2	1	0	0	0	60	7	1	0	2	0	0
rtf	0	0	0	0	3	1	0	0	1	0	0	1	1	6	82	3	0	6	1	0
sql	3	1	2	0	4	1	6	1	5	0	0	0	0	2	0	69	4	1	3	0
unk	0	4	0	0	4	19	5	0	4	1	1	5	0	2	11	8	17	17	1	1
wp	0	0	0	0	0	1	0	0	0	2	0	13	0	1	8	1	2	73	0	0
xml	2	0	0	0	1	0	0	32	6	0	0	0	0	3	4	7	1	2	44	0
zip	0	0	7	17	0	0	0	0	0	1	11	5	0	0	0	0	0	0	0	60
