True	csv	docx	dwf	eps	gif	java	jpg	log	pdf	png	pptx	ps	rtf	sql	swf	tex	troff	unk	wp	xls	xml
csv	82	0	0	0	0	0	0	14	2	0	0	0	0	2	0	1	3	4	0	0	0
docx	0	29	8	0	16	0	5	0	0	9	23	0	0	0	1	0	0	0	1	6	0
dwf	0	10	26	0	22	0	9	0	1	14	18	0	0	0	3	0	0	1	0	0	0
eps	0	0	0	55	0	2	0	7	0	0	0	22	2	2	0	1	0	6	0	2	0
gif	0	2	7	0	80	0	7	0	1	4	4	0	0	0	0	0	0	1	0	0	0
java	0	0	0	0	0	76	0	10	0	0	0	0	0	4	0	2	1	5	0	0	4
jpg	0	6	29	0	24	0	11	0	1	15	11	0	0	0	0	0	0	0	1	2	0
log	0	0	0	1	0	2	0	60	0	0	0	1	0	3	0	1	1	3	0	0	14
pdf	0	9	12	1	19	0	9	2	22	8	4	6	0	0	0	0	0	1	2	1	0
png	0	11	16	0	43	0	7	0	0	12	11	0	0	0	1	0	0	0	1	0	0
pptx	0	20	12	0	28	0	8	0	1	9	19	0	0	0	0	0	0	0	3	1	0
ps	1	0	0	30	0	0	0	8	0	0	0	58	2	0	0	1	0	0	0	1	0
rtf	0	0	0	2	0	1	0	3	0	0	0	3	74	0	1	6	1	12	1	0	0
sql	2	0	0	0	2	11	0	13	0	0	0	0	0	42	0	1	25	8	0	0	4
swf	0	4	10	0	27	0	12	0	1	5	19	0	0	0	12	0	0	0	1	4	0
tex	2	0	0	0	0	2	0	22	0	0	0	1	5	1	0	46	0	12	0	0	6
troff	4	0	0	1	0	5	0	12	0	0	0	2	1	3	0	0	58	15	0	0	2
unk	1	1	1	2	6	11	0	7	1	0	1	1	0	1	0	1	1	45	0	6	4
wp	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	2	0	16	69	11	1
xls	0	1	0	0	2	0	1	0	0	1	1	0	0	0	1	0	2	2	8	80	0
xml	3	0	0	0	0	5	0	12	0	0	0	0	0	1	0	1	0	10	0	0	65
