True	csv	dbase3	doc	dwf	f	gif	hlp	java	jpg	kml	kmz	log	pdf	ppt	pptx	ps	rtf	sql	swf	tmp	txt	xls	xml
csv	81	2	0	0	7	0	2	0	0	0	0	0	1	0	0	1	1	2	0	0	3	0	2
dbase3	0	100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
doc	0	0	44	1	3	5	1	0	7	0	1	0	2	4	4	0	4	1	2	0	5	14	2
dwf	0	0	0	9	0	27	0	0	18	0	7	0	13	3	14	0	0	0	8	0	0	0	0
f	1	1	2	0	49	0	8	19	0	0	0	4	1	0	0	2	1	3	0	6	8	1	0
gif	0	0	2	4	0	67	0	0	8	0	5	0	6	3	3	0	0	0	1	0	0	0	0
hlp	0	0	2	0	2	0	87	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
java	0	0	2	0	7	0	4	73	0	1	0	1	0	0	0	0	0	1	0	1	0	0	7
jpg	0	0	0	8	0	23	0	0	21	1	12	0	10	6	15	0	0	0	6	0	0	2	0
kml	0	0	0	0	1	0	0	0	0	70	0	4	0	0	0	0	0	0	0	1	6	0	13
kmz	0	0	0	7	0	13	0	0	15	0	25	0	14	7	11	0	0	0	4	0	0	0	0
log	1	5	0	0	10	0	1	3	0	0	0	53	1	0	0	9	0	3	0	8	7	0	3
pdf	0	0	1	11	0	23	0	0	9	1	5	1	30	0	6	9	1	0	5	0	0	1	0
ppt	0	0	11	3	0	25	0	0	17	0	7	0	9	14	13	0	0	0	1	0	0	10	0
pptx	0	0	3	6	0	31	0	0	12	0	12	0	8	1	16	0	0	2	1	0	0	0	0
ps	2	1	1	0	1	0	1	0	1	0	0	4	2	0	0	73	5	0	0	0	5	1	2
rtf	0	0	6	0	0	0	6	0	0	0	0	1	0	0	0	1	85	0	0	1	4	0	0
sql	0	2	0	0	13	0	15	10	0	0	0	3	0	0	0	0	0	38	0	0	6	0	5
swf	0	0	2	9	0	38	0	0	16	0	4	0	16	3	11	0	0	0	1	0	0	3	0
tmp	4	1	4	0	3	0	0	5	0	4	0	18	3	1	0	1	0	5	0	31	16	4	4
txt	2	2	3	0	11	0	17	3	0	0	0	0	5	0	0	6	0	2	0	2	38	0	4
xls	0	0	32	0	2	0	1	0	3	0	1	0	1	2	0	0	2	0	1	0	1	53	1
xml	0	0	1	0	4	0	2	5	0	16	0	6	0	0	0	1	5	0	0	3	1	0	54
