True	csv	dbase3	doc	docx	dwf	f	gif	html	jpg	kmz	log	pdf	png	rtf	sql	swf	tex	text	tmp	troff	txt	xls	xml	zip
csv	70	0	0	0	0	3	0	3	0	0	2	0	0	2	5	0	4	1	3	0	1	0	1	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
doc	0	0	58	1	0	0	1	1	1	3	1	3	3	5	1	0	17	1	0	0	1	6	0	3
docx	0	0	5	27	0	0	5	0	8	20	0	2	17	0	0	0	0	0	0	0	0	0	0	12
dwf	0	0	0	13	7	0	8	0	12	19	0	10	23	0	0	2	0	0	0	0	0	0	0	16
f	1	4	0	0	0	25	0	3	0	0	4	0	0	2	20	0	22	0	13	3	6	0	0	0
gif	0	0	0	2	1	0	42	0	9	7	0	7	15	0	0	0	0	0	0	0	0	0	0	8
html	0	3	0	0	0	1	0	39	0	0	2	2	0	6	2	0	25	0	4	0	3	0	13	0
jpg	0	4	1	14	2	0	3	0	16	21	0	9	15	0	0	0	0	1	0	0	0	0	0	16
kmz	0	0	3	10	0	0	2	0	13	28	0	8	21	0	1	0	0	0	0	0	0	0	0	16
log	1	0	0	0	0	5	0	8	0	0	14	1	0	6	5	0	20	0	27	0	2	0	5	0
pdf	0	2	1	8	1	0	4	3	18	12	0	27	9	1	0	1	0	0	6	0	2	1	4	10
png	0	0	0	13	2	0	12	0	14	11	0	13	24	0	0	1	0	1	0	0	0	0	0	17
rtf	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	13	0	1	0	0	0	0	0
sql	0	3	0	0	0	4	0	0	0	0	1	0	0	0	53	0	19	0	8	0	0	0	6	0
swf	0	0	4	10	1	0	14	0	13	15	0	9	8	0	0	5	0	1	0	0	0	5	0	11
tex	0	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	79	0	7	0	3	0	1	0
text	1	2	14	4	1	4	4	0	4	5	2	6	3	6	4	0	18	6	4	0	7	1	0	7
tmp	0	0	2	0	0	2	0	7	0	0	1	0	0	0	5	0	11	0	56	0	6	0	1	0
troff	4	0	0	0	0	16	0	5	0	0	4	2	0	2	13	0	22	1	16	20	2	0	1	0
txt	1	4	0	0	0	0	0	2	0	0	4	2	0	9	5	0	32	2	16	3	12	0	1	0
xls	0	1	41	0	0	0	1	0	1	1	0	1	0	6	0	0	2	0	3	0	0	42	0	0
xml	0	0	0	0	0	1	0	11	0	0	2	2	0	5	4	0	27	0	3	0	3	0	48	0
zip	0	0	0	13	2	0	2	0	23	15	0	9	15	0	0	0	0	0	0	0	0	0	0	20
