True	csv	dwf	eps	f	gif	hlp	java	jpg	kmz	log	png	pps	ppt	pptx	ps	rtf	swf	tex	text	tmp	troff	txt	unk	wp	zip
csv	75	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	10	1	5	5	1	0	0	0
dwf	0	8	0	0	8	0	0	0	7	0	13	1	1	30	0	0	11	0	0	0	0	0	0	0	17
eps	5	0	42	0	0	0	7	1	0	8	0	1	1	0	15	1	0	3	1	6	3	0	0	3	0
f	0	0	4	22	0	1	29	0	0	1	0	0	0	0	0	0	1	5	3	4	20	11	3	4	0
gif	0	7	0	0	22	0	0	0	1	0	18	1	0	23	0	0	14	0	0	0	0	0	0	0	9
hlp	0	0	0	1	0	79	14	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	5	0
java	3	0	0	2	0	4	67	0	0	2	0	0	0	0	0	1	0	3	0	0	1	2	0	3	0
jpg	0	10	0	0	2	0	0	3	7	0	15	5	0	39	0	0	5	0	0	0	0	1	0	0	15
kmz	0	8	0	0	3	0	0	0	26	0	7	4	1	29	0	0	6	0	0	0	0	0	0	0	16
log	6	0	0	3	0	1	8	0	0	54	0	0	0	0	1	6	0	14	0	6	5	3	1	0	0
png	0	5	0	0	6	0	0	0	4	0	19	1	0	35	0	0	13	0	2	0	0	0	0	0	19
pps	0	3	0	0	7	0	0	0	4	0	14	5	14	33	0	0	6	0	0	0	0	0	0	0	11
ppt	0	3	0	1	3	0	0	1	8	0	10	9	18	24	0	0	7	0	1	0	0	0	0	4	11
pptx	0	3	0	0	5	0	0	1	5	0	10	1	3	30	0	0	6	0	0	0	0	0	0	4	23
ps	5	0	26	0	0	0	6	0	0	8	0	0	0	1	38	1	1	2	0	3	1	1	0	0	0
rtf	0	0	9	0	1	0	0	0	0	0	0	0	1	0	1	78	0	5	0	1	1	1	2	3	0
swf	0	4	0	0	2	0	0	0	6	0	12	4	0	35	0	0	26	0	0	0	0	0	0	4	11
tex	4	0	0	0	0	2	10	0	0	9	0	0	0	0	0	0	0	54	0	3	2	2	1	4	0
text	6	1	3	1	3	0	2	0	0	2	8	5	8	3	1	2	5	0	12	5	4	12	6	13	3
tmp	5	0	2	2	0	1	6	0	0	26	0	0	1	0	5	6	0	8	0	30	6	4	3	0	0
troff	4	0	2	6	0	0	16	0	0	6	0	0	0	0	7	1	0	1	0	2	52	1	1	5	0
txt	8	0	5	11	0	2	5	0	0	3	0	0	0	0	3	0	0	2	2	6	9	23	3	16	0
unk	0	1	1	12	1	7	15	0	0	1	4	2	4	1	1	1	4	3	2	2	5	9	9	12	0
wp	0	0	1	0	0	0	3	0	0	0	0	3	7	0	0	0	3	0	2	1	4	2	3	76	0
zip	0	4	0	0	2	0	0	2	3	0	15	0	1	44	0	0	5	0	0	0	0	0	0	1	26
