True	csv	dbase3	doc	docx	eps	fits	gz	html	java	jpg	kml	kmz	log	pdf	pps	ppt	pptx	rtf	sql	swf	tex	tmp	troff	txt	unk	wp	xml	zip
csv	90	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	0
dbase3	0	94	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
doc	2	0	51	0	0	0	1	2	0	0	0	6	0	1	1	4	3	2	3	4	0	0	1	0	2	14	3	0
docx	0	0	6	10	0	0	4	0	0	0	0	33	0	2	0	0	15	0	0	13	0	0	0	0	0	6	0	8
eps	3	0	0	0	63	0	0	5	4	0	0	0	3	1	0	0	0	9	0	0	1	0	2	1	3	0	5	0
fits	0	1	8	0	0	54	3	0	1	0	0	3	0	2	5	1	6	0	0	8	0	0	0	0	5	1	0	1
gz	0	0	0	6	0	0	14	0	0	1	0	39	0	0	1	2	12	0	0	17	0	0	0	0	0	0	0	12
html	1	0	0	0	0	1	0	50	4	0	3	0	1	0	1	0	0	0	0	0	1	1	1	2	1	5	25	0
java	2	0	0	0	0	0	0	5	68	0	0	0	2	1	0	0	0	0	5	0	0	0	1	0	3	0	10	0
jpg	0	0	0	9	0	2	9	0	0	4	1	40	0	3	1	2	15	0	0	6	0	0	0	0	0	1	0	8
kml	7	0	0	0	0	0	0	4	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
kmz	0	0	1	9	0	0	5	0	0	0	0	49	0	3	1	3	12	0	0	8	0	0	0	0	0	1	0	8
log	6	0	0	0	1	1	0	20	12	0	2	0	25	1	0	0	0	0	2	0	3	4	2	0	3	1	14	0
pdf	0	0	1	2	4	0	2	3	0	0	0	13	0	28	1	0	12	0	0	24	0	0	0	0	1	1	3	9
pps	0	0	8	2	0	2	6	0	0	5	0	29	0	0	2	11	14	0	0	5	0	0	0	0	1	4	0	13
ppt	0	0	11	6	1	2	3	0	0	1	0	27	0	3	3	16	12	0	0	7	0	0	0	0	0	1	0	9
pptx	0	0	0	9	0	0	7	0	0	2	0	27	0	0	2	2	28	0	0	13	0	0	0	0	0	3	0	6
rtf	0	0	0	0	2	0	0	4	0	0	0	0	1	0	0	0	0	74	0	1	1	0	1	0	2	8	4	0
sql	4	0	0	0	0	0	0	10	10	0	0	0	3	0	0	0	0	0	54	1	0	0	6	0	3	0	8	0
swf	0	0	1	4	0	0	1	0	0	0	0	33	0	6	2	2	13	0	0	30	0	0	0	0	0	2	0	9
tex	0	0	0	0	1	0	0	19	5	0	1	0	3	0	0	0	0	1	4	0	40	5	0	0	4	5	15	0
tmp	8	1	10	0	1	0	0	8	9	0	1	0	11	0	0	0	0	2	3	0	7	20	2	3	1	0	9	0
troff	8	0	0	0	3	0	0	10	7	0	0	0	1	0	0	0	0	1	7	0	3	1	45	2	5	4	3	0
txt	9	6	0	0	2	3	0	9	3	0	1	0	3	2	0	0	0	0	1	0	3	5	5	19	12	12	6	0
unk	1	0	4	1	2	6	0	10	18	0	0	2	0	0	2	2	1	2	2	0	1	1	1	1	18	11	6	0
wp	0	0	7	0	0	1	0	0	2	0	0	1	0	0	1	4	0	0	2	3	0	0	1	0	6	69	1	0
xml	0	0	0	0	0	0	0	10	3	0	11	0	2	0	0	0	0	1	1	0	1	0	0	1	2	4	67	0
zip	0	0	0	8	0	0	6	0	0	0	0	45	0	3	1	1	19	0	0	11	0	0	0	0	0	0	0	9
