True	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	html	java	jpg	kml	kmz	pdf	png	pps	ppt	ps	rtf	swf	tex	text	tmp	troff	unk	wp	xls	xml
dbase3	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
doc	0	35	0	2	0	1	0	1	4	14	1	0	1	1	0	2	0	1	0	1	1	1	2	3	1	3	2	26	0
docx	0	5	22	10	0	0	0	1	12	0	0	8	0	4	0	14	5	2	0	0	14	0	0	1	0	0	1	2	0
dwf	0	0	6	16	0	0	0	6	18	0	0	4	0	7	1	20	10	0	0	0	4	0	0	1	0	0	0	0	0
eps	0	1	0	0	48	0	0	2	0	3	6	0	0	0	1	0	0	0	30	2	1	1	3	6	0	0	0	0	0
f	0	0	0	0	1	16	0	0	0	16	28	0	0	0	0	0	0	0	1	0	0	3	7	11	14	3	0	0	0
fits	5	0	2	6	1	1	46	4	2	1	1	0	0	1	0	1	3	1	0	1	2	0	5	4	0	0	3	7	0
gif	0	1	0	11	0	0	0	48	15	0	0	1	0	1	0	12	7	0	0	0	4	0	0	0	0	0	0	0	0
gz	0	0	8	24	0	0	0	4	33	0	0	6	0	3	1	11	7	0	0	0	7	0	0	0	0	0	0	0	0
html	2	0	0	0	0	0	0	0	0	44	14	0	4	0	1	0	0	0	0	1	0	3	2	12	0	0	0	0	12
java	0	0	0	0	0	1	0	0	0	1	83	0	0	0	0	0	0	0	0	0	0	1	0	6	4	0	0	0	3
jpg	0	0	8	9	0	0	1	7	20	0	0	9	0	1	0	20	18	0	0	0	10	0	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	0	0	4	0	0	86	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	7
kmz	0	0	6	6	0	0	0	2	19	0	0	13	0	10	1	14	14	0	0	0	8	0	0	0	0	0	0	0	0
pdf	0	0	1	11	0	0	1	5	7	1	0	4	1	1	22	19	11	0	16	0	7	0	2	0	0	1	0	0	0
png	0	0	4	15	0	0	0	10	14	0	0	4	0	1	1	25	10	1	0	0	14	0	0	0	0	0	0	0	0
pps	0	10	7	10	0	0	0	3	14	0	0	3	1	0	0	14	8	4	0	0	8	0	1	0	0	0	3	9	0
ppt	0	17	5	10	0	0	1	9	15	0	0	2	0	6	0	8	9	5	0	0	4	0	0	2	0	0	3	12	0
ps	0	0	0	0	20	0	0	0	1	1	8	0	0	0	1	1	0	0	57	4	0	2	0	4	2	0	0	1	0
rtf	0	2	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	1	5	79	0	1	0	1	0	3	0	0	1
swf	0	0	4	10	0	0	1	11	16	0	0	5	0	2	1	11	15	0	0	1	20	0	0	0	0	0	3	1	0
tex	0	0	0	0	0	1	0	0	0	12	13	0	0	0	0	0	0	0	0	3	0	49	4	15	3	1	0	0	3
text	0	9	1	3	0	2	3	3	7	15	3	1	0	0	0	3	3	0	2	2	1	0	13	8	6	4	2	4	0
tmp	0	2	0	0	0	0	0	0	0	11	3	0	3	0	0	0	0	0	4	1	0	7	2	64	3	0	0	2	0
troff	0	0	0	0	0	2	0	0	0	16	16	0	0	0	0	0	0	0	3	0	0	1	2	5	46	3	1	0	0
unk	1	1	0	4	0	9	1	1	1	17	23	0	0	0	0	1	0	1	4	0	1	1	5	9	3	18	1	0	0
wp	0	3	0	0	0	1	0	3	0	9	0	0	0	0	1	0	0	0	0	1	6	1	4	1	0	6	66	2	0
xls	0	8	0	0	0	2	1	0	1	1	0	1	2	0	0	0	0	1	2	0	2	0	3	1	2	1	4	61	0
xml	0	0	0	0	0	0	0	0	0	21	7	0	10	0	0	0	0	0	0	1	0	1	1	12	0	2	0	0	40
