True	csv	dbase3	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kmz	log	png	pps	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	unk	wp	xml	zip
csv	64	0	0	0	0	2	0	0	0	1	4	0	0	0	1	0	0	0	3	0	5	0	0	1	7	9	1	0	0	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
docx	0	0	13	10	0	0	0	9	10	0	0	0	11	2	0	19	1	1	0	0	0	3	0	0	0	0	0	3	0	14
dwf	0	0	5	11	0	0	0	10	4	0	0	0	13	7	0	9	0	3	0	0	0	9	0	2	0	0	0	0	0	24
eps	1	0	0	0	47	0	2	2	0	0	4	3	0	0	4	0	0	0	21	6	0	0	0	2	2	1	4	0	3	0
f	0	0	0	0	0	28	1	0	0	5	3	14	0	0	1	0	0	0	2	1	3	0	2	1	8	14	8	0	0	0
fits	0	3	6	0	2	2	55	7	1	1	0	0	2	1	1	3	3	1	0	0	2	4	0	1	1	0	2	2	0	2
gif	0	0	2	6	0	0	0	52	8	0	0	0	5	2	0	9	5	1	0	0	0	5	0	0	0	0	0	0	0	4
gz	0	0	2	14	0	0	0	3	19	0	0	0	13	3	0	20	0	0	0	0	0	4	0	0	0	0	0	0	0	22
hlp	0	0	0	0	0	3	0	0	0	70	0	4	0	0	0	0	0	0	0	1	5	0	1	3	0	4	9	0	1	0
html	1	2	0	0	0	2	0	0	0	0	37	2	0	0	4	0	0	0	1	10	2	0	2	3	3	6	7	0	24	0
java	0	0	0	2	2	4	0	0	0	2	3	60	0	0	2	0	0	0	3	3	6	0	2	0	2	5	5	0	1	0
jpg	0	0	6	12	0	0	1	8	4	0	0	0	16	4	0	18	2	0	0	0	0	4	0	2	0	0	2	0	0	22
kmz	0	0	0	11	0	0	0	9	9	0	0	0	10	26	0	11	1	0	0	0	0	3	0	0	0	0	0	0	0	23
log	1	1	0	0	4	8	0	0	0	1	13	2	0	0	22	0	0	0	3	0	5	0	4	1	12	4	4	0	11	0
png	0	0	5	16	0	0	0	17	3	0	0	0	10	3	0	11	3	3	0	0	0	9	0	0	0	0	0	0	0	17
pps	0	0	2	14	0	0	1	4	2	0	1	0	13	6	0	9	11	1	0	0	0	9	0	5	0	0	0	3	0	21
pptx	0	0	4	11	0	0	0	8	4	0	0	0	14	6	0	16	3	1	0	2	0	8	0	1	0	0	0	3	0	16
ps	4	0	0	2	17	1	0	1	0	0	2	3	2	0	0	1	0	0	56	10	0	0	0	0	2	2	0	0	0	0
rtf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	92	0	0	0	1	0	1	3	0	1	0
sql	0	1	0	0	2	5	0	0	0	2	7	8	0	0	0	0	0	0	0	3	48	0	2	1	3	9	3	0	4	0
swf	0	0	1	13	0	0	0	13	8	0	0	0	7	2	0	14	1	3	0	0	0	20	0	1	0	0	0	2	0	22
tex	1	0	0	0	0	0	0	0	0	5	7	2	0	0	1	0	0	0	1	12	2	0	47	2	1	3	7	0	12	0
text	4	0	0	4	1	2	7	3	4	0	1	0	3	0	0	1	4	0	2	3	2	1	3	11	5	5	16	0	2	7
tmp	1	0	0	0	5	0	0	0	0	0	9	1	0	0	10	0	1	0	4	3	6	0	13	6	26	4	3	0	9	0
troff	3	2	0	0	1	17	0	0	0	2	3	2	0	0	3	0	0	0	5	2	6	0	1	1	7	37	5	0	1	0
unk	0	3	4	0	0	10	11	2	0	2	6	5	0	0	0	2	2	0	0	4	2	1	1	5	4	5	29	2	0	2
wp	0	0	2	1	0	7	0	2	0	2	1	0	0	0	0	1	5	0	0	6	0	2	1	5	0	4	15	45	0	0
xml	0	0	0	0	0	0	0	0	0	1	12	2	0	0	3	0	0	0	1	13	2	0	6	1	0	0	5	1	52	0
zip	0	0	3	23	0	0	0	6	6	0	0	0	18	3	0	6	2	2	0	0	0	4	0	1	0	0	0	0	0	29
