True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	jpg	kml	log	pdf	png	pps	ppt	pptx	ps	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	zip
csv	72	4	0	0	0	4	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	9	1	1	2	0	0
dbase3	0	92	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0
doc	0	0	17	0	2	0	1	0	2	0	0	0	0	0	0	4	1	2	2	0	1	4	2	1	0	2	0	0	19	38	1
docx	0	0	1	8	7	0	0	0	9	4	0	0	0	0	0	20	6	2	15	0	0	14	0	0	0	0	0	0	5	7	1
dwf	0	0	0	2	8	0	0	1	12	6	0	5	0	0	0	25	11	3	7	0	0	17	0	0	0	0	0	0	0	0	1
eps	0	0	0	0	0	68	0	3	0	1	0	0	0	1	4	0	1	0	0	15	1	0	1	1	1	5	1	0	2	2	0
f	1	3	0	0	0	3	30	3	0	0	4	0	0	5	0	0	0	0	0	2	4	0	0	2	0	15	5	7	17	0	0
fits	0	2	0	0	1	0	3	54	10	0	0	0	0	0	1	2	0	0	4	0	0	4	0	0	0	0	4	2	1	11	0
gif	0	0	0	2	9	0	1	1	51	2	0	2	0	0	0	17	3	0	4	0	0	8	0	0	0	0	0	0	0	0	1
gz	0	0	0	6	9	0	0	0	5	7	0	2	0	0	0	28	12	5	7	0	0	14	0	0	0	0	0	0	0	0	1
hlp	0	0	1	0	0	0	4	0	0	0	57	0	0	0	0	0	0	0	0	0	2	0	5	4	0	2	5	4	14	0	0
jpg	0	0	0	4	11	0	0	2	9	8	0	5	0	0	0	20	11	2	9	0	0	17	0	0	0	0	0	0	0	2	1
kml	0	0	0	0	0	2	0	0	0	0	0	0	76	5	0	0	0	0	0	0	2	0	13	0	1	1	1	0	1	0	0
log	6	0	0	0	0	14	6	0	0	0	0	0	0	26	0	0	0	0	0	3	2	0	9	5	3	9	3	7	3	0	0
pdf	0	0	0	0	8	4	0	1	18	5	0	1	2	3	9	12	6	2	5	12	0	5	0	2	2	1	0	0	0	0	0
png	0	0	0	2	13	0	0	0	27	2	0	4	0	0	0	22	11	1	12	0	0	7	0	0	0	0	0	0	1	2	2
pps	0	0	1	4	12	0	1	1	8	7	0	1	0	0	0	20	7	2	9	0	0	10	0	0	0	1	0	0	6	10	1
ppt	0	0	4	2	6	0	0	2	12	5	0	1	0	2	0	17	10	6	7	0	0	6	0	0	0	0	0	0	11	21	2
pptx	0	0	1	3	7	0	0	1	9	5	0	4	0	0	0	31	9	5	15	0	0	8	0	0	0	0	0	0	1	2	2
ps	3	0	0	0	0	36	1	0	0	1	1	0	0	2	1	1	0	0	0	38	0	2	5	1	0	7	0	1	3	0	0
sql	3	1	0	0	0	1	5	0	0	0	1	0	0	1	0	0	0	0	0	1	47	0	4	6	2	12	1	5	13	0	0
swf	0	0	0	1	16	0	0	0	14	0	0	2	1	0	0	19	7	6	5	0	0	19	0	0	0	0	0	0	2	3	1
tex	3	0	0	0	0	1	8	0	0	0	5	0	0	6	0	0	0	0	0	1	0	0	49	4	3	0	3	2	11	0	0
text	3	0	2	0	3	4	3	2	9	2	1	0	0	1	2	8	5	2	2	1	2	2	1	7	1	5	5	1	14	10	0
tmp	4	2	2	0	0	11	9	0	0	0	2	0	2	19	2	0	0	1	0	2	6	1	8	0	11	8	3	0	5	3	0
troff	5	3	0	0	0	0	8	0	0	0	1	0	0	1	0	0	0	0	0	3	6	0	2	0	3	47	1	4	11	0	0
txt	8	3	0	0	0	15	3	0	0	0	3	0	0	0	1	0	0	0	0	3	0	0	1	4	2	6	13	6	25	3	0
unk	0	0	2	2	3	3	7	4	0	0	4	0	0	0	0	3	0	2	0	0	1	2	3	0	0	15	6	9	33	6	0
wp	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	1	79	9	0
xls	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	9	70	0
zip	0	0	0	5	18	0	0	0	10	4	0	5	0	0	0	21	8	1	10	0	0	18	0	0	0	0	0	0	0	0	3
