True	csv	dbase3	doc	dwf	eps	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	79	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	1	0	2	0	1	8	3	2	0	0	1	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	30	3	0	0	2	3	1	0	1	1	0	3	0	0	1	1	6	0	1	1	0	2	1	0	1	2	0	8	28	1	1
dwf	0	0	0	23	0	1	9	14	0	0	0	5	0	9	0	4	8	1	1	0	0	0	3	0	0	0	0	0	0	1	0	0	20
eps	5	1	0	0	42	0	0	0	0	1	3	0	1	0	4	1	0	0	1	21	6	1	0	1	0	4	1	5	1	0	1	1	0
fits	0	4	0	1	1	55	3	0	1	0	0	0	0	2	2	2	3	1	0	0	0	1	1	0	2	1	0	4	3	4	6	0	1
gif	0	0	2	10	0	2	37	10	0	0	0	3	0	3	0	1	9	0	1	0	0	0	5	0	1	0	0	0	0	2	0	0	6
gz	0	0	0	23	0	0	5	30	0	0	0	5	0	9	0	3	5	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	15
hlp	0	0	0	0	0	1	0	0	71	2	5	0	0	0	0	0	0	0	0	0	0	4	0	2	1	0	1	2	5	3	0	1	0
html	0	1	0	0	1	2	0	0	1	27	6	0	3	0	6	0	0	0	0	0	2	2	0	15	1	5	5	2	5	2	0	13	0
java	1	0	0	0	0	0	0	0	4	2	67	0	0	0	3	0	0	0	0	0	0	6	0	9	0	4	3	2	1	0	0	1	0
jpg	0	0	2	17	0	0	5	15	0	0	0	11	0	8	0	3	10	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	22
kml	2	0	0	0	0	0	0	0	0	3	0	0	76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10	0
kmz	0	0	0	13	0	0	5	22	0	0	0	6	0	26	0	0	2	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	20
log	10	2	0	0	2	0	0	0	0	6	9	0	3	0	36	0	0	0	0	0	0	1	0	7	0	5	1	9	1	0	0	5	0
pdf	1	0	1	10	2	0	13	11	0	1	0	4	2	8	0	19	3	1	0	4	1	0	0	0	0	0	0	1	0	1	0	1	13
png	0	0	0	15	0	1	11	8	0	0	0	9	0	13	0	0	27	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	13
pps	0	0	1	17	0	2	9	12	0	0	0	4	0	6	0	0	11	4	4	0	1	0	1	0	1	0	0	0	0	3	13	0	9
ppt	0	0	8	15	1	0	8	16	0	0	0	3	0	7	0	1	4	4	9	0	0	1	1	0	0	2	0	0	1	7	8	0	7
ps	2	0	0	0	33	0	0	0	0	0	6	0	1	1	3	1	0	0	0	39	8	0	0	2	0	1	0	4	0	0	0	0	1
rtf	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	77	0	0	5	0	0	2	0	1	5	1	1	0
sql	4	1	0	0	2	1	0	0	4	2	3	0	0	0	2	0	0	0	0	0	0	59	0	5	0	4	5	2	1	0	0	5	0
swf	0	0	1	16	0	0	3	12	0	0	0	6	0	13	0	0	10	1	1	0	0	0	11	0	0	0	0	0	1	3	1	0	21
tex	5	0	0	0	0	0	0	0	4	5	3	0	0	0	2	0	0	0	0	0	1	3	0	68	0	1	2	0	0	4	0	4	0
text	4	0	3	9	0	3	6	3	1	0	0	4	0	1	2	2	3	0	0	2	0	3	0	5	7	1	5	19	3	4	5	0	8
tmp	6	0	0	0	0	0	0	0	0	4	4	0	0	0	18	3	0	0	1	0	4	8	0	5	1	23	0	19	1	1	0	6	0
troff	8	1	0	0	2	0	0	0	0	1	5	0	0	0	11	0	0	0	0	2	2	4	0	7	0	1	50	3	2	0	0	3	0
txt	11	4	0	0	0	1	0	0	3	2	2	0	0	0	3	0	0	0	0	1	2	7	0	9	0	3	7	27	8	13	0	0	0
unk	3	0	0	2	2	5	3	2	4	6	9	0	0	0	1	0	2	1	1	2	2	6	1	5	4	0	0	9	14	11	3	2	0
wp	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	3	0	2	3	2	1	0	2	3	77	2	0	0
xls	0	1	10	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	0	0	3	1	0	0	1	4	1	2	8	61	0	0
xml	0	0	0	0	1	2	0	0	0	10	5	0	9	0	6	0	0	0	0	0	0	2	0	10	0	4	0	1	3	4	0	46	0
zip	0	0	0	26	0	0	3	20	0	0	0	8	0	10	0	0	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21
