True	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
dbase3	78	0	0	0	0	1	4	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0
doc	0	22	1	0	0	5	0	3	0	0	2	2	1	7	1	0	2	2	7	2	0	0	1	0	1	0	1	0	4	3	6	23	2	0
docx	0	3	16	4	0	0	1	6	2	0	0	0	7	25	0	0	3	5	0	14	0	0	0	1	0	0	2	0	0	0	3	1	0	6
dwf	0	0	10	10	0	0	0	6	14	0	0	0	4	21	0	1	8	4	1	10	0	0	0	6	0	0	0	0	0	0	0	0	0	8
eps	0	0	0	0	29	0	0	0	0	0	3	1	0	0	13	0	0	1	2	0	17	0	0	0	1	0	10	3	10	1	1	0	2	0
f	0	0	0	0	0	35	1	0	0	1	0	18	0	0	11	0	0	0	0	0	0	0	7	0	4	1	6	3	7	8	0	0	0	0
fits	0	0	5	1	1	10	61	3	0	0	0	0	1	1	1	0	0	1	1	2	0	0	0	2	0	1	1	0	0	2	1	9	0	0
gif	0	1	4	3	0	0	0	49	5	0	0	0	4	15	0	0	3	5	0	3	0	0	0	4	0	0	2	0	0	0	1	0	0	1
gz	0	0	8	3	0	0	0	5	30	0	0	0	9	15	0	0	3	11	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	3
hlp	0	0	0	0	0	11	0	0	0	73	0	8	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	1	1	2	0	0	0	0
html	0	0	0	0	0	4	0	0	0	1	26	7	0	0	12	1	0	0	0	0	0	0	1	0	12	0	1	1	7	6	5	0	17	0
java	0	0	0	0	1	13	0	0	0	1	3	73	0	0	3	1	0	0	0	0	0	0	3	0	2	0	0	2	0	2	0	0	0	0
jpg	0	0	14	2	0	0	0	6	10	0	0	0	4	28	0	0	4	4	2	13	0	0	0	2	0	0	0	0	0	0	1	1	0	6
kmz	0	0	10	6	0	0	0	5	14	0	0	0	1	44	0	0	4	11	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2
log	0	0	0	0	0	5	1	0	0	2	9	7	0	0	39	0	0	0	0	0	0	0	0	0	5	0	22	4	1	0	2	0	5	0
pdf	0	0	4	8	5	0	2	18	4	0	6	0	2	15	2	9	2	3	0	8	4	0	1	3	0	2	1	0	0	0	1	0	0	0
png	0	0	16	6	0	0	1	11	7	0	0	0	6	21	0	0	9	3	0	8	0	0	0	2	0	2	0	0	0	0	0	0	0	4
pps	0	3	8	5	0	0	5	7	12	0	0	0	1	19	0	0	5	5	11	8	0	0	0	0	0	0	0	0	0	0	1	5	0	3
ppt	0	1	6	8	0	1	2	4	8	0	0	0	5	16	0	0	6	2	13	9	0	0	0	1	0	0	0	0	0	1	3	7	0	1
pptx	0	1	18	4	0	0	0	10	19	0	0	0	2	24	1	0	6	3	0	9	0	0	0	1	0	0	0	0	0	0	3	1	0	2
ps	0	0	0	0	31	1	0	0	1	0	3	5	0	0	10	1	0	0	0	1	32	2	0	0	0	1	11	4	5	0	0	0	0	0
rtf	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	68	0	0	12	0	0	0	3	5	5	0	0	0
sql	0	0	0	0	0	10	0	0	0	2	3	10	0	0	5	0	0	0	0	0	0	0	46	0	4	0	3	13	1	0	0	0	2	0
swf	0	1	10	7	0	0	3	9	13	0	0	0	0	22	0	0	6	1	5	6	0	0	0	10	0	0	1	0	0	0	6	0	0	3
tex	0	0	0	0	0	5	0	0	0	1	7	2	0	0	3	0	0	0	0	0	0	0	0	0	51	0	8	1	4	3	3	0	4	0
text	0	2	1	0	1	9	7	8	3	1	0	1	1	5	4	0	1	2	0	3	2	1	1	1	2	11	4	5	7	2	6	6	0	1
tmp	2	3	0	0	0	4	0	0	0	0	7	3	0	0	24	0	0	0	1	0	1	0	5	0	7	0	33	2	3	0	1	1	4	0
troff	0	0	0	0	1	16	0	0	0	3	1	6	0	0	8	0	0	0	0	0	0	0	3	0	3	1	4	40	2	4	0	0	0	0
txt	0	0	0	0	2	14	9	0	0	2	0	1	0	0	7	0	0	0	0	0	0	1	1	0	8	0	7	17	17	8	5	0	0	0
unk	1	1	2	1	1	18	6	1	0	4	1	12	2	5	5	0	1	4	3	0	0	0	0	0	5	0	0	1	7	10	10	4	0	0
wp	0	4	0	0	0	4	3	1	0	0	1	1	0	0	1	0	0	1	4	0	0	0	0	0	2	0	0	2	2	3	65	5	0	0
xls	1	10	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	2	0	3	4	76	0	0
xml	0	0	0	0	0	6	0	0	0	0	25	11	0	0	6	0	0	0	0	0	0	1	2	0	9	0	1	1	1	1	0	0	39	0
zip	0	0	10	5	0	0	0	1	12	0	0	0	6	33	0	0	9	3	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	6
