True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	86	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	5	2	0	1	0	1	0
dbase3	0	106	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
doc	0	1	24	2	1	0	0	0	2	5	0	1	1	0	1	1	0	0	0	2	4	0	0	2	4	1	0	4	3	0	5	10	27	0	0
docx	0	0	0	31	3	0	0	1	11	10	0	0	4	0	1	0	0	12	0	0	11	0	0	0	4	0	0	0	0	0	1	1	3	0	2
dwf	0	0	0	7	4	0	0	0	17	13	0	0	9	0	1	0	0	11	0	0	18	0	0	0	11	0	0	0	0	0	0	2	1	0	7
eps	7	2	0	0	0	41	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	29	3	3	0	0	2	3	4	6	0	0	0	0	0
f	2	0	0	0	0	3	32	2	0	0	2	6	0	0	0	3	0	0	0	0	0	0	0	8	0	2	3	6	6	1	5	15	1	1	0
fits	0	0	1	1	0	3	4	64	4	2	0	0	1	0	0	1	0	3	0	0	3	1	1	0	0	0	1	1	1	1	0	1	5	0	0
gif	0	0	3	3	3	0	0	0	63	5	0	0	7	0	0	0	1	3	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1
gz	0	0	0	4	3	0	0	0	21	32	0	0	9	0	1	0	1	12	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	5
hlp	0	0	0	0	0	0	6	2	0	0	62	1	0	0	0	0	0	0	0	0	0	0	0	4	0	3	1	2	1	0	9	5	0	0	0
html	2	1	0	0	0	0	2	0	0	0	0	35	0	4	0	2	2	0	0	0	0	0	2	2	0	11	0	3	2	2	6	7	0	18	0
jpg	0	0	0	10	8	0	0	1	9	15	0	0	14	1	0	0	1	18	0	0	9	0	0	0	1	1	1	0	0	0	1	1	0	0	9
kml	3	0	0	0	0	0	0	0	0	0	0	14	0	53	0	1	0	0	0	0	0	0	0	3	0	8	0	0	1	1	0	0	0	7	0
kmz	0	0	1	10	1	0	0	0	12	14	0	0	16	0	10	0	0	4	0	0	21	0	0	0	3	0	0	1	0	0	0	1	0	0	7
log	1	1	0	0	0	2	10	0	0	0	1	9	0	6	0	26	3	0	0	0	0	2	1	3	0	8	2	3	3	3	4	1	0	7	0
pdf	1	0	1	8	9	1	0	3	13	8	0	1	7	0	1	0	18	5	0	0	9	3	0	1	1	0	0	0	0	0	1	2	0	1	1
png	0	0	0	8	6	0	0	0	28	13	0	0	11	0	1	0	0	11	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	4
pps	0	0	5	7	2	0	0	3	14	9	0	0	8	0	2	0	0	12	2	6	19	0	0	1	1	0	1	0	0	0	0	6	5	0	3
ppt	0	0	6	12	5	0	0	1	18	9	0	0	7	0	2	0	0	6	0	8	8	0	0	0	5	1	0	0	0	0	0	6	6	0	5
pptx	0	0	0	11	4	0	0	0	10	15	0	0	11	0	2	0	1	9	0	1	23	0	0	0	1	0	0	0	0	0	0	6	0	0	4
ps	4	0	0	0	0	17	0	0	0	0	1	1	2	0	0	5	3	0	0	0	0	56	9	0	0	2	0	1	1	0	0	0	0	0	0
rtf	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	77	1	0	6	0	0	0	3	4	5	0	0	0
sql	1	1	1	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	51	0	13	2	9	2	0	4	1	0	3	0
swf	0	0	1	9	4	0	0	0	18	8	0	1	7	0	2	0	0	8	1	0	9	0	0	0	18	0	0	0	0	0	1	1	5	0	8
tex	5	0	0	0	0	1	2	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	6	0	50	1	6	1	1	10	7	0	5	0
text	1	0	1	3	1	0	6	1	8	1	0	2	2	0	0	0	2	7	2	1	4	0	3	2	1	2	7	2	3	11	14	11	5	0	1
tmp	2	0	3	0	0	0	2	0	0	0	0	12	0	0	0	17	3	0	1	0	0	2	2	4	0	4	0	39	1	1	2	1	4	4	0
troff	5	1	0	0	0	0	7	1	0	0	0	5	0	1	0	2	0	0	0	0	0	2	1	7	0	2	0	2	48	1	5	9	0	3	0
txt	10	1	0	0	0	0	9	4	0	0	3	1	0	0	0	3	2	0	0	0	0	2	0	3	0	1	1	10	4	18	15	10	0	0	0
unk	0	1	3	0	0	0	6	3	2	0	2	5	0	0	0	2	0	2	0	2	0	0	0	6	0	5	0	0	5	5	21	13	5	1	0
wp	0	0	6	0	0	0	1	3	3	0	0	0	0	1	1	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	7	72	4	0	0
xls	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	1	1	4	0	0	1	4	7	70	0	0
xml	3	0	0	0	0	0	1	0	0	0	2	20	0	14	0	4	1	0	0	0	0	1	1	5	0	9	0	1	0	0	3	3	0	38	0
zip	0	0	0	16	6	0	0	0	9	17	0	0	16	0	0	0	0	14	1	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	6
