True	dwf	eps	f	gz	hlp	html	jpg	png	sql	tmp	txt	wp	xls	xml
dwf	21	0	0	8	0	0	40	28	0	0	0	2	0	0
eps	3	64	4	2	0	1	0	0	0	1	20	2	1	12
f	0	1	59	0	5	1	0	0	9	1	10	14	0	5
gz	16	0	0	31	0	0	33	17	0	0	0	0	1	0
hlp	0	0	23	0	57	0	0	0	4	0	3	5	0	0
html	0	2	7	0	1	19	0	0	3	3	5	9	0	49
jpg	14	0	0	17	0	0	51	20	0	0	0	0	1	0
png	12	0	0	15	0	0	43	35	0	0	0	0	0	0
sql	1	1	19	0	1	2	1	0	54	4	2	8	0	9
tmp	0	7	2	0	0	3	0	0	6	22	25	0	0	28
txt	0	3	18	0	3	1	0	0	3	2	33	32	0	6
wp	2	0	3	0	0	0	0	1	1	1	0	82	9	0
xls	0	0	2	0	0	0	1	0	0	3	1	5	83	1
xml	0	0	7	0	1	5	0	0	4	0	0	2	0	80
