True	fits	gz	hlp	java	jpg	log	pps	pptx	ps	rtf	sql	swf	text	troff	unk
fits	67	3	2	0	4	1	2	1	0	0	1	10	2	1	11
gz	0	55	0	0	24	0	1	10	0	0	0	5	0	0	0
hlp	0	0	64	5	0	1	0	0	0	0	7	0	1	2	16
java	0	0	3	66	0	7	0	0	0	0	4	0	0	6	14
jpg	2	45	0	1	30	0	2	6	0	0	0	13	0	0	1
log	0	0	1	6	0	75	0	0	1	3	1	0	4	6	3
pps	0	40	0	1	24	0	20	8	0	0	0	4	1	0	9
pptx	1	43	0	0	26	0	3	21	0	0	0	7	0	0	0
ps	0	2	1	5	2	4	0	1	77	1	0	0	0	1	4
rtf	0	0	0	0	0	3	2	1	10	71	0	0	3	0	12
sql	0	0	2	5	0	10	0	0	1	0	57	0	3	13	8
swf	0	26	0	0	22	0	3	15	0	0	0	27	0	1	5
text	1	10	1	2	8	7	8	6	5	3	0	6	13	2	29
troff	0	0	0	8	0	5	0	0	7	5	10	0	3	50	12
unk	5	0	5	11	2	6	4	3	3	2	3	3	7	6	37
