True	dbase3	eps	hlp	java	log	pps	pptx	ps	tex	text	tmp	txt	unk	wp	xls	zip
dbase3	99	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0
eps	0	24	0	2	4	3	0	46	2	3	10	2	0	1	2	0
hlp	0	0	68	9	1	0	0	0	2	0	0	6	4	8	1	0
java	0	1	0	91	1	0	0	0	2	1	4	0	2	0	0	0
log	0	0	0	8	47	0	0	2	5	1	37	4	0	0	0	0
pps	0	0	0	0	0	21	49	0	0	4	3	0	0	5	10	8
pptx	0	0	0	0	0	23	63	0	0	0	0	0	0	2	1	13
ps	0	14	0	3	6	1	1	67	0	0	11	0	0	0	0	0
tex	0	0	3	4	12	0	0	0	58	0	13	6	1	5	0	0
text	1	3	6	2	2	4	14	1	2	14	7	17	4	10	8	4
tmp	0	0	2	3	21	1	0	10	5	2	51	1	0	1	4	0
txt	3	1	4	4	11	0	0	1	11	9	11	21	8	11	0	0
unk	0	3	2	10	6	2	6	2	15	3	8	6	13	12	6	0
wp	0	0	0	1	3	1	0	1	6	0	0	3	2	75	8	0
xls	0	1	0	3	0	3	2	0	0	0	2	1	0	4	84	0
zip	0	0	0	0	0	12	55	0	0	0	0	0	0	0	0	29
