True	csv	dbase3	doc	eps	gif	jpg	kml	log	png	swf	text	tmp	troff	unk	wp	xls	zip
csv	80	1	0	1	0	0	1	0	0	0	0	2	9	0	2	0	0
dbase3	0	96	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0
doc	0	0	39	0	0	1	2	0	1	6	0	0	1	4	18	12	16
eps	4	1	1	63	0	0	0	6	0	0	12	3	3	2	1	0	0
gif	0	0	0	0	40	3	0	0	13	17	3	0	0	0	0	0	25
jpg	0	0	1	0	4	14	0	0	8	8	2	0	0	0	2	0	52
kml	2	0	0	0	0	0	92	0	0	0	0	2	0	1	1	0	0
log	5	0	0	6	0	0	13	44	0	0	5	13	3	13	2	0	0
png	0	0	0	0	17	7	0	0	24	5	4	0	0	0	0	1	44
swf	0	0	0	0	11	5	0	0	13	16	1	0	0	0	6	1	52
text	7	2	13	1	2	2	0	1	11	1	19	2	1	8	16	1	16
tmp	2	2	3	4	0	0	4	21	0	0	5	42	7	3	3	2	0
troff	7	0	0	4	0	0	1	3	0	0	2	3	51	17	7	0	0
unk	1	0	4	5	0	1	3	7	2	1	8	3	9	24	29	4	1
wp	0	0	3	0	2	0	0	1	0	4	1	0	1	2	78	9	0
xls	1	0	26	2	0	0	1	0	1	1	4	1	5	3	12	46	1
zip	0	0	0	0	4	10	0	0	14	6	0	1	0	0	0	0	69
