True	csv	doc	docx	fits	gif	html	java	ps	rtf	sql	swf	tex	text	troff	txt	wp	xls	zip
csv	86	0	0	0	0	1	0	0	0	1	0	0	5	3	0	0	0	0
doc	0	36	4	0	0	2	0	0	0	1	0	1	1	1	4	8	31	5
docx	0	6	47	1	3	0	0	0	0	0	17	0	0	0	0	3	3	22
fits	0	6	4	64	3	1	0	0	0	0	1	1	12	1	2	1	6	2
gif	0	2	27	0	47	0	0	0	0	1	13	0	1	0	0	0	0	7
html	2	1	0	1	0	62	3	3	1	4	0	2	2	4	2	9	0	0
java	0	0	0	0	0	5	76	0	0	3	0	9	0	4	2	2	0	0
ps	5	1	3	1	0	0	2	74	6	3	2	1	0	2	2	1	0	0
rtf	1	3	0	0	0	1	0	3	83	0	0	4	1	0	3	6	0	0
sql	1	2	0	0	0	5	9	0	0	64	0	7	3	6	3	3	0	0
swf	0	5	37	0	8	0	0	0	0	0	18	0	0	0	0	3	4	30
tex	2	0	0	0	0	11	2	1	0	7	0	58	1	3	2	9	0	0
text	4	5	14	2	6	2	1	3	0	1	4	0	16	7	14	10	6	3
troff	4	2	0	2	0	11	2	1	1	4	0	2	2	62	6	5	0	0
txt	10	2	0	4	0	2	3	7	1	5	0	4	14	4	34	12	0	0
wp	0	1	2	0	5	1	0	1	0	0	1	0	4	1	3	73	5	0
xls	0	5	1	1	0	0	0	0	0	0	1	0	1	1	0	2	87	1
zip	0	0	47	0	6	0	0	0	0	0	16	0	0	0	0	0	0	27
