True	doc	dwf	fits	gif	hlp	html	jpg	kml	kmz	pdf	png	ppt	ps	rtf	sql	swf	troff	txt	zip
doc	46	1	3	1	0	1	0	1	3	0	1	20	0	6	2	4	5	5	1
dwf	0	20	0	6	0	0	7	0	10	1	3	2	0	0	1	14	0	0	35
fits	7	1	72	2	0	1	0	0	2	0	1	4	0	0	1	1	1	1	2
gif	2	7	1	56	0	0	5	0	5	0	7	4	0	0	0	3	0	0	12
hlp	1	0	1	0	69	0	0	0	0	0	0	0	1	1	3	0	17	14	0
html	0	0	1	0	1	52	0	3	0	2	0	0	6	3	1	0	14	12	0
jpg	0	8	1	10	0	0	14	1	8	0	2	5	0	0	0	18	0	0	33
kml	0	0	0	0	0	7	0	99	0	0	0	0	0	0	0	0	0	1	0
kmz	1	15	0	1	0	0	5	0	28	0	7	4	0	0	0	10	0	0	24
pdf	2	11	1	5	0	0	6	0	3	19	2	4	11	0	0	13	0	2	18
png	0	12	0	12	0	0	8	0	3	0	15	3	0	0	0	14	0	0	37
ppt	8	9	2	11	0	0	7	0	4	1	3	22	1	0	0	10	0	0	21
ps	0	2	0	0	0	2	0	0	0	0	1	1	77	10	0	2	2	4	0
rtf	0	0	0	0	1	1	0	0	0	0	0	0	9	79	0	0	2	6	0
sql	1	0	2	0	3	7	0	0	0	1	0	0	3	1	53	0	25	5	0
swf	0	11	4	12	0	0	4	0	8	0	6	9	0	0	0	24	0	0	18
troff	0	0	0	0	2	11	0	0	0	0	0	0	12	3	3	0	61	8	0
txt	0	0	1	0	6	5	0	6	0	0	0	0	8	3	3	0	7	60	0
zip	0	19	0	6	0	0	5	0	8	0	12	1	0	0	0	12	0	0	41
