True	eps	gif	hlp	html	java	kml	pdf	png	pps	pptx	ps	sql	tex	text	tmp	txt	wp	xls	xml	zip
eps	35	0	0	2	6	0	2	0	2	0	28	3	0	3	8	2	1	0	3	0
gif	0	54	0	0	0	0	2	1	2	37	0	0	0	0	0	0	0	1	0	5
hlp	0	0	58	4	10	0	0	0	0	0	0	3	1	0	0	1	20	0	1	0
html	0	0	0	24	3	13	2	0	0	0	1	0	5	3	4	0	4	0	42	0
java	0	0	3	8	63	2	0	0	0	0	1	3	6	0	2	0	4	0	14	0
kml	0	0	0	0	0	82	0	0	0	0	0	0	0	0	7	0	0	0	10	0
pdf	4	15	0	0	0	5	14	0	0	51	4	0	0	1	1	0	1	3	2	5
png	0	21	0	0	0	0	0	5	0	68	0	0	0	0	0	0	0	0	0	7
pps	0	10	0	0	0	0	0	2	2	50	0	0	0	0	0	0	8	16	0	12
pptx	0	11	0	0	0	0	0	5	1	65	0	0	0	3	0	0	4	2	0	8
ps	21	0	0	0	4	2	3	2	0	2	47	0	1	0	7	0	2	0	2	0
sql	0	0	1	2	12	1	1	0	0	0	1	46	1	9	12	1	6	1	11	0
tex	0	0	0	4	3	1	0	0	0	0	0	3	48	0	11	2	5	0	22	0
text	2	7	3	1	4	2	0	1	1	17	1	1	5	16	5	3	17	11	2	3
tmp	4	0	2	4	5	3	3	0	0	0	2	3	7	3	45	8	1	8	10	0
txt	1	0	2	2	8	4	0	0	0	0	7	4	4	10	19	18	18	0	2	0
wp	0	4	0	0	1	0	0	0	0	0	0	1	1	3	0	0	79	4	1	0
xls	2	0	0	0	0	0	0	0	2	4	0	0	0	6	0	0	7	76	0	0
xml	0	0	0	5	7	21	0	0	0	0	0	1	1	0	4	0	4	0	56	0
zip	0	8	0	0	0	0	1	2	1	76	0	0	0	0	0	0	0	0	0	9
