True	csv	dbase3	doc	eps	fits	gz	hlp	html	jpg	kml	kmz	pdf	pps	ppt	rtf	swf	tmp	txt	unk	xls	zip
csv	77	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	7	3	1	0	0
dbase3	0	95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
doc	0	0	49	0	1	4	0	3	1	0	6	0	1	2	0	5	0	6	7	10	1
eps	1	1	1	70	3	0	0	1	0	1	0	4	0	0	3	0	7	2	2	0	0
fits	0	0	7	0	79	2	0	0	0	0	1	5	1	0	0	1	1	0	4	1	4
gz	0	0	0	0	0	24	0	0	8	0	16	4	5	2	0	7	0	0	0	0	24
hlp	0	0	0	0	0	0	62	4	0	0	0	0	0	0	0	0	1	8	32	0	0
html	3	0	0	2	0	0	0	64	0	4	0	7	0	0	0	0	8	4	8	0	0
jpg	0	0	0	0	1	18	0	0	16	1	22	6	1	2	0	2	0	0	0	2	30
kml	3	0	0	1	0	0	0	11	0	82	0	0	0	0	0	0	2	1	0	0	0
kmz	0	0	0	0	0	18	0	0	11	0	34	6	7	2	0	1	0	0	0	0	21
pdf	0	0	0	6	2	17	0	2	5	2	14	22	4	3	1	8	5	1	0	1	15
pps	0	0	6	0	2	18	0	0	8	1	13	6	9	9	0	4	0	0	1	6	17
ppt	0	0	18	0	0	19	0	1	3	0	17	4	7	6	0	5	0	1	1	9	12
rtf	0	0	0	2	0	0	0	1	0	0	0	1	0	0	81	0	2	3	11	0	0
swf	0	0	4	0	0	12	0	0	4	0	17	8	8	6	0	18	0	0	0	2	21
tmp	4	0	4	2	0	0	1	10	0	2	0	0	0	0	0	0	58	3	5	1	0
txt	16	3	0	3	7	0	4	3	0	2	0	6	0	0	0	0	8	24	25	0	0
unk	2	3	7	3	5	2	3	10	0	1	0	4	1	2	0	0	7	16	34	0	2
xls	0	0	35	0	0	0	1	1	0	0	1	0	0	2	0	4	0	0	2	59	0
zip	0	0	0	0	0	27	0	0	9	0	20	8	5	1	0	4	0	0	0	0	28
