True	dbase3	doc	dwf	eps	fits	gz	hlp	html	java	jpg	kml	kmz	pdf	png	ppt	rtf	sql	text	tmp	troff	txt	wp	xls
dbase3	96	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
doc	0	29	1	0	1	1	0	1	0	3	0	1	4	6	2	0	3	1	1	0	0	9	40
dwf	0	0	8	0	0	8	0	0	0	10	0	6	12	52	3	0	0	1	0	0	0	0	0
eps	0	0	0	58	0	0	0	2	0	0	0	0	13	0	3	0	2	0	6	3	8	1	0
fits	0	0	1	0	60	0	1	0	1	2	0	0	3	6	1	0	2	1	0	2	11	2	5
gz	0	0	5	0	0	25	0	0	0	13	0	10	9	32	1	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	63	1	5	0	0	0	0	0	0	0	7	0	0	3	6	13	0
html	1	0	0	0	0	0	1	48	7	0	3	0	4	0	0	0	5	1	3	10	2	14	0
java	0	1	0	2	0	0	1	3	70	0	0	0	0	0	0	0	11	1	0	4	2	3	0
jpg	0	0	8	0	0	15	0	0	0	13	1	7	17	38	0	0	0	0	2	0	0	2	0
kml	0	0	0	2	0	0	0	12	3	0	69	0	4	0	0	0	0	2	0	0	2	0	0
kmz	0	0	4	0	1	14	0	0	0	7	0	17	10	44	1	0	1	0	0	0	0	1	0
pdf	0	0	4	5	2	8	0	2	0	6	1	5	27	34	0	0	0	0	1	1	0	0	1
png	0	0	4	0	0	11	0	0	0	15	0	6	11	54	2	0	0	0	0	0	0	0	0
ppt	0	4	7	0	0	6	0	0	0	7	0	11	9	21	4	0	0	0	0	0	1	4	25
rtf	0	0	0	3	0	0	0	4	0	0	0	0	4	1	1	70	1	1	1	3	2	12	0
sql	1	0	0	0	0	0	2	1	8	0	0	0	0	0	0	0	69	2	4	4	1	8	0
text	0	4	3	3	2	4	0	0	3	2	0	0	4	12	2	0	3	5	2	8	17	23	3
tmp	0	0	0	18	0	0	2	16	3	0	2	0	3	0	0	1	12	0	24	2	16	4	0
troff	1	0	0	4	3	0	1	3	3	0	0	0	1	0	0	0	3	4	1	62	0	16	0
txt	1	0	0	1	0	0	0	2	2	0	2	0	4	0	0	0	8	1	5	12	33	35	0
wp	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1	1	0	2	0	87	7
xls	0	2	0	1	1	0	0	0	0	0	0	0	1	2	1	0	1	0	1	1	0	7	83
