True	dbase3	docx	fits	gif	gz	html	jpg	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	tex	text	tmp	troff	txt	unk	wp	xml
dbase3	86	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
docx	0	11	0	3	7	0	4	17	0	2	22	5	1	18	0	0	0	0	3	0	0	0	4	0
fits	0	1	54	8	2	0	1	3	0	1	1	0	0	4	1	0	0	2	1	0	1	12	2	0
gif	0	2	0	27	3	0	6	8	0	2	23	2	1	19	0	0	0	0	1	1	0	0	1	0
gz	0	1	0	4	17	0	1	27	0	2	17	7	1	16	0	0	0	0	0	0	0	0	0	0
html	0	0	2	0	0	26	0	0	5	0	0	0	0	0	4	4	31	0	1	5	3	8	0	14
jpg	0	1	1	3	8	0	8	21	0	1	28	5	0	17	0	0	0	0	0	0	0	1	2	0
kmz	0	1	0	4	8	0	4	49	0	1	17	4	0	23	0	0	0	0	1	0	0	0	1	0
log	0	0	2	0	0	3	0	0	21	0	0	0	0	0	11	6	18	1	10	1	8	7	0	8
pdf	0	0	3	4	6	3	6	12	2	8	14	4	0	16	15	0	3	1	4	0	0	0	0	1
png	0	3	0	12	6	0	3	19	0	2	22	2	0	34	0	1	0	0	0	0	0	1	1	0
pps	0	1	1	3	9	0	2	20	0	3	16	2	10	19	0	1	0	0	0	1	0	0	14	0
ppt	0	4	1	3	5	1	6	20	0	1	13	4	11	13	0	4	0	0	1	0	0	0	16	0
pptx	0	0	1	5	8	0	5	22	0	0	25	4	1	25	0	0	0	0	0	0	0	0	3	0
ps	0	0	0	0	1	0	0	0	0	1	1	0	0	0	84	5	8	0	3	3	1	1	0	0
rtf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	76	7	0	0	1	1	1	0	0
tex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	85	0	1	1	7	5	1	1
text	0	1	8	2	5	0	1	9	0	2	4	3	1	3	2	6	9	7	3	10	13	11	3	0
tmp	0	0	2	0	0	4	0	0	13	0	0	0	0	0	15	1	12	0	23	3	18	0	3	3
troff	0	0	0	0	0	2	0	0	7	0	0	0	0	0	9	5	11	0	1	43	10	7	0	0
txt	2	0	11	0	0	0	0	0	5	0	0	0	0	0	10	8	22	5	14	6	16	12	0	0
unk	2	0	6	1	0	6	0	0	2	0	0	0	3	1	4	5	18	0	1	2	20	25	5	1
wp	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	4	11	2	0	1	8	4	61	0
xml	0	0	0	0	0	16	0	0	2	0	0	0	0	0	2	4	26	1	4	0	0	2	0	38
