True	csv	docx	dwf	eps	fits	gif	gz	hlp	java	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	text	tmp	txt	xls	zip
csv	73	0	0	0	0	0	0	0	1	0	2	0	5	0	0	0	0	2	2	7	0	1	6	0	0
docx	0	14	12	0	0	12	9	0	0	12	0	10	0	4	10	0	6	0	0	0	0	1	0	5	6
dwf	0	5	12	0	0	10	4	0	0	21	0	8	0	10	14	1	1	0	0	0	0	0	0	1	9
eps	3	0	0	32	1	0	0	0	3	0	1	0	12	1	0	1	0	37	7	2	0	1	0	0	0
fits	0	0	8	0	64	7	0	2	2	0	0	1	0	6	1	0	1	0	0	1	2	0	4	3	0
gif	0	4	5	0	0	58	0	0	0	5	0	2	0	5	11	1	1	0	0	0	0	2	0	0	5
gz	0	5	3	0	0	8	20	0	0	16	0	8	0	9	15	6	1	0	0	0	0	0	0	0	8
hlp	0	0	0	0	0	0	0	75	10	0	0	0	1	0	0	0	0	0	0	7	1	0	3	0	0
java	0	0	0	0	0	0	0	2	70	0	2	0	7	0	0	0	0	0	0	11	0	1	4	0	0
jpg	0	7	14	0	1	6	14	0	0	17	0	12	0	8	11	2	0	0	0	0	0	0	0	2	5
kml	0	0	0	0	0	0	0	0	0	0	96	0	1	0	0	0	0	0	0	0	0	0	5	0	0
kmz	0	12	7	0	0	6	13	0	0	12	0	30	0	9	7	0	1	0	0	0	0	2	0	0	6
log	2	0	0	1	1	0	0	0	10	0	12	0	50	0	0	0	0	1	4	4	0	10	6	0	0
pdf	0	5	9	1	1	8	8	0	0	8	3	11	1	12	12	2	1	14	0	1	0	0	0	0	3
png	0	2	7	0	0	14	6	0	0	21	0	19	0	12	13	1	2	0	0	0	0	0	0	0	3
pps	0	6	5	0	2	8	12	0	0	12	0	9	0	14	3	3	14	0	1	1	0	0	0	8	3
ppt	0	10	3	0	1	8	12	0	0	10	0	10	0	9	10	3	13	0	2	1	2	0	1	2	3
ps	3	0	0	11	0	0	0	1	7	0	0	0	14	1	0	0	0	58	3	2	0	3	0	0	0
rtf	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	7	75	2	1	0	14	0	0
sql	2	0	0	0	2	0	0	5	12	0	0	0	3	1	0	0	0	0	0	72	0	3	1	0	0
text	3	1	1	3	2	2	3	3	3	3	0	4	1	5	4	1	4	3	0	5	7	1	21	14	1
tmp	3	0	0	4	0	0	0	1	6	0	5	0	25	1	0	0	3	5	2	10	1	28	4	1	0
txt	10	0	0	3	2	0	0	5	7	0	0	0	5	1	0	0	0	5	0	12	1	2	45	0	0
xls	0	1	0	0	2	1	0	2	0	0	1	1	0	0	0	0	13	0	1	2	1	0	1	77	0
zip	0	6	9	0	0	14	9	0	0	14	0	10	0	11	11	3	2	0	0	0	0	0	0	0	11
