True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	kmz	log	ppt	ps	sql	swf	tex	text	tmp	txt	wp	xls	xml	zip
csv	78	4	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	7	2	0	0	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
doc	0	0	55	0	4	1	1	0	0	2	0	0	1	0	3	1	0	7	1	0	2	4	7	11	0	3
docx	0	0	5	6	40	0	0	0	0	9	0	0	6	0	4	0	0	12	0	0	1	0	1	0	0	20
dwf	0	0	1	1	39	0	0	0	0	11	0	0	4	0	2	0	0	16	0	0	0	0	0	0	0	22
eps	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	79	0	0	2	1	3	2	1	0	1	0
f	6	1	1	0	0	0	40	0	0	0	1	2	0	5	0	9	9	0	1	1	9	8	9	1	0	0
fits	0	2	6	1	4	0	1	57	0	1	1	0	0	0	3	1	0	8	0	2	1	10	0	2	0	1
gif	0	0	0	0	18	0	0	0	21	6	0	0	3	0	3	0	0	35	0	0	1	0	1	1	0	8
gz	0	0	0	0	24	0	0	0	0	34	0	0	6	0	6	0	0	11	0	0	0	0	0	0	0	22
hlp	0	2	0	0	0	0	4	0	0	0	62	1	0	0	0	2	0	0	2	0	0	15	3	0	0	0
html	8	1	0	0	0	2	1	0	0	0	2	49	0	7	0	7	2	0	4	0	10	9	7	1	3	0
kmz	0	0	0	1	21	0	0	0	0	19	0	0	15	0	1	0	0	21	0	0	0	0	0	0	0	19
log	4	1	0	0	0	3	3	0	0	0	0	7	0	18	0	18	2	0	3	0	24	8	0	0	2	0
ppt	0	0	4	2	24	1	0	1	2	7	0	1	2	0	4	1	0	18	0	0	0	0	5	12	0	13
ps	3	1	0	0	2	7	2	0	0	0	0	0	0	1	0	77	0	0	0	0	2	1	1	0	0	0
sql	3	0	0	0	0	3	8	0	0	0	2	1	0	3	0	3	48	0	10	9	4	12	2	0	0	0
swf	0	0	0	0	35	0	0	0	0	11	0	0	2	0	1	0	0	38	0	0	0	0	1	1	0	14
tex	3	0	0	0	0	0	4	0	0	0	0	3	0	3	0	3	1	0	53	0	9	11	16	0	0	0
text	1	2	3	0	6	1	5	4	0	6	1	1	3	0	1	10	4	7	0	3	5	25	11	2	0	4
tmp	2	1	0	0	0	0	6	0	0	0	2	3	0	5	1	13	3	0	5	0	49	8	3	1	1	0
txt	2	0	0	0	0	2	8	0	0	0	3	0	0	4	0	17	1	0	1	0	7	30	21	0	0	0
wp	0	0	5	0	0	1	1	2	1	0	0	2	1	0	2	1	0	2	1	0	0	4	69	5	0	0
xls	0	0	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	63	0	0
xml	1	0	0	0	0	1	2	0	0	0	0	29	0	5	0	4	3	0	16	0	6	3	9	0	18	0
zip	0	0	0	0	32	0	0	0	0	19	0	0	4	0	2	0	0	17	0	0	0	0	0	0	0	23
