True	dbase3	doc	docx	dwf	eps	f	fits	gz	hlp	html	java	kml	log	png	pps	ppt	pptx	rtf	sql	swf	text	tmp	txt	wp	xls	xml	zip
dbase3	101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
doc	0	25	0	3	0	2	0	8	0	4	0	0	0	1	0	4	0	3	0	2	1	0	3	8	35	0	1
docx	0	1	25	9	0	0	1	21	0	0	0	0	0	10	0	2	4	0	0	7	0	0	0	3	4	0	8
dwf	0	0	18	16	0	0	0	18	0	0	0	0	0	17	0	0	7	0	0	17	0	0	0	0	0	0	7
eps	0	0	0	2	59	1	1	0	0	2	2	0	5	0	0	2	0	5	1	0	0	2	10	1	2	0	0
f	0	0	0	0	0	32	0	0	6	2	26	0	2	0	0	0	0	1	14	0	0	2	8	4	2	1	0
fits	2	0	1	2	0	0	74	2	1	0	1	0	2	2	0	0	0	0	0	2	1	1	0	0	6	0	0
gz	0	0	8	16	0	0	0	51	0	0	0	0	0	9	0	0	4	0	0	10	0	0	0	0	0	0	6
hlp	0	0	0	0	0	2	0	0	81	1	6	0	0	0	0	0	0	0	0	0	1	0	7	2	1	0	0
html	0	0	0	0	2	4	1	0	1	41	13	5	2	0	0	0	0	4	0	0	0	4	5	6	0	10	0
java	0	0	0	0	0	7	0	0	3	6	72	1	1	0	0	0	0	0	6	0	1	1	2	1	0	1	0
kml	0	0	0	0	0	0	0	0	0	6	1	86	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0
log	0	0	0	0	1	15	0	0	1	16	6	5	25	0	0	0	0	5	3	0	0	16	4	0	0	5	0
png	0	0	9	15	0	0	0	14	0	0	0	0	0	23	0	0	10	0	0	12	0	0	0	0	0	0	12
pps	0	0	9	13	0	0	0	24	0	0	0	0	0	13	0	8	2	0	0	11	0	0	0	2	12	0	10
ppt	0	3	7	7	0	0	2	21	0	0	0	0	0	9	1	2	7	1	0	10	0	0	1	6	21	0	4
pptx	0	0	10	14	0	0	1	22	0	0	0	0	0	16	0	2	6	0	0	16	0	0	0	2	1	0	6
rtf	0	0	0	0	5	0	0	0	1	5	0	0	0	0	0	0	0	84	1	0	2	0	1	1	0	0	0
sql	0	0	0	0	1	10	0	0	4	7	14	1	3	0	0	1	0	2	48	0	0	4	1	1	0	2	0
swf	0	0	9	13	0	0	0	23	0	0	0	0	0	9	0	0	2	0	0	27	0	0	0	3	4	0	8
text	0	3	2	1	1	6	2	7	7	4	0	1	0	13	0	3	1	4	7	2	6	1	15	3	6	0	3
tmp	2	0	0	0	2	1	0	0	0	6	7	5	12	0	0	0	0	2	10	0	1	26	22	2	1	4	0
txt	0	0	0	0	2	12	4	0	7	6	4	0	5	0	0	0	0	2	5	0	13	4	29	5	0	0	0
wp	0	1	0	2	0	2	2	0	0	3	1	0	0	0	0	1	0	1	0	4	0	1	3	65	11	1	0
xls	0	3	0	0	0	1	2	1	0	0	0	0	0	0	0	3	0	1	2	1	2	0	1	3	80	0	0
xml	1	0	0	0	2	3	0	0	1	15	8	22	2	0	0	0	0	6	1	0	1	6	0	0	0	36	0
zip	0	0	14	18	0	0	0	39	0	0	0	0	0	14	0	0	2	0	0	5	0	0	0	1	0	0	15
