True	csv	doc	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	ppt	pptx	ps	sql	swf	tex	text	troff	txt	unk	xls	zip
csv	86	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	3	0	0	0	7	2	0	0	0
doc	0	18	3	1	0	0	0	10	0	1	1	0	0	1	0	0	1	3	0	0	2	0	4	1	0	10	5	38	1
dwf	0	0	23	0	0	0	9	26	0	0	0	3	0	6	0	0	18	0	1	0	1	6	0	0	0	0	0	1	8
eps	0	0	0	67	2	0	0	0	0	4	3	0	0	0	0	2	0	0	0	15	1	0	2	0	1	3	1	1	0
f	0	1	0	5	29	0	0	0	3	4	24	0	1	1	3	0	0	0	0	0	9	0	2	0	4	11	1	0	0
fits	0	1	3	6	4	35	3	2	2	1	0	1	0	0	0	2	5	1	2	0	1	2	1	3	0	11	11	5	0
gif	0	0	11	0	0	1	43	15	0	0	0	2	0	3	0	0	8	0	4	0	0	6	0	0	0	0	0	0	0
gz	0	1	20	0	0	0	6	29	0	0	0	3	0	6	0	0	17	0	8	0	0	7	0	0	0	0	0	0	2
hlp	0	0	0	0	16	0	0	0	69	0	7	0	0	0	0	0	0	0	0	0	9	0	1	0	1	4	1	0	0
html	1	0	0	1	1	1	0	0	0	40	8	0	3	0	12	1	0	0	0	0	1	0	17	0	1	11	1	0	0
java	0	0	0	1	4	0	0	0	1	3	78	0	0	0	3	0	0	0	0	0	5	0	2	0	1	1	0	0	0
jpg	0	0	19	0	0	3	7	32	0	0	0	6	0	4	0	0	13	1	3	0	0	4	0	1	0	0	0	2	8
kml	0	0	0	0	0	0	0	0	0	5	0	0	83	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0
kmz	0	0	16	0	0	0	2	29	0	0	0	2	0	24	0	0	14	0	2	0	0	2	0	0	0	0	0	1	4
log	1	0	0	13	7	0	0	0	0	9	7	0	1	0	37	0	0	0	0	1	5	0	6	0	4	8	0	1	0
pdf	0	0	15	5	0	0	4	23	0	3	0	0	1	5	1	19	8	0	3	8	0	1	0	1	0	0	3	0	1
png	0	0	23	0	0	0	17	18	0	0	0	2	0	7	0	0	28	1	3	0	0	5	0	0	0	0	0	0	4
ppt	1	3	8	0	0	0	8	23	0	0	0	1	0	2	0	0	6	0	8	0	0	1	0	0	0	0	0	30	4
pptx	0	0	19	0	0	0	6	25	0	0	0	1	0	8	0	0	24	0	7	0	0	3	0	0	0	0	0	1	5
ps	2	0	0	47	0	0	0	1	1	1	3	0	1	0	4	2	0	0	0	32	0	0	1	0	2	0	0	0	0
sql	2	0	0	1	6	0	0	0	1	1	12	0	0	0	2	0	0	0	0	0	63	0	3	1	10	2	1	0	0
swf	0	0	16	0	0	1	14	28	0	0	0	4	0	8	0	0	10	1	3	0	0	6	0	1	0	0	0	7	4
tex	2	0	0	0	0	0	0	0	6	0	12	0	0	0	4	0	0	0	0	0	5	0	61	2	1	6	1	0	0
text	1	0	4	9	3	1	8	4	1	2	8	0	0	1	2	0	3	0	3	1	3	2	1	6	2	21	4	8	1
troff	5	0	0	2	10	0	0	0	0	4	7	0	0	0	2	0	0	0	0	1	10	0	2	1	40	5	1	2	0
txt	5	0	0	9	7	3	0	0	3	0	5	0	1	0	2	0	0	0	0	0	5	0	7	3	10	43	0	0	0
unk	1	2	1	2	11	0	3	4	3	4	13	1	0	0	2	0	1	0	0	1	3	1	7	4	5	15	7	10	0
xls	0	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	1	87	0
zip	0	0	18	0	0	1	4	37	0	0	0	4	0	5	0	1	18	0	4	0	0	1	0	0	0	0	0	0	8
