True	csv	dbase3	doc	docx	dwf	f	fits	gz	hlp	html	java	kmz	log	pdf	png	pps	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	zip
csv	88	1	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	1	3	0	0	0	0	1	0	2	0	0	0
dbase3	0	97	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	1	60	0	0	0	1	1	1	2	0	5	1	0	6	0	2	0	2	5	1	0	0	0	0	1	1	9	2	1
docx	0	0	1	37	3	0	0	8	0	0	0	6	0	1	7	1	18	0	0	0	0	0	0	0	0	0	0	0	0	21
dwf	0	0	0	15	8	0	2	10	0	0	0	5	0	0	8	2	12	0	0	0	1	0	0	0	0	0	0	0	0	38
f	4	1	0	0	0	26	9	0	1	6	10	0	6	0	0	0	0	0	1	14	0	0	0	1	1	9	6	6	0	0
fits	0	1	7	1	1	0	66	2	0	0	0	0	0	0	1	2	4	0	0	0	1	0	1	0	0	0	3	1	2	3
gz	0	0	0	12	2	0	0	20	0	0	0	10	0	2	13	0	11	0	0	0	1	0	0	0	0	0	0	1	0	26
hlp	0	1	0	0	0	2	1	0	80	1	3	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	8	1	0	0
html	5	0	0	0	0	0	2	0	1	69	6	0	3	0	0	0	0	1	1	6	0	0	1	0	0	0	3	4	0	0
java	2	0	0	0	0	7	0	0	5	8	60	0	2	0	0	0	0	0	0	9	0	0	0	1	0	0	4	1	0	0
kmz	0	0	0	15	1	0	0	10	0	0	0	20	0	4	9	2	4	0	0	0	1	0	0	0	0	0	0	0	0	27
log	12	1	0	0	0	5	0	0	1	22	6	0	27	0	0	0	0	7	1	4	0	0	0	6	0	3	3	1	0	0
pdf	2	1	0	10	1	0	1	2	0	6	0	1	1	12	11	1	11	9	0	0	3	0	1	0	0	1	0	0	0	27
png	0	0	0	18	2	0	0	1	0	0	0	12	0	3	23	1	14	0	0	0	1	0	0	0	0	0	0	0	0	27
pps	0	0	10	13	4	0	2	6	0	0	0	8	0	0	8	8	13	0	0	0	2	0	1	0	0	0	1	2	3	21
pptx	0	0	1	22	4	0	0	11	0	0	0	15	0	0	13	2	11	0	1	0	0	0	0	0	0	0	0	0	0	19
ps	6	0	0	1	0	0	0	0	0	9	3	0	0	3	0	0	0	64	4	3	0	0	0	1	1	7	0	0	0	0
rtf	0	0	2	0	0	0	1	0	0	8	0	0	0	0	0	0	0	5	74	0	0	0	1	0	0	1	2	4	0	0
sql	2	3	0	0	0	8	0	0	9	3	4	0	0	0	0	0	0	0	0	64	0	0	0	0	7	2	0	2	0	0
swf	0	0	4	7	5	0	4	7	0	0	0	6	0	2	8	3	9	0	0	1	16	0	0	0	0	0	0	2	1	26
tex	7	0	0	0	0	0	0	0	3	20	4	0	1	0	0	0	0	0	6	8	0	32	0	3	0	2	6	6	0	0
text	3	0	9	4	1	1	5	3	1	4	1	1	0	1	4	2	1	0	0	5	0	0	4	2	4	11	10	8	3	7
tmp	14	0	4	0	0	0	0	0	2	15	0	0	10	0	0	0	0	3	4	9	0	0	1	28	2	7	0	0	1	0
troff	7	3	1	0	0	20	0	0	1	6	2	0	1	0	0	0	0	3	2	14	0	0	3	1	25	2	2	6	0	0
txt	13	2	0	0	0	6	8	0	9	2	5	0	0	0	0	0	0	2	1	3	0	0	0	1	2	22	8	16	0	0
unk	4	2	2	1	1	1	6	0	2	11	8	2	0	0	0	1	0	2	3	4	1	0	0	0	6	4	22	17	0	1
wp	0	0	5	3	0	2	1	0	1	2	0	0	1	0	0	4	0	0	0	2	0	0	1	0	0	0	0	82	0	0
xls	0	0	34	0	0	3	0	0	0	0	2	0	0	0	0	3	1	0	0	0	1	0	0	0	1	0	0	4	47	0
zip	0	0	0	13	1	0	0	5	0	0	0	16	0	1	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	41
