True	csv	dbase3	doc	docx	dwf	eps	fits	gif	gz	hlp	html	jpg	kml	log	pdf	png	pps	ppt	pptx	rtf	sql	swf	tex	text	tmp	troff	txt	unk	xls	xml	zip
csv	75	0	0	0	0	2	0	0	0	0	3	0	1	1	0	0	0	0	0	1	4	0	0	0	2	1	0	9	0	1	0
dbase3	0	98	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
doc	0	0	30	1	0	7	1	1	4	0	1	5	0	2	0	0	0	3	0	3	1	2	1	2	1	0	0	14	20	3	2
docx	0	0	4	18	8	0	0	7	13	0	0	11	0	0	1	5	0	0	2	0	0	11	0	0	0	0	0	0	2	0	16
dwf	0	0	0	1	6	0	0	18	10	0	0	16	0	0	5	3	5	0	6	0	0	12	0	0	0	1	0	0	0	0	14
eps	6	0	0	0	0	71	1	0	0	0	3	0	0	1	2	0	0	0	0	3	0	0	0	1	3	1	6	1	0	0	0
fits	0	4	1	0	0	1	57	5	0	0	0	2	0	1	1	0	2	0	0	0	1	0	0	2	0	0	0	9	9	0	1
gif	0	0	1	1	6	0	0	53	6	0	0	11	0	0	2	1	1	0	3	0	0	2	0	0	0	0	0	1	0	0	8
gz	0	0	0	1	9	0	0	16	28	0	0	14	0	0	1	3	1	0	2	0	0	5	0	0	0	0	0	0	0	0	18
hlp	0	0	0	0	0	0	0	0	0	49	1	0	0	1	0	0	0	0	0	3	6	0	0	0	0	5	3	28	0	0	0
html	0	0	0	0	0	2	2	0	0	1	51	0	3	2	7	0	0	0	0	1	2	0	0	1	7	4	1	6	0	14	0
jpg	0	1	0	0	6	0	0	18	13	0	0	14	1	0	0	4	1	2	3	0	0	5	0	1	0	0	0	0	1	0	29
kml	0	0	0	0	0	0	0	0	0	0	17	0	73	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	8	0
log	4	0	0	0	0	7	1	0	0	0	18	0	8	27	0	0	0	0	0	0	2	0	2	0	14	4	0	3	0	10	0
pdf	0	0	1	3	4	7	1	10	5	0	3	7	0	0	27	2	2	0	3	0	0	2	0	0	1	0	0	0	0	2	19
png	0	0	0	1	13	0	0	19	12	0	0	12	0	0	0	7	2	0	1	0	0	9	0	0	0	0	0	0	0	0	23
pps	0	0	2	1	8	0	0	6	10	0	0	15	0	0	4	5	1	8	2	0	0	6	0	0	0	0	0	0	9	0	20
ppt	0	1	5	3	6	1	1	10	20	0	0	10	0	0	0	2	0	9	2	0	1	10	0	1	0	0	0	0	10	0	13
pptx	0	0	2	7	5	0	0	16	15	0	0	15	0	0	1	1	1	1	6	0	0	10	0	0	0	0	0	0	2	0	24
rtf	0	0	0	0	0	5	0	1	0	0	2	0	0	0	3	0	0	1	0	85	0	0	0	0	0	0	2	2	0	0	0
sql	1	1	0	0	0	4	0	0	0	2	3	0	0	3	0	0	0	0	0	0	56	0	0	1	3	15	0	7	0	4	0
swf	0	0	0	1	2	0	1	14	9	0	0	17	0	0	1	2	1	0	1	0	0	26	0	0	1	0	0	0	0	0	24
tex	6	0	0	0	0	0	0	0	0	3	16	0	3	8	0	0	0	0	0	3	4	0	28	0	4	3	0	10	0	14	0
text	5	0	6	2	5	4	4	8	1	0	1	3	0	2	0	0	1	0	2	2	7	0	0	9	2	5	5	17	2	1	4
tmp	3	0	3	0	0	10	0	0	0	0	6	0	2	13	1	0	0	0	0	1	7	0	0	0	37	4	10	3	1	1	0
troff	7	0	0	0	0	7	2	0	0	0	10	0	0	11	0	0	0	0	0	1	5	0	0	2	3	43	1	10	0	1	0
txt	4	0	0	0	0	3	8	0	0	0	1	0	1	5	4	0	0	0	0	3	5	0	1	9	6	9	12	28	0	2	0
unk	1	0	3	0	1	6	3	0	1	5	6	0	1	4	0	0	0	0	2	4	4	0	0	4	5	2	4	33	8	5	1
xls	0	0	7	0	0	1	5	1	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	1	0	1	0	2	71	1	1
xml	1	0	0	0	0	5	0	0	0	0	35	0	13	5	1	0	0	0	0	0	0	0	1	0	6	0	1	1	0	32	0
zip	0	0	0	0	7	0	0	10	12	0	0	16	0	0	3	3	1	0	4	0	0	4	0	0	0	0	0	0	0	0	35
