True	csv	dbase3	doc	docx	dwf	eps	gif	gz	hlp	html	java	jpg	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	wp	xls	xml	zip
csv	61	0	0	0	0	5	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	1	3	4	7	2	0	0	0	0
dbase3	0	90	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
doc	1	0	50	0	0	0	1	4	1	0	0	0	1	2	1	0	1	0	0	0	6	1	3	3	1	0	1	1	4	10	0	2
docx	0	0	8	11	3	0	4	22	0	0	0	2	8	0	1	4	1	1	1	0	0	0	2	0	1	1	0	0	1	0	0	16
dwf	0	1	0	4	3	0	12	29	0	0	0	2	14	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	30
eps	1	0	0	0	0	36	1	0	0	7	4	0	0	0	0	0	0	0	0	40	1	2	0	0	1	4	0	2	0	0	1	0
gif	0	0	1	1	3	0	51	12	0	0	0	1	1	0	4	3	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	17
gz	0	0	0	0	4	0	3	49	0	0	0	3	8	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	29
hlp	0	0	0	0	0	0	0	0	89	0	6	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	4	2	0	0	0	0
html	1	2	0	0	0	2	0	0	7	43	10	0	0	4	0	0	0	0	0	2	2	4	0	15	0	5	1	1	1	0	8	0
java	0	0	0	0	0	1	0	0	6	10	69	0	0	7	0	0	0	0	0	0	0	1	0	3	0	5	0	0	1	0	1	0
jpg	0	1	0	4	4	0	3	36	0	0	0	3	10	0	3	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	36
kmz	0	0	1	6	2	0	5	35	0	0	0	1	21	0	1	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	24
log	0	0	0	0	0	11	0	0	2	13	2	0	0	31	0	0	0	0	0	9	3	3	0	3	0	19	4	0	0	0	1	0
pdf	0	3	2	2	4	6	5	17	0	2	0	2	6	0	14	2	1	0	1	4	0	0	0	0	0	1	0	0	0	0	0	28
png	0	0	0	3	5	0	8	29	0	0	0	3	11	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
pps	0	0	8	1	4	0	2	19	0	0	0	1	9	0	0	3	1	2	3	0	1	0	1	0	2	0	0	0	8	7	0	35
ppt	0	0	12	1	2	0	9	19	0	0	0	2	7	0	1	3	2	4	1	0	0	0	1	0	1	1	1	0	5	13	0	13
pptx	0	0	0	4	4	0	9	28	0	0	0	4	11	0	2	3	2	0	1	0	1	0	2	0	1	0	0	0	1	0	0	27
ps	3	0	0	0	0	19	0	1	2	5	5	0	1	1	0	0	0	0	0	52	3	0	0	0	0	4	2	0	0	0	0	1
rtf	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	85	0	0	4	0	0	2	2	0	0	1	0
sql	1	1	0	0	0	1	0	0	8	5	10	0	0	3	0	0	0	0	0	0	2	47	0	2	4	7	8	2	1	0	1	0
swf	0	0	1	1	1	0	19	22	0	0	0	2	7	0	3	3	0	2	1	0	0	0	7	0	2	0	0	0	1	0	0	30
tex	0	0	0	0	0	2	0	0	2	12	2	0	0	9	0	0	0	0	0	7	2	3	0	38	0	7	1	0	0	0	17	0
text	4	0	3	1	0	2	3	9	5	2	4	0	1	2	3	0	0	0	1	2	8	6	0	12	6	2	5	9	2	1	0	8
tmp	0	0	3	0	0	6	0	0	1	8	2	0	0	9	0	0	0	0	0	8	2	5	0	3	0	38	5	5	0	1	5	0
troff	3	1	0	0	0	1	0	0	3	6	4	0	0	4	0	0	0	0	0	3	5	13	0	7	0	2	34	4	0	0	0	0
txt	5	4	0	0	0	6	0	0	10	8	2	0	0	8	2	0	0	0	0	3	5	3	0	13	4	3	8	16	1	0	0	0
wp	0	0	4	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	5	4	2	6	0	1	2	6	58	3	1	0
xls	0	0	24	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	3	4	0	3	62	0	0
xml	1	0	0	0	0	3	0	0	2	32	6	0	0	1	1	0	0	0	0	2	4	3	0	6	0	3	0	0	0	0	34	0
zip	0	0	0	2	1	0	0	38	0	0	0	3	12	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
