True	csv	dbase3	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	swf	tex	text	troff	txt	unk	wp	xls	xml	zip
csv	66	0	0	0	0	2	0	0	0	0	7	1	0	3	0	1	0	0	0	0	0	0	0	0	1	0	11	2	4	0	0	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
docx	0	0	11	2	0	0	0	6	10	0	0	0	13	0	12	0	1	1	1	0	8	0	0	1	0	0	0	0	0	0	3	0	31
dwf	0	0	2	3	0	0	1	5	4	0	0	0	31	0	5	0	2	3	0	0	2	0	0	10	0	0	0	0	0	0	1	0	30
eps	3	0	0	0	52	0	2	0	0	0	3	5	0	3	0	4	2	0	1	1	1	23	1	0	0	0	0	2	1	0	1	0	0
f	0	0	0	0	2	26	0	0	0	6	8	21	0	1	0	5	0	0	0	0	0	2	0	0	2	1	13	1	12	1	0	2	0
fits	0	5	1	1	1	6	51	0	1	0	0	0	1	0	0	2	1	1	0	0	2	0	0	3	0	2	1	3	7	1	12	0	2
gif	0	0	1	5	0	0	2	31	4	0	0	0	20	0	4	0	1	4	1	1	1	0	0	9	0	0	0	0	0	0	0	0	16
gz	0	0	1	1	0	0	0	3	27	0	0	0	22	0	13	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
hlp	1	0	0	0	0	10	0	0	0	70	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0
html	1	1	0	0	0	5	0	0	0	1	41	6	0	3	0	5	1	0	0	0	0	0	0	0	7	2	1	0	13	1	0	9	0
java	1	0	0	0	0	8	0	0	0	3	7	68	0	1	0	5	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0
jpg	0	0	3	3	0	0	1	6	10	0	0	0	27	1	6	0	2	2	0	1	0	0	0	1	0	0	0	0	1	1	1	0	31
kml	0	0	0	0	0	0	0	0	0	0	8	0	0	73	0	3	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	7	0
kmz	0	0	4	0	0	0	0	0	14	0	0	0	15	0	25	0	1	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	37
log	1	1	0	0	6	6	1	0	0	0	16	4	0	15	2	32	0	0	0	0	0	6	0	0	3	0	2	1	2	0	0	1	0
pdf	0	0	2	1	4	0	0	3	5	0	2	0	23	1	5	0	21	5	0	0	1	4	0	4	0	0	0	0	0	0	0	0	19
png	0	0	9	5	0	0	0	4	9	0	0	0	21	0	8	0	2	12	1	0	4	0	0	10	0	0	0	0	0	1	0	0	14
pps	0	0	0	2	1	0	0	1	10	0	0	0	26	0	7	0	1	3	6	5	1	0	0	4	0	0	0	0	0	2	6	0	24
ppt	0	0	1	1	0	1	0	1	5	1	0	0	13	0	10	0	1	6	9	9	0	0	2	2	0	0	0	0	0	9	12	0	21
pptx	0	0	7	3	0	0	0	0	6	0	0	0	23	0	9	0	2	1	0	2	8	0	0	8	0	0	0	0	1	1	1	0	29
ps	0	0	0	0	16	0	0	0	0	0	3	5	1	0	0	2	6	0	0	0	0	63	0	0	0	0	1	2	0	0	0	0	1
rtf	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	0	3	63	0	11	1	0	3	6	3	0	1	0
swf	0	0	6	2	0	0	0	6	4	0	0	0	21	0	10	0	1	1	0	1	1	0	0	15	0	0	0	0	0	0	1	0	30
tex	1	0	1	0	0	1	0	0	0	5	2	10	0	3	0	6	0	0	0	0	0	1	1	0	52	1	0	1	7	3	0	1	0
text	3	0	1	1	0	9	2	0	1	2	3	5	8	1	2	2	2	3	2	1	0	1	0	3	2	7	1	0	20	5	4	0	10
troff	2	0	0	0	1	13	0	0	0	3	13	7	0	0	0	5	0	0	0	0	0	3	0	0	8	1	34	2	8	0	0	2	0
txt	2	5	0	0	0	16	1	0	0	8	0	8	0	5	1	1	0	0	0	0	0	6	1	0	8	3	5	9	22	1	0	0	0
unk	0	0	0	3	0	3	9	0	0	7	3	11	1	0	0	2	0	0	1	1	0	1	1	1	9	2	1	6	23	6	5	3	1
wp	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	6	4	0	2	3	3	68	5	0	0
xls	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	4	2	0	0	0	2	0	0	2	1	0	4	79	0	0
xml	0	0	0	0	1	2	0	0	0	2	22	7	0	15	0	9	0	0	0	0	0	0	1	0	10	0	0	2	5	1	0	24	0
zip	0	0	3	3	0	0	0	4	5	0	0	0	29	0	9	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	42
