True	csv	dbase3	doc	docx	dwf	eps	f	fits	gz	hlp	html	java	jpg	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	70	2	0	0	0	0	2	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	5	3	1	0	0	2	0
dbase3	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
doc	0	0	17	2	0	1	2	1	4	0	1	0	7	1	3	0	3	0	1	0	0	2	2	1	0	5	0	1	1	1	1	39	2	5
docx	0	0	2	14	5	0	0	1	7	0	0	0	23	3	0	0	9	0	2	1	0	0	0	4	0	0	0	0	0	0	1	6	0	22
dwf	0	0	0	0	6	0	0	2	8	0	0	0	24	1	0	1	6	1	1	3	0	0	0	9	0	1	0	0	0	0	2	0	0	32
eps	3	0	0	0	0	39	0	2	0	0	0	1	0	0	0	0	0	1	0	0	42	5	0	0	0	0	2	0	5	0	0	2	1	0
f	2	0	0	0	0	1	36	8	0	2	3	8	2	0	0	0	0	0	0	0	1	0	6	0	1	7	1	10	5	7	1	0	0	0
fits	0	1	0	0	3	0	3	57	0	0	0	0	1	0	0	1	6	0	1	1	0	1	0	2	0	2	0	2	1	4	1	13	0	2
gz	0	0	0	4	4	0	0	0	21	0	0	0	40	5	0	1	2	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	20
hlp	1	1	0	0	0	0	13	1	0	56	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	3	1	11	0	0	2	0
html	2	2	1	0	0	0	4	1	0	1	48	3	0	0	2	0	0	0	0	0	2	0	3	0	5	6	1	2	2	3	0	1	17	0
java	0	0	0	0	0	2	10	0	0	2	6	59	0	0	2	0	0	0	0	0	3	0	6	0	0	2	0	3	0	1	0	0	3	0
jpg	0	0	0	3	6	0	0	3	15	0	0	0	28	5	1	0	9	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	1	22
kmz	0	0	0	5	0	0	0	0	10	0	0	0	20	19	0	0	6	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	31
log	2	3	0	0	0	7	9	1	0	0	5	6	0	0	28	0	0	0	0	0	8	4	1	0	3	1	10	3	3	1	0	0	8	0
pdf	0	0	0	1	1	1	0	5	4	0	2	0	22	4	1	8	5	0	0	4	6	0	0	3	0	1	0	0	0	0	0	2	2	24
png	0	0	0	2	6	0	0	0	8	0	0	0	23	6	0	0	16	1	0	5	0	0	0	3	0	0	0	0	0	0	1	0	0	27
pps	0	0	3	5	8	0	0	0	6	0	0	0	20	4	0	0	7	0	4	0	0	0	0	5	0	2	0	0	0	0	2	13	0	23
ppt	0	0	7	4	9	0	0	0	9	0	0	0	15	6	0	1	2	1	4	0	1	0	0	3	0	0	0	0	0	0	5	17	0	18
pptx	0	0	0	5	8	0	0	1	7	0	0	0	22	3	0	1	9	0	2	5	0	0	0	6	0	0	0	0	0	0	5	2	0	22
ps	1	0	0	0	1	19	1	0	0	0	2	2	2	0	4	0	0	1	0	0	60	2	1	0	1	0	0	0	0	1	0	0	3	1
rtf	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	9	79	0	0	1	3	0	1	0	2	0	0	0	0
sql	3	2	0	0	0	1	5	1	1	1	2	7	0	0	2	1	0	0	0	0	0	0	52	0	0	1	2	16	0	1	0	0	3	1
swf	0	0	0	1	4	0	0	0	4	0	0	0	21	5	0	1	7	2	1	1	0	0	0	20	0	0	0	0	0	0	2	5	0	23
tex	0	0	0	0	0	1	2	0	0	0	6	3	0	0	2	0	0	0	0	0	2	1	7	0	39	7	4	3	1	5	1	0	17	0
text	5	0	3	0	2	0	3	5	4	2	0	2	9	5	1	0	3	0	0	0	1	1	2	4	0	16	0	5	10	5	1	8	1	6
tmp	1	1	2	0	0	4	2	0	0	0	7	4	0	0	9	1	0	0	0	0	3	1	8	0	0	1	28	2	7	1	0	1	11	0
troff	4	0	0	0	0	2	16	2	0	0	6	1	0	0	4	0	0	0	0	0	2	1	9	0	0	7	7	33	2	2	0	0	3	0
txt	4	2	0	1	0	0	8	6	0	3	1	1	0	0	2	1	0	0	0	0	4	0	4	0	1	16	3	5	25	8	3	0	0	0
unk	2	4	3	0	0	0	10	9	1	0	5	10	3	2	1	0	2	2	2	1	2	0	1	0	1	10	0	5	7	10	2	5	3	0
wp	0	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	11	0	1	1	6	60	7	1	0
xls	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	2	0	2	0	2	0	1	6	73	0	1
xml	3	0	0	0	0	2	5	0	0	1	12	2	0	0	8	0	0	0	0	0	1	4	0	0	2	0	1	0	1	3	0	0	52	0
zip	0	0	0	2	4	0	0	0	7	0	0	0	37	3	0	1	8	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	38
