True	csv	dbase3	doc	docx	dwf	eps	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	59	2	0	0	0	1	1	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	1	1	9	11	4	0	0	0	0
dbase3	0	99	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
doc	0	0	56	0	2	0	0	2	4	0	0	0	0	0	1	1	0	3	1	2	0	0	2	0	1	1	1	0	2	0	2	15	5	0	1
docx	0	0	6	15	13	0	0	4	11	0	0	0	3	0	5	0	0	9	0	2	10	0	0	0	1	0	0	0	0	0	0	3	1	0	14
dwf	0	0	0	3	12	0	0	10	15	0	0	0	13	0	7	0	1	10	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	17
eps	1	0	1	0	0	38	3	2	0	0	0	1	0	1	0	1	1	0	0	0	0	29	4	0	0	2	1	2	1	4	0	1	1	0	0
fits	0	0	8	0	0	0	69	7	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	1	0	1	6	0	1	0	1
gif	0	0	0	3	13	0	0	35	6	0	0	0	5	0	2	0	4	12	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	10
gz	0	0	0	1	15	0	0	3	24	0	0	0	7	0	10	0	6	13	0	7	2	0	0	0	0	0	0	0	0	0	0	2	0	0	13
hlp	0	0	0	0	0	0	1	0	0	81	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	5	5	1	1	0
html	2	0	1	0	0	2	0	0	0	3	43	4	0	3	0	4	1	0	0	0	0	3	1	4	0	0	1	2	0	2	3	3	0	16	0
java	0	0	1	0	0	0	0	0	0	12	3	59	0	0	0	5	0	0	0	0	0	1	0	3	0	2	0	1	0	2	3	4	0	2	0
jpg	0	0	0	1	18	0	0	9	16	0	0	0	17	0	11	0	4	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	17
kml	0	0	0	0	0	0	0	0	0	0	4	1	0	74	0	3	0	0	0	0	0	0	0	1	0	2	0	1	0	5	0	1	0	8	0
kmz	0	0	2	2	18	0	0	6	14	0	0	0	4	0	25	0	3	8	0	4	5	0	0	0	1	0	0	0	0	0	0	0	0	0	9
log	0	1	0	0	0	1	1	0	0	3	9	4	0	1	0	32	1	0	0	0	0	4	0	12	0	4	2	10	1	6	5	2	0	5	0
pdf	0	0	1	1	13	0	3	4	9	0	1	0	5	3	4	2	12	4	0	1	1	16	0	0	2	2	1	2	0	1	0	0	0	1	11
png	0	0	0	4	23	0	0	25	6	0	0	0	7	0	9	0	5	8	0	2	2	0	0	0	3	0	1	0	0	0	0	0	0	0	9
pps	0	0	6	4	11	1	0	6	11	0	0	0	3	0	7	0	2	7	5	5	7	0	1	0	0	0	0	0	0	0	0	5	2	0	9
ppt	0	0	12	3	13	0	1	8	14	0	0	0	6	0	4	0	2	6	8	12	2	1	0	0	1	0	0	0	0	0	1	2	2	0	2
pptx	0	0	1	7	11	0	1	7	15	0	0	0	7	1	10	0	1	10	0	1	13	0	0	0	1	0	0	0	0	0	0	5	0	0	12
ps	0	0	0	0	1	20	0	0	1	0	1	5	0	0	0	1	0	0	0	0	1	59	4	0	0	1	0	3	0	2	0	0	0	2	1
rtf	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	76	0	0	4	0	1	0	0	2	9	0	1	0
sql	0	0	0	0	0	2	0	0	0	5	4	7	0	0	0	4	1	0	0	0	0	1	0	64	0	3	0	3	0	0	0	6	0	1	0
swf	0	0	2	4	12	0	1	16	7	0	0	0	12	0	4	0	5	2	1	3	5	0	0	0	11	0	0	0	0	0	0	2	3	0	10
tex	3	0	0	0	0	1	0	0	0	7	4	6	0	8	0	5	0	0	0	0	0	1	5	2	0	34	0	6	0	1	2	10	0	6	0
text	2	0	6	1	5	1	6	2	5	8	2	3	3	0	3	3	0	1	0	0	1	3	2	3	0	1	5	1	0	9	13	7	1	0	5
tmp	4	0	2	0	0	1	0	0	0	6	7	1	0	1	0	11	2	0	0	0	0	8	6	3	0	1	1	29	0	9	2	1	0	5	0
troff	3	2	0	0	0	0	0	0	0	5	2	3	0	1	0	2	0	0	0	0	0	8	3	10	0	1	0	2	37	4	6	8	1	1	0
txt	3	0	0	0	0	1	4	0	0	18	2	0	0	2	0	3	0	0	0	0	0	4	0	3	0	3	4	4	2	14	10	23	0	0	0
unk	0	0	7	0	1	3	8	0	1	6	3	11	0	0	0	1	2	0	0	1	0	3	3	3	1	3	1	0	0	4	15	17	0	4	1
wp	0	0	6	0	1	0	1	1	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	3	77	1	0	0
xls	0	0	32	1	1	0	2	1	0	2	1	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0	1	0	0	0	1	2	51	0	0
xml	0	0	0	0	0	1	0	0	0	3	20	3	0	10	0	6	1	0	0	0	0	0	6	0	0	7	0	2	0	3	2	3	0	32	0
zip	0	0	0	1	24	0	0	2	13	0	0	0	10	0	10	0	2	13	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	18
