True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	59	2	1	0	0	4	0	0	0	0	0	6	0	0	2	0	17	0	0	0	0	0	0	0	2	0	0	0	4	1	2	0	0	0	0	0
dbase3	0	92	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
doc	0	0	28	0	0	1	0	21	0	2	1	2	0	3	0	1	2	0	0	2	7	0	1	1	1	1	0	0	0	1	9	0	0	8	1	3
docx	0	0	3	10	11	0	0	3	1	8	0	1	0	6	0	9	0	3	8	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	35
dwf	0	0	0	1	11	0	0	2	8	6	0	0	0	11	0	14	0	1	6	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	35
eps	0	0	1	0	0	63	0	2	0	0	0	0	1	0	0	0	2	0	0	1	0	0	19	1	0	0	0	0	0	2	3	0	0	2	1	0
f	0	0	0	0	0	6	27	7	0	1	6	3	11	0	0	0	9	0	0	0	0	0	2	3	2	0	0	0	2	12	12	2	0	0	0	0
fits	0	0	1	0	1	11	2	64	1	0	2	0	1	1	0	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	6
gif	0	0	0	1	11	0	0	0	38	7	0	0	0	5	0	1	0	2	8	2	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	23
gz	0	0	0	0	13	0	0	0	8	23	0	0	0	6	0	13	0	1	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	28
hlp	0	0	0	0	0	0	5	0	0	0	81	2	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	6	0	0	0	1	0
html	0	1	2	0	0	6	0	0	0	0	1	23	1	0	1	0	19	1	0	0	0	0	1	3	3	0	0	0	0	1	9	2	0	0	27	0
java	1	0	0	0	0	1	10	1	0	0	6	9	48	0	1	0	8	0	0	0	0	0	0	0	1	0	0	0	1	2	3	3	0	0	5	0
jpg	0	0	0	2	13	0	0	1	1	21	0	0	0	6	1	5	0	1	5	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	38
kml	0	0	0	0	0	0	0	0	0	0	0	6	0	0	44	0	15	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	29	0
kmz	0	0	1	1	4	0	0	0	4	18	0	0	0	6	0	25	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	37
log	0	0	1	0	0	12	4	0	0	0	0	8	1	0	0	0	43	0	0	0	0	0	8	1	0	0	0	1	4	3	5	0	0	0	7	0
pdf	0	1	1	0	8	12	0	1	4	11	0	1	0	2	0	2	3	9	4	0	0	0	15	0	0	2	0	0	1	1	0	0	1	0	3	16
png	0	0	0	2	21	0	0	0	6	13	0	0	0	3	0	5	0	0	10	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	41
pps	0	0	4	1	17	0	0	5	5	7	0	0	0	8	0	8	0	1	4	2	9	1	0	0	0	1	0	0	0	0	0	0	4	4	0	21
ppt	0	0	3	1	5	0	0	5	2	15	1	0	0	6	0	8	0	1	6	2	10	1	0	0	0	1	0	0	0	0	1	0	7	2	0	21
pptx	0	0	1	5	10	0	0	3	4	21	0	0	0	5	0	7	0	6	7	0	0	1	0	0	0	2	0	0	0	0	0	0	3	0	0	31
ps	1	0	0	0	1	37	1	0	0	0	0	1	3	0	1	0	5	0	0	0	0	0	46	5	0	0	0	1	0	1	0	0	0	0	0	1
rtf	0	0	4	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	4	75	0	0	2	0	3	0	6	0	0	0	2	0
sql	0	2	0	0	0	5	4	1	0	0	9	3	5	0	0	0	8	0	0	0	0	0	1	0	29	0	0	1	8	15	6	1	0	0	3	0
swf	0	0	0	0	9	0	0	2	8	11	0	0	0	4	0	9	0	0	6	0	1	1	0	0	0	13	0	0	0	0	0	0	0	6	0	30
tex	0	0	1	0	0	0	1	0	0	0	5	11	4	0	1	0	8	0	0	0	0	0	0	4	1	0	23	0	4	3	15	1	0	0	12	0
text	1	0	4	0	3	11	1	10	2	3	2	0	4	1	0	2	2	0	2	3	1	2	6	1	0	0	0	7	1	5	11	1	0	3	1	8
tmp	0	0	1	0	0	17	1	2	0	0	0	7	0	0	0	0	20	0	0	0	4	0	5	2	1	0	0	1	20	3	6	0	0	0	9	1
troff	3	0	1	0	0	5	6	0	0	0	0	3	1	0	0	0	5	0	0	0	0	0	6	2	3	0	0	0	5	47	5	0	0	0	2	0
txt	0	3	3	0	0	9	2	10	0	0	8	1	0	0	1	0	2	0	0	0	0	0	9	3	4	0	0	1	2	7	31	0	0	0	1	0
unk	0	0	9	0	0	2	4	13	0	0	9	6	3	1	0	0	6	0	0	0	0	0	3	2	2	0	0	3	1	3	17	9	0	5	3	2
wp	0	0	3	0	0	2	1	6	0	0	1	0	0	0	0	1	1	0	0	3	6	0	0	1	1	0	0	2	0	4	16	0	46	4	0	0
xls	0	1	11	0	0	1	0	22	1	1	0	1	0	1	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	1	1	0	1	52	0	1
xml	0	0	0	0	0	1	1	0	0	0	0	7	6	0	9	0	13	1	0	0	0	0	0	3	2	0	1	0	1	0	8	0	0	0	46	0
zip	0	0	0	0	6	0	0	0	0	11	0	0	0	9	0	11	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
