True	dbase3	doc	docx	f	gz	html	kml	log	png	pptx	tmp	txt	xml	zip
dbase3	103	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	68	2	3	4	1	0	0	9	0	1	11	1	1
docx	0	1	28	0	10	0	0	0	32	17	0	0	0	13
f	0	1	0	64	0	1	0	2	0	0	2	34	0	0
gz	0	1	4	0	41	0	0	0	29	6	0	0	0	15
html	0	2	0	7	0	38	5	18	0	0	1	15	13	0
kml	0	0	0	0	0	5	83	0	0	0	0	9	3	0
log	0	0	0	19	0	2	0	67	0	0	3	6	2	0
png	0	0	8	0	20	0	0	0	42	18	0	0	0	11
pptx	0	5	10	0	21	0	1	0	30	14	0	0	0	15
tmp	0	8	0	7	0	5	0	39	0	0	21	21	1	0
txt	1	0	0	20	0	1	0	10	0	0	2	65	2	0
xml	0	2	0	4	0	15	18	12	0	0	0	11	36	0
zip	0	0	10	0	18	0	0	0	36	15	0	0	0	22
