True	csv	dbase3	doc	docx	eps	fits	gif	hlp	log	png	pps	ps	text	tmp	xls
csv	89	0	3	0	0	1	0	1	3	0	0	0	0	1	0
dbase3	0	95	0	0	0	1	0	2	0	0	0	2	0	0	0
doc	0	0	33	1	0	1	2	1	1	3	6	0	7	1	42
docx	0	0	5	32	0	1	10	0	0	36	7	0	0	5	0
eps	6	0	1	0	49	0	2	1	14	0	1	21	4	5	0
fits	1	1	0	1	0	67	7	2	3	8	0	0	4	0	11
gif	0	0	2	18	0	0	42	0	0	37	4	0	0	0	0
hlp	1	0	1	0	0	1	0	89	3	0	0	0	6	0	0
log	6	1	1	0	0	0	0	8	69	0	0	0	4	10	0
png	0	0	1	18	0	0	23	0	0	53	6	0	1	0	0
pps	0	0	8	22	0	1	6	0	0	39	13	1	4	0	7
ps	4	1	1	1	22	0	0	0	18	1	0	50	1	1	0
text	5	2	8	5	4	4	4	15	2	12	6	3	23	1	3
tmp	7	1	3	0	1	1	0	6	48	0	0	0	4	25	2
xls	0	0	14	0	0	0	1	1	1	2	3	0	3	1	72
