True	dbase3	doc	docx	eps	gz	kml	kmz	log	pdf	pps	ppt	rtf	tex	text	tmp	xls
dbase3	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	2	47	14	2	0	0	0	5	1	1	4	0	2	11	3	24
docx	2	3	55	0	18	0	1	0	2	8	5	0	0	0	1	3
eps	1	0	0	93	0	0	0	3	0	0	0	1	2	1	0	1
gz	0	0	45	0	34	0	7	0	2	13	5	0	0	0	0	0
kml	0	0	0	1	0	85	0	6	0	0	0	0	0	0	0	0
kmz	0	3	57	0	14	0	10	0	0	8	7	0	0	0	0	1
log	9	0	0	10	0	8	0	57	1	0	0	0	1	4	9	0
pdf	2	1	38	17	8	1	2	2	23	4	1	1	0	0	0	0
pps	0	3	37	1	14	0	4	0	2	7	21	0	0	1	0	6
ppt	0	5	31	0	11	0	1	0	2	10	13	0	0	0	1	19
rtf	0	1	0	12	0	0	0	6	0	0	0	73	3	5	1	0
tex	0	3	0	2	0	1	0	20	0	0	0	4	45	11	8	0
text	13	5	3	17	7	0	1	5	3	2	2	1	3	16	12	10
tmp	2	1	0	22	0	3	0	29	5	1	1	1	1	3	30	1
xls	7	8	2	1	0	1	0	2	0	1	3	0	0	3	2	68
