True	doc	docx	dwf	eps	fits	gz	hlp	html	java	kml	kmz	png	sql	swf	txt	unk	zip
doc	70	1	0	1	2	2	0	2	0	0	0	4	4	0	2	6	3
docx	13	18	9	0	0	9	0	0	0	0	4	12	0	12	0	0	25
dwf	0	4	18	0	2	8	0	0	0	0	6	9	0	12	0	0	39
eps	1	0	0	82	5	1	0	3	2	0	0	0	0	0	5	3	0
fits	11	0	3	0	67	1	1	0	0	0	0	2	1	6	1	3	2
gz	1	3	9	0	0	23	0	0	0	0	4	11	0	8	0	0	41
hlp	4	0	0	1	4	0	65	0	0	0	0	0	4	0	0	20	0
html	1	0	0	2	2	0	0	47	5	9	0	0	12	0	7	17	0
java	0	0	0	1	0	0	2	11	47	1	0	0	9	0	2	27	0
kml	0	0	0	0	0	0	0	6	0	85	0	0	3	0	10	0	0
kmz	3	5	7	0	0	16	0	0	0	0	16	9	0	9	0	0	33
png	0	7	17	0	2	12	0	0	0	0	2	21	0	15	0	0	27
sql	1	0	0	4	0	0	1	2	3	1	0	0	71	0	2	9	0
swf	3	6	10	0	2	7	0	0	0	0	4	9	0	25	0	0	36
txt	6	0	0	7	10	0	6	1	0	2	0	0	11	0	24	32	0
unk	12	0	0	5	13	3	2	6	1	0	0	1	12	2	9	36	2
zip	0	7	16	0	0	5	0	0	0	0	8	15	0	1	0	0	47
