True	csv	dbase3	docx	fits	hlp	html	java	jpg	kml	ppt	rtf	tex	tmp	troff	unk	wp	xls	xml
csv	68	2	0	0	0	6	1	0	6	0	0	1	1	4	0	0	0	2
dbase3	1	96	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
docx	0	1	70	0	0	0	0	10	0	10	0	0	0	0	0	2	0	0
fits	0	9	13	46	4	0	0	5	0	1	0	0	1	1	8	4	0	0
hlp	0	1	0	0	78	3	4	0	0	0	1	5	1	0	1	0	0	3
html	1	1	0	3	2	14	5	0	9	0	0	5	1	2	4	2	0	52
java	0	2	0	0	6	3	76	0	0	0	1	4	1	4	0	0	0	6
jpg	0	1	84	0	0	0	0	6	1	9	0	0	0	0	2	2	0	0
kml	1	0	0	0	0	2	0	0	79	0	0	1	1	0	0	0	0	23
ppt	1	0	53	1	0	0	0	4	0	10	0	0	0	0	0	13	12	0
rtf	0	0	0	0	3	1	0	0	0	0	87	4	2	0	3	1	1	1
tex	2	0	0	0	5	1	5	0	11	0	3	40	3	4	7	3	0	22
tmp	8	1	3	0	8	7	1	0	1	0	3	6	42	3	3	0	1	10
troff	15	7	0	2	7	5	10	0	0	0	3	5	2	40	8	0	0	5
unk	0	6	5	6	9	2	10	1	1	4	6	8	1	3	16	4	2	8
wp	0	0	1	0	2	1	3	0	0	0	2	4	0	1	8	67	7	1
xls	0	2	23	1	1	0	0	0	0	2	1	1	2	3	1	5	65	0
xml	0	0	0	0	4	7	3	0	11	0	2	6	8	1	1	0	0	64
