True	csv	eps	f	gif	java	jpg	kmz	pdf	png	pps	ppt	pptx	ps	sql	swf	tex	troff	wp	xls	xml
csv	77	0	0	0	0	0	0	0	0	0	0	0	1	9	0	1	4	0	0	6
eps	5	28	2	4	1	0	0	3	0	1	1	0	36	3	0	0	3	0	2	5
f	0	0	35	0	15	0	0	1	0	0	0	0	2	17	0	1	12	8	0	4
gif	0	0	0	53	0	3	6	0	15	11	1	0	0	1	6	0	0	0	2	0
java	0	0	6	0	51	0	0	0	0	0	0	0	1	11	0	4	7	1	0	15
jpg	0	0	0	13	0	10	8	2	28	29	2	3	0	1	5	0	0	0	2	0
kmz	0	0	0	6	0	8	26	3	24	28	2	3	0	0	3	0	0	0	0	0
pdf	0	0	0	16	0	8	2	10	14	15	0	0	17	3	3	0	0	0	2	7
png	0	0	0	22	0	4	6	2	36	15	5	1	0	0	5	0	0	0	1	0
pps	0	0	0	17	0	3	5	2	16	24	13	3	0	1	6	0	1	0	10	1
ppt	0	0	0	14	0	7	5	3	15	27	14	0	0	0	10	0	0	1	8	0
pptx	0	0	0	13	0	12	6	3	30	22	7	1	0	0	7	0	0	2	3	0
ps	5	15	2	0	9	0	0	3	2	0	0	0	55	2	0	1	0	0	0	2
sql	3	0	5	0	6	0	0	0	0	0	0	0	0	76	0	1	3	4	0	6
swf	0	0	0	26	0	9	11	6	12	21	0	0	0	1	16	0	0	2	0	0
tex	3	0	6	0	1	0	0	0	0	0	0	0	8	7	0	25	1	8	0	49
troff	10	2	3	0	6	0	0	2	0	0	0	0	5	21	0	2	42	4	0	7
wp	0	0	1	4	0	0	0	2	0	2	3	0	0	4	4	0	1	76	5	1
xls	0	0	2	0	0	0	0	0	1	3	3	0	0	1	1	0	4	7	71	0
xml	2	0	4	0	1	0	0	0	0	0	0	0	1	9	0	2	1	4	0	71
