True	doc	docx	dwf	eps	f	fits	gz	hlp	java	kmz	log	pdf	pps	ppt	ps	sql	swf	text	tmp	txt	zip
doc	57	0	3	0	1	0	3	1	2	4	3	0	0	5	1	1	4	1	6	3	4
docx	2	14	27	0	0	0	17	0	0	7	0	1	1	1	0	0	5	0	0	0	24
dwf	0	4	29	0	0	3	15	0	0	12	0	0	0	0	0	0	11	0	0	0	23
eps	5	0	0	44	2	0	0	0	2	0	5	1	0	0	37	0	1	0	0	3	0
f	4	0	0	2	42	7	0	2	13	0	6	0	0	0	6	4	0	3	0	12	0
fits	5	1	5	5	5	63	4	0	0	2	0	1	1	1	0	0	2	2	0	2	0
gz	0	1	24	0	0	0	33	0	0	15	0	0	0	1	0	0	3	0	0	0	23
hlp	0	0	0	0	22	2	0	61	10	0	0	0	0	0	2	2	0	0	0	5	0
java	0	0	0	1	16	0	0	1	61	0	5	0	0	0	6	2	0	0	3	1	0
kmz	0	6	16	0	0	1	22	0	0	28	0	0	0	0	0	0	3	0	0	0	23
log	2	0	0	5	7	2	0	0	11	0	45	3	0	0	15	1	0	1	4	7	0
pdf	0	3	12	3	0	5	17	0	1	5	0	21	1	0	10	0	7	0	0	0	13
pps	8	1	19	0	0	2	20	0	0	12	0	2	2	14	0	1	4	0	0	0	17
ppt	18	6	15	0	0	2	18	0	0	5	0	0	1	17	0	0	5	0	0	2	10
ps	0	0	1	34	0	0	1	0	1	1	4	0	0	0	55	0	1	0	1	0	0
sql	3	0	0	0	22	1	0	1	10	0	9	0	0	0	1	38	0	5	5	3	0
swf	2	4	13	0	0	2	21	0	0	11	0	2	0	4	0	0	23	0	0	0	20
text	8	1	8	4	8	1	5	1	2	1	0	5	1	1	6	5	2	10	0	24	12
tmp	2	0	0	4	6	1	0	0	8	2	33	4	0	1	7	0	0	0	26	9	0
txt	5	0	0	4	19	4	0	8	6	0	6	0	0	0	0	4	0	3	0	37	0
zip	0	1	29	0	0	0	16	0	0	16	0	0	0	0	0	0	5	0	0	0	34
