True	csv	dbase3	doc	dwf	eps	f	fits	gif	gz	hlp	jpg	kmz	log	pdf	ppt	rtf	swf	tex	text	txt	unk	xml
csv	87	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	5
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	77	1	0	0	0	1	0	1	3	3	1	0	2	0	7	1	0	8	7	3
dwf	0	0	2	16	0	0	1	11	8	0	26	14	0	6	0	0	25	0	0	0	0	0
eps	6	0	0	0	71	0	1	2	0	0	0	0	5	3	1	1	0	0	2	9	0	4
f	2	0	0	0	1	54	0	0	0	6	0	0	5	0	0	0	0	1	2	18	11	1
fits	0	1	7	0	0	1	68	0	0	3	0	1	0	0	2	1	5	0	2	1	11	0
gif	0	0	0	11	0	0	1	32	8	0	3	10	0	4	3	0	24	0	0	0	0	0
gz	0	0	0	8	0	0	0	2	24	0	17	23	0	6	2	0	25	0	0	0	0	0
hlp	1	0	0	0	0	6	0	0	0	58	0	0	0	0	0	0	0	0	1	11	12	3
jpg	0	0	0	14	0	0	2	2	17	0	19	20	0	9	0	0	15	0	0	0	1	0
kmz	0	0	2	16	0	0	0	2	9	0	19	20	0	5	2	0	23	0	0	0	0	0
log	2	0	0	0	14	10	0	0	0	2	0	0	42	0	0	1	0	1	2	8	9	9
pdf	0	0	0	7	8	0	2	3	7	0	10	15	2	24	0	0	19	0	1	0	0	3
ppt	0	0	15	19	0	0	0	2	5	0	14	8	0	7	14	0	14	0	0	0	1	0
rtf	0	0	1	0	8	0	0	0	0	1	0	0	0	0	0	77	0	2	0	5	4	1
swf	0	0	6	10	0	0	0	6	6	0	13	13	0	7	2	0	20	0	1	0	3	0
tex	3	0	6	0	2	5	0	0	0	2	0	0	5	0	0	1	0	29	1	15	6	19
text	5	0	6	6	5	6	1	3	3	1	5	1	0	0	5	1	9	0	10	20	9	1
txt	6	0	3	0	1	5	1	0	0	8	0	0	4	1	0	0	0	2	5	51	17	1
unk	0	3	9	0	4	7	3	1	0	6	0	2	2	0	0	1	1	3	5	22	17	6
xml	7	0	1	0	2	2	0	0	0	3	0	0	10	0	0	3	0	1	0	7	3	62
