True	csv	dbase3	doc	docx	dwf	eps	f	fits	gz	java	jpg	log	pdf	ps	rtf	sql	tex	text	tmp	troff	txt	wp	xml
csv	69	2	0	0	0	0	2	2	0	0	0	0	1	0	0	3	0	2	1	9	0	1	1
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
doc	0	0	72	0	0	0	1	1	2	0	6	0	0	0	2	1	0	0	0	2	3	14	0
docx	0	0	6	33	8	0	0	1	24	0	37	0	5	0	0	0	0	0	0	0	0	0	0
dwf	0	0	1	17	10	0	0	3	17	0	52	0	2	0	0	0	0	0	0	0	0	1	0
eps	5	0	0	0	0	53	0	2	0	0	0	2	4	31	3	0	0	0	0	1	6	3	0
f	0	3	2	0	0	4	29	6	0	8	1	7	0	0	1	9	0	3	1	8	8	8	0
fits	0	5	9	0	1	1	2	61	3	0	1	1	3	0	0	0	1	2	0	0	0	4	0
gz	0	0	0	11	8	0	0	2	32	0	46	0	2	0	0	0	0	0	0	0	0	0	0
java	1	0	0	0	0	2	8	0	0	53	0	4	0	2	0	6	4	0	5	1	0	1	7
jpg	0	0	0	9	5	0	0	8	14	1	50	0	0	0	0	0	0	2	0	0	0	1	0
log	7	0	1	0	0	5	3	3	0	0	0	28	1	4	5	5	2	2	12	4	5	0	11
pdf	0	0	3	12	4	2	0	3	8	0	36	0	21	3	0	1	0	1	0	1	0	0	5
ps	3	2	0	2	0	32	0	1	2	1	2	3	0	42	1	0	0	2	2	1	2	0	2
rtf	0	0	1	0	0	1	0	0	1	0	1	0	0	5	78	1	0	3	0	2	1	5	2
sql	0	3	0	0	0	0	6	2	0	1	0	1	1	0	0	46	2	1	12	3	12	3	5
tex	2	0	2	0	0	0	1	0	0	4	0	5	0	2	6	2	32	1	8	3	7	7	22
text	3	2	6	5	2	1	7	6	7	0	14	0	2	3	2	0	0	9	1	5	10	9	0
tmp	5	1	1	0	0	3	1	2	0	3	0	18	5	0	2	5	1	2	29	1	16	2	4
troff	6	4	1	0	0	0	9	0	0	2	0	1	1	1	1	8	0	4	2	55	2	4	5
txt	6	3	0	0	0	1	9	8	0	1	0	4	2	2	0	2	0	6	3	9	26	14	0
wp	0	0	8	0	0	0	1	1	0	0	0	0	2	0	1	1	1	1	0	1	2	72	0
xml	3	1	1	0	0	2	0	0	0	0	0	4	1	0	7	1	6	1	4	2	3	4	65
