True	csv	docx	dwf	f	fits	gif	hlp	java	jpg	png	pps	pptx	ps	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	89	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	3	0
docx	0	29	6	0	0	1	0	0	11	3	2	17	0	4	0	0	0	0	0	0	3	1	0	23
dwf	0	3	13	0	0	0	0	0	10	2	4	16	0	15	0	0	0	0	0	0	0	0	0	36
f	5	0	0	21	2	0	1	23	0	0	0	0	3	0	8	8	4	13	3	6	1	0	3	0
fits	0	0	2	2	74	1	0	2	1	1	2	1	0	1	0	5	0	0	0	4	2	5	0	4
gif	0	9	5	0	1	39	0	0	3	10	2	8	0	13	0	0	2	0	0	0	1	0	0	9
hlp	0	0	0	6	1	0	69	7	0	0	0	0	0	0	6	1	1	3	1	3	0	0	2	0
java	1	1	0	3	0	0	2	81	0	0	0	0	1	0	9	0	2	2	1	0	0	0	1	0
jpg	0	6	10	0	1	5	0	0	12	3	5	5	0	9	0	2	0	0	0	0	0	0	1	41
png	0	5	8	0	0	10	0	0	6	16	1	13	0	8	0	1	0	0	0	0	0	0	0	27
pps	0	3	6	0	0	5	0	0	5	6	4	9	0	2	0	4	2	0	0	0	3	19	0	28
pptx	0	2	11	0	0	5	0	0	9	8	5	20	0	4	0	1	0	0	0	0	6	1	0	27
ps	2	0	0	1	0	0	1	5	2	0	0	0	69	0	2	1	3	2	0	0	0	0	6	1
swf	0	3	10	0	0	9	0	0	7	2	1	10	0	24	0	0	0	0	0	0	4	1	0	31
tex	4	1	0	1	0	0	2	9	0	0	0	0	1	0	54	3	2	4	1	2	0	0	20	0
text	10	3	6	1	2	3	0	7	2	1	1	5	2	3	4	5	1	5	13	4	8	8	0	6
tmp	8	6	0	5	4	0	0	3	0	0	0	0	4	1	3	1	42	4	0	0	0	1	21	0
troff	2	0	0	7	1	0	0	5	0	0	0	0	1	0	7	1	6	63	1	0	3	0	2	0
txt	10	0	0	6	7	0	3	2	0	0	0	0	1	0	5	8	11	15	18	11	1	0	3	0
unk	0	1	1	10	6	0	0	16	0	1	4	1	1	0	11	5	3	5	5	7	4	6	4	3
wp	0	3	1	0	0	1	1	3	1	0	0	1	0	0	6	3	0	0	1	2	68	3	1	0
xls	0	3	1	0	0	0	1	0	0	0	2	1	0	0	1	3	1	2	1	1	5	77	1	1
xml	5	0	0	0	0	0	0	11	0	0	0	0	2	0	7	0	4	1	0	1	1	0	69	0
zip	0	5	6	0	0	3	0	0	17	5	3	12	0	5	0	0	0	0	0	0	0	0	0	45
