True	dbase3	doc	docx	dwf	f	gif	gz	hlp	html	java	jpg	kml	pdf	png	pptx	ps	rtf	sql	swf	text	troff	txt	unk	xls	xml	zip
dbase3	94	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0
doc	0	59	1	0	2	2	4	0	2	0	1	0	0	3	1	0	1	2	2	1	0	1	9	4	3	3
docx	0	4	19	6	0	7	14	0	0	0	12	0	5	21	3	0	0	0	1	0	0	0	0	0	0	13
dwf	0	0	2	4	0	14	6	0	0	0	13	0	4	25	1	0	0	0	11	0	0	0	0	0	0	18
f	0	0	0	0	23	0	0	1	2	28	0	0	0	0	0	0	0	13	1	2	3	6	19	0	3	0
gif	0	0	1	0	0	63	8	0	0	0	2	0	2	18	2	0	0	0	2	0	0	0	0	0	0	4
gz	0	0	2	2	0	14	22	0	0	0	7	0	8	29	3	0	0	0	3	0	0	0	0	0	0	9
hlp	0	0	0	0	4	0	0	64	0	10	0	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0
html	0	0	0	0	1	0	0	0	23	12	0	7	0	0	0	0	0	3	0	0	2	1	11	0	44	0
java	0	0	0	0	3	0	0	1	0	91	0	1	0	0	0	0	0	6	0	0	0	1	2	0	0	0
jpg	0	1	3	6	0	11	17	0	0	0	21	0	3	17	2	0	0	0	3	1	0	0	1	1	0	18
kml	0	0	0	0	1	0	0	0	1	0	0	84	0	0	0	0	0	1	0	0	0	1	1	0	12	0
pdf	0	0	1	4	0	15	8	0	2	0	13	0	26	16	1	0	0	4	1	3	0	0	2	0	1	11
png	0	0	1	4	0	22	12	0	0	0	13	0	3	32	0	0	0	0	4	0	0	0	0	0	0	11
pptx	0	4	4	2	0	13	15	0	0	0	19	0	5	24	1	0	0	0	2	0	0	0	0	0	0	8
ps	1	0	0	0	0	0	0	0	4	3	0	1	0	0	0	70	4	2	0	2	5	6	0	0	4	0
rtf	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	2	79	0	0	0	0	0	10	0	6	0
sql	0	0	1	0	1	0	0	1	2	7	0	1	0	0	0	0	0	77	0	0	0	0	2	0	2	0
swf	0	2	4	4	0	12	8	0	0	0	8	0	2	20	2	0	0	0	15	2	0	0	0	1	0	16
text	0	5	1	1	2	6	3	2	3	5	3	2	0	1	1	2	0	13	0	7	2	15	14	0	1	5
troff	0	0	0	0	15	0	0	1	5	14	0	0	0	0	0	2	0	6	0	1	35	2	10	0	1	0
txt	1	0	1	0	6	0	0	2	1	10	0	2	1	0	0	0	0	8	0	10	5	21	29	0	2	0
unk	0	3	0	0	10	2	2	2	5	14	2	0	2	3	0	2	0	7	1	1	2	4	26	2	3	1
xls	0	35	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	3	3	3	0	1	6	44	1	0
xml	0	0	0	0	0	0	0	0	7	7	0	16	0	0	0	0	1	8	0	0	0	1	6	0	57	0
zip	0	0	1	8	0	12	11	0	0	0	12	0	3	28	1	0	0	0	3	0	0	0	0	0	0	19
