True	csv	dbase3	docx	dwf	eps	fits	gif	gz	html	jpg	kml	kmz	pdf	png	pps	ppt	pptx	ps	rtf	sql	tex	text	txt	unk	wp	xml	zip
csv	77	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	4	4	2	4	0	1	5	0
dbase3	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
docx	0	0	15	19	0	0	8	13	0	16	0	10	3	4	0	0	4	0	0	0	0	0	0	0	1	0	6
dwf	0	0	4	16	0	2	12	11	0	13	0	18	4	6	2	1	1	0	0	0	0	0	0	0	1	0	6
eps	1	0	0	0	18	3	0	1	1	0	6	0	3	0	1	1	0	40	2	0	0	3	11	1	1	7	0
fits	2	2	6	2	1	58	7	1	0	0	0	1	6	0	0	0	1	1	0	1	0	2	3	5	0	0	0
gif	0	0	2	6	0	0	67	5	0	8	0	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	3
gz	0	0	2	18	0	0	12	27	0	8	0	12	8	4	0	0	0	0	0	0	0	0	0	0	0	0	7
html	0	0	0	0	0	0	0	0	16	0	18	0	4	0	0	0	0	0	2	4	17	2	4	4	2	31	0
jpg	0	0	5	22	0	0	8	17	0	15	0	18	0	8	0	0	1	0	0	0	0	2	0	0	1	0	6
kml	0	0	0	0	0	0	0	0	1	0	94	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
kmz	0	0	7	17	0	0	3	19	0	12	0	32	1	2	0	2	1	0	0	0	0	0	0	0	0	0	7
pdf	0	0	0	12	0	0	10	10	0	9	4	7	22	3	2	1	4	2	1	0	0	0	2	1	0	2	8
png	0	0	6	15	0	0	18	11	0	17	0	9	5	6	0	1	2	0	0	0	0	0	0	0	0	0	6
pps	0	0	0	12	0	0	11	23	0	12	0	14	1	1	9	4	3	0	1	1	0	1	0	0	3	0	2
ppt	0	0	3	11	1	1	13	12	0	11	0	9	4	3	21	2	1	0	0	2	0	0	0	0	4	0	3
pptx	0	0	3	15	0	0	10	16	0	21	0	14	3	3	2	0	5	0	0	0	0	0	0	0	0	0	6
ps	3	0	0	3	12	0	0	0	3	1	7	0	4	1	0	0	0	53	2	1	5	0	4	0	1	1	1
rtf	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	83	0	2	0	6	1	1	2	0
sql	2	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	66	8	2	3	6	2	7	0
tex	6	0	0	0	1	0	0	0	4	0	17	0	0	0	0	0	0	0	3	0	46	0	4	4	6	8	0
text	6	0	5	4	0	2	1	5	1	4	3	7	5	2	2	0	2	3	2	2	4	6	11	11	8	1	1
txt	4	2	0	0	0	3	0	0	1	0	11	0	7	0	0	0	0	0	0	4	5	7	30	12	10	2	0
unk	0	1	1	1	0	1	2	2	2	0	0	1	3	0	2	0	1	2	5	2	7	11	14	19	14	9	1
wp	0	0	0	0	0	2	0	0	0	0	1	0	0	0	4	0	0	0	2	0	1	1	4	2	77	0	0
xml	0	0	0	0	0	0	0	0	4	0	31	0	0	0	0	0	0	0	2	1	6	0	4	1	4	49	0
zip	0	0	0	28	0	0	7	9	0	18	0	21	5	5	0	0	2	0	0	0	0	0	0	0	1	0	8
