True	csv	dbase3	doc	dwf	eps	f	gif	gz	hlp	html	java	kml	log	png	pps	ppt	pptx	ps	sql	swf	tex	text	tmp	troff	txt	unk	xls	xml	zip
csv	70	0	0	0	2	3	0	0	0	4	0	1	5	0	0	0	0	0	4	0	0	0	1	3	1	1	0	0	0
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
doc	0	0	59	2	1	0	3	3	0	3	0	0	0	1	1	12	3	0	0	1	0	0	0	0	4	1	7	0	5
dwf	0	0	0	16	0	0	17	12	0	0	0	0	0	10	0	0	6	0	0	3	0	0	0	0	0	0	0	0	33
eps	1	0	0	0	44	0	2	0	0	6	3	0	3	0	0	0	0	22	3	0	0	2	1	3	4	0	2	1	0
f	1	0	2	0	1	27	0	0	8	9	9	0	2	0	0	0	0	1	6	0	2	0	1	5	12	7	0	1	0
gif	0	0	3	6	0	0	53	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
gz	0	0	0	11	0	0	12	21	0	0	0	0	0	23	0	0	9	0	0	1	0	0	0	0	0	0	0	0	20
hlp	0	0	0	0	0	3	0	0	67	2	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0	16	0	0	0
html	0	2	0	0	0	0	0	0	1	58	4	7	0	0	0	0	0	0	0	0	2	0	1	3	2	1	0	16	0
java	0	0	0	0	0	5	0	0	1	7	69	1	0	0	0	0	0	0	2	0	2	0	0	1	1	5	0	1	0
kml	0	0	1	0	0	1	0	0	0	2	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
log	0	0	0	0	4	4	0	0	0	18	2	9	29	0	0	0	0	1	2	0	3	0	13	2	6	0	0	7	0
png	0	0	0	15	0	0	30	10	0	0	0	0	0	21	0	0	11	0	0	0	0	0	0	0	0	0	0	0	13
pps	0	0	5	10	0	1	19	17	0	0	0	0	0	15	2	12	9	0	0	0	0	1	0	0	0	0	5	0	8
ppt	0	0	11	14	1	0	11	12	0	0	0	0	0	18	3	14	7	0	0	1	0	0	0	0	0	0	4	0	11
pptx	0	0	1	11	0	0	14	17	0	0	0	1	0	24	0	4	11	0	0	0	0	0	0	0	0	0	0	0	15
ps	3	0	0	0	32	0	0	0	2	5	3	1	9	0	0	0	0	35	0	0	1	1	3	0	2	1	0	0	4
sql	4	0	0	0	0	9	1	0	2	7	7	0	2	0	0	0	0	0	55	0	1	0	3	5	1	1	0	6	0
swf	0	0	5	9	0	0	24	7	0	0	0	0	0	23	0	2	5	0	0	8	0	1	1	0	0	0	2	0	18
tex	0	0	1	0	0	0	0	0	0	7	6	0	6	0	0	0	0	0	2	0	46	1	3	1	5	10	0	15	0
text	2	0	3	2	3	7	8	3	1	10	0	0	6	5	1	3	3	0	5	0	0	3	1	4	22	8	1	2	5
tmp	0	0	5	0	2	5	0	0	2	11	1	2	17	0	0	0	0	0	9	0	2	0	41	0	3	1	0	6	0
troff	5	1	0	0	1	20	0	0	0	14	2	0	0	0	0	0	0	0	4	0	0	0	5	38	5	5	0	1	0
txt	3	1	3	0	1	4	0	0	2	4	3	1	2	0	0	0	0	0	2	0	0	1	8	5	42	14	0	0	0
unk	3	5	7	1	1	10	4	1	1	18	5	0	0	1	0	0	1	0	1	2	2	4	1	0	9	14	4	3	1
xls	0	0	26	0	0	0	0	1	0	0	0	2	0	0	1	6	1	0	1	1	0	1	0	0	2	1	55	0	0
xml	0	0	0	0	1	0	0	0	0	23	5	18	1	0	0	0	0	1	1	0	0	0	5	0	2	0	0	48	0
zip	0	0	0	12	0	0	7	12	0	0	0	0	0	32	0	0	9	0	0	1	0	0	0	0	0	0	0	0	30
