True	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	jpg	kml	kmz	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	tmp	troff	txt	unk	xls	xml	zip
dbase3	95	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
doc	0	40	1	1	0	0	1	5	0	0	0	1	1	1	4	1	9	2	0	7	1	3	0	0	0	3	4	13	0	1
docx	0	1	22	7	0	0	4	11	10	0	1	0	11	1	13	2	1	1	0	0	0	2	0	0	0	0	0	0	0	12
dwf	0	0	9	10	0	0	2	20	14	0	1	0	11	1	8	1	3	1	0	0	0	5	0	0	0	0	0	0	0	15
eps	0	1	0	0	62	0	2	0	0	0	0	0	0	3	0	0	0	0	19	3	1	0	0	0	1	0	1	0	4	0
f	3	2	0	0	6	27	4	1	0	9	0	0	0	1	0	0	1	0	2	6	3	0	0	3	6	9	20	0	4	0
fits	0	0	0	2	0	0	67	10	0	0	0	0	0	3	2	1	1	0	0	2	0	2	0	0	0	0	4	2	0	3
gif	0	0	3	3	0	0	0	61	9	0	0	0	4	3	6	0	1	0	0	0	0	4	0	0	0	0	0	1	0	3
gz	0	0	5	7	0	0	0	18	31	0	1	0	7	0	10	3	2	1	0	0	0	0	0	0	0	0	0	0	0	12
hlp	0	2	0	0	0	4	0	0	0	74	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	9	0	0	0
jpg	0	2	7	8	0	0	1	9	18	0	3	0	16	2	11	6	4	0	0	0	0	1	0	0	0	0	0	0	1	14
kml	0	0	0	0	0	0	2	0	0	0	0	57	0	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	38	0
kmz	0	1	2	5	0	0	0	8	28	0	4	0	29	5	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	13
pdf	0	1	3	4	1	0	2	20	11	0	0	1	4	22	6	2	1	2	2	1	0	1	0	0	0	0	0	0	6	10
png	0	0	10	8	0	0	0	17	17	0	6	0	3	0	20	4	0	1	0	0	0	2	0	0	0	0	0	1	0	12
pps	0	7	4	6	0	0	1	14	16	0	3	0	6	1	8	3	17	0	0	1	0	2	0	0	0	0	1	2	0	10
ppt	0	12	4	6	1	0	0	6	19	0	3	0	8	3	7	0	16	0	1	0	1	0	0	0	0	0	1	2	0	7
pptx	0	0	9	6	0	0	1	23	22	0	1	0	8	3	10	3	3	1	0	0	0	1	0	0	0	0	0	0	0	10
ps	0	0	0	0	39	1	0	0	0	0	0	3	0	3	1	0	0	1	41	3	1	0	0	2	2	0	2	0	2	1
rtf	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	3	78	0	0	1	0	0	6	1	1	0	0
sql	0	0	0	0	3	5	0	0	0	4	0	0	0	0	0	0	0	0	1	0	61	0	0	5	4	2	9	0	8	0
swf	0	0	6	2	0	0	1	17	12	0	3	0	16	1	8	0	2	0	0	1	0	18	0	0	0	0	0	0	0	12
tex	1	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	1	17	4	0	26	9	2	7	6	0	16	0
tmp	0	4	0	0	10	1	1	1	0	0	0	3	0	6	0	0	0	0	5	2	6	1	0	35	0	8	5	0	7	0
troff	1	1	0	0	1	7	0	0	0	3	0	0	0	0	0	0	0	0	7	5	15	0	0	3	31	10	16	0	1	0
txt	3	0	0	0	12	6	7	0	0	5	0	2	0	2	0	0	0	0	11	12	2	0	0	1	3	19	19	0	1	0
unk	3	6	0	1	4	1	6	3	1	6	0	0	0	1	0	3	0	0	0	10	4	0	1	1	3	14	22	3	9	0
xls	0	13	1	1	0	0	2	0	0	0	0	0	0	1	0	0	11	0	0	0	0	4	0	0	1	0	8	62	1	0
xml	0	0	0	0	0	0	0	0	0	1	0	4	0	4	0	0	0	0	0	9	4	0	0	0	0	5	3	0	67	0
zip	0	0	6	8	0	0	0	11	22	0	4	0	11	0	13	2	1	0	0	0	0	1	0	0	0	0	0	0	0	17
