True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	pdf	png	pps	ppt	pptx	rtf	sql	swf	tex	text	tmp	txt	unk	wp	xml	zip
csv	82	0	0	0	0	2	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	3	2	0	1	0
dbase3	0	95	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
doc	1	1	54	1	0	0	0	3	5	6	2	0	1	0	0	1	0	0	1	5	1	1	3	3	5	1	0	3	3	3	2	3
docx	0	0	4	11	6	0	0	1	15	16	0	0	0	5	0	12	9	4	0	0	10	0	0	0	0	1	0	0	0	2	0	6
dwf	0	0	1	5	6	0	0	5	21	13	0	0	0	3	0	27	7	1	0	0	6	0	0	0	0	0	0	0	0	0	0	9
eps	6	0	0	0	0	74	1	2	0	0	0	1	1	0	1	0	3	0	0	0	0	1	1	0	1	4	0	2	1	0	2	0
f	3	3	0	0	0	1	41	0	0	0	3	1	14	0	0	0	0	0	2	0	0	2	3	0	10	3	2	11	6	0	0	0
fits	0	0	5	2	0	0	5	62	7	1	0	0	0	0	0	0	2	1	0	0	0	0	1	3	0	1	0	0	1	1	0	1
gif	0	0	2	0	2	0	0	2	58	4	0	0	0	1	0	3	11	3	0	0	5	0	0	1	0	1	0	0	1	0	0	1
gz	0	0	0	0	9	0	0	0	16	29	0	0	0	3	0	10	7	3	1	0	9	0	0	0	0	0	0	0	0	0	0	11
hlp	0	0	0	0	0	0	8	4	0	0	62	0	13	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	9	0	0	0
html	2	0	0	0	0	1	3	3	0	0	1	7	7	0	14	0	3	0	0	0	0	5	0	0	18	0	0	1	12	0	21	0
java	1	0	0	0	0	0	4	0	0	0	3	0	78	0	1	0	0	0	0	0	0	1	3	0	9	0	0	0	1	0	2	0
jpg	0	0	0	0	12	0	0	2	20	11	0	0	0	3	0	9	11	3	0	0	5	0	0	0	0	1	0	0	1	1	0	15
kml	0	0	0	0	0	0	0	0	0	0	0	2	1	0	75	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	18	0
kmz	0	0	0	3	0	0	0	1	10	15	0	0	0	6	0	25	9	2	0	0	9	0	0	2	0	1	1	0	0	0	0	19
pdf	1	0	2	1	4	3	0	2	9	8	0	0	0	1	3	10	22	2	0	0	5	0	0	0	0	5	0	1	0	1	2	12
png	0	0	0	2	5	0	0	1	22	11	0	0	0	3	0	17	7	6	2	0	8	0	0	3	0	3	0	0	0	0	0	11
pps	0	0	11	4	4	0	0	6	11	16	0	0	0	1	0	2	4	6	0	6	4	0	0	1	0	0	0	0	1	3	0	17
ppt	1	0	18	2	5	1	0	2	11	10	1	0	0	5	0	9	7	2	1	12	4	1	0	2	0	1	1	0	0	1	0	11
pptx	0	0	2	5	7	0	0	0	18	18	0	0	0	3	0	7	20	1	0	0	7	0	0	0	0	1	0	0	0	4	0	9
rtf	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	77	1	0	5	1	0	2	5	1	1	0
sql	2	1	0	0	0	0	8	3	0	0	1	0	14	0	0	0	0	0	0	0	0	0	48	0	5	2	3	2	3	0	4	0
swf	0	0	2	4	4	0	0	3	29	11	0	0	0	5	0	8	4	5	2	0	7	0	0	4	0	0	0	0	0	2	0	13
tex	1	0	0	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	0	0	5	0	0	48	0	1	2	3	0	16	0
text	1	0	3	1	0	2	10	4	6	3	1	0	5	0	0	2	3	2	0	0	4	3	6	0	8	8	2	16	9	0	2	3
tmp	1	0	2	0	0	17	2	1	0	0	2	2	8	0	2	0	0	0	0	0	0	6	2	0	6	0	20	16	1	0	10	0
txt	8	4	0	0	0	4	7	5	0	0	2	0	8	0	2	0	1	0	0	0	0	0	2	0	12	4	0	27	16	2	1	0
unk	1	3	4	2	0	1	11	9	1	1	6	4	13	1	0	1	0	1	0	1	0	3	0	0	12	8	1	5	6	1	1	0
wp	0	0	7	2	0	0	5	2	1	0	3	1	4	0	0	0	0	0	1	1	0	1	0	2	5	3	1	5	10	51	0	0
xml	0	0	0	0	0	1	2	0	0	0	1	3	11	0	8	0	1	0	0	0	0	5	0	0	13	0	1	1	4	0	44	0
zip	0	0	0	2	10	0	0	2	8	18	0	0	0	4	0	11	7	2	0	0	9	0	0	0	0	0	0	0	0	0	0	18
