True	csv	dbase3	doc	docx	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	pdf	png	pps	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	77	2	0	0	0	5	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	1	3	2	2	0	0	0	0
dbase3	0	97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
doc	0	0	62	2	0	0	1	1	0	1	0	1	1	0	1	0	0	2	1	0	1	3	1	0	1	0	0	0	5	6	7	2	2
docx	0	0	4	32	0	0	0	5	1	0	0	0	1	0	8	0	13	3	10	0	0	0	4	0	0	0	0	0	1	2	0	0	16
eps	10	0	0	0	28	1	1	0	0	0	1	6	0	0	0	2	0	0	0	37	1	3	0	1	0	0	0	6	0	1	0	2	0
f	1	0	0	0	1	40	0	0	0	4	2	20	0	0	0	0	0	0	0	0	0	3	0	0	0	1	9	13	5	5	0	0	0
fits	0	2	5	1	1	6	38	8	0	3	0	0	0	0	0	4	1	0	2	1	0	0	3	0	1	0	0	8	6	5	2	0	2
gif	0	0	0	4	0	0	0	59	1	0	0	0	1	0	4	0	5	3	6	0	0	0	7	0	0	0	0	0	0	0	0	0	10
gz	0	0	0	9	0	0	0	19	9	0	0	0	5	0	15	1	9	9	8	0	0	0	2	0	0	0	0	0	0	0	0	0	8
hlp	0	0	0	0	0	4	0	0	0	79	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	4	0	0	0
html	1	1	0	0	0	1	0	0	0	1	21	14	0	8	0	1	0	0	0	0	5	2	0	6	0	0	1	0	10	5	0	22	0
java	0	0	0	0	1	8	0	0	0	4	2	78	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	2	0	0	3	0
jpg	0	0	0	21	1	0	1	20	1	0	0	0	3	2	7	1	7	3	11	0	0	0	4	0	0	0	0	0	4	1	1	0	17
kml	2	0	0	0	0	0	0	0	0	0	2	1	0	77	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	11	0
kmz	0	0	0	13	0	0	0	13	2	0	0	0	1	0	25	0	8	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	19
pdf	0	0	0	14	1	0	0	13	3	0	1	1	0	3	4	20	6	3	10	7	0	0	4	0	0	0	0	0	1	0	0	1	10
png	0	0	0	15	0	0	0	39	0	0	0	0	0	0	9	0	10	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	16
pps	0	0	2	11	0	1	1	15	1	0	0	0	1	0	9	1	5	8	8	0	0	0	4	0	1	0	0	0	0	3	5	0	22
pptx	0	0	0	14	0	0	0	15	0	0	0	0	3	0	8	0	6	5	21	0	0	0	8	0	0	0	0	0	1	3	0	1	17
ps	5	0	0	0	16	1	0	4	0	0	0	6	0	0	0	4	1	0	0	47	3	0	0	1	0	2	4	2	0	0	0	1	0
rtf	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	78	1	0	2	0	0	0	0	1	7	2	1	0
sql	1	1	1	0	0	12	0	0	0	3	0	14	0	0	0	0	0	0	0	1	0	55	0	0	0	3	3	0	1	3	0	1	1
swf	0	0	5	10	0	0	0	16	0	0	0	0	5	0	8	1	9	2	8	0	0	0	14	0	0	0	0	0	0	3	2	0	18
tex	0	0	0	0	1	0	0	0	0	6	2	24	0	0	0	0	0	0	0	0	2	3	0	42	0	1	0	0	5	10	0	4	0
text	2	0	11	1	1	7	1	2	0	2	0	2	0	2	3	1	1	0	2	2	1	1	2	4	4	1	2	13	7	16	5	0	4
tmp	7	2	6	0	0	3	0	0	0	1	5	8	0	4	0	0	0	0	0	9	0	12	0	3	0	11	1	5	1	1	2	14	0
troff	1	0	0	0	1	9	0	0	0	0	2	27	0	0	0	0	0	0	0	4	0	2	0	1	0	1	33	2	7	8	0	1	0
txt	7	0	0	0	2	5	0	0	0	6	1	3	0	0	0	1	0	0	0	3	0	3	0	2	1	0	4	35	8	17	0	1	0
unk	0	2	3	1	0	13	0	3	0	4	1	11	0	0	2	0	0	4	2	2	0	0	2	4	2	1	2	6	24	8	0	3	2
wp	0	0	6	0	0	0	1	1	0	0	0	4	0	0	0	0	0	3	0	0	0	1	1	0	0	0	3	0	3	72	2	0	0
xls	0	0	37	0	2	0	0	0	0	1	1	1	1	1	1	0	0	0	2	0	0	1	1	0	0	0	2	1	1	7	46	0	0
xml	1	0	0	0	2	1	0	0	0	0	11	14	0	12	0	1	0	0	0	0	4	1	0	2	0	0	2	0	7	4	0	44	0
zip	0	0	0	18	0	0	0	10	2	0	0	0	4	0	13	0	7	5	5	0	0	0	5	0	0	0	0	0	0	0	0	0	28
