True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	html	java	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	85	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	5	2	1	0	0	0	1	0
dbase3	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
doc	1	0	24	2	2	0	2	0	1	2	0	0	0	1	0	0	0	0	10	5	0	0	0	1	9	0	0	2	3	1	3	29	1	2
docx	0	0	4	13	2	0	0	0	11	12	0	0	0	8	0	2	24	1	1	12	0	0	0	2	0	0	0	0	0	0	0	0	0	7
dwf	0	0	0	11	11	0	0	1	11	12	0	0	0	6	0	0	8	0	1	15	0	0	1	7	0	0	0	0	0	0	0	0	0	19
eps	1	1	0	0	0	53	0	1	0	0	1	3	0	0	2	2	0	0	0	0	28	2	1	0	0	0	0	3	1	0	0	1	0	0
f	0	4	0	0	0	2	25	2	0	0	0	17	1	0	5	0	0	0	0	0	0	0	9	0	8	0	2	10	10	3	3	0	1	0
fits	0	3	0	2	3	1	3	57	3	1	0	1	0	0	0	2	0	2	0	0	4	0	3	0	1	2	0	2	0	3	2	5	0	2
gif	0	0	2	7	7	0	0	1	52	3	0	0	0	5	0	1	11	0	0	10	0	0	0	1	0	0	0	0	0	0	1	0	0	4
gz	0	0	0	8	3	0	0	0	8	28	0	0	0	4	0	3	11	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	16
html	2	0	0	1	0	0	1	0	0	0	31	5	8	0	5	0	0	0	0	0	0	2	3	0	23	0	2	3	3	0	2	0	12	0
java	0	0	0	0	0	0	0	0	0	0	1	72	0	0	0	0	0	0	0	0	0	0	5	0	12	0	1	0	2	1	0	0	4	0
kml	0	0	0	0	0	2	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	4	0	0	2	5	0
kmz	0	0	1	6	4	0	0	0	9	23	0	0	0	13	0	3	18	0	0	7	0	0	0	2	0	0	1	0	0	0	0	0	0	18
log	1	0	0	0	0	0	4	2	0	0	3	4	4	0	28	0	0	0	0	0	2	2	5	0	15	0	10	6	2	2	1	0	7	0
pdf	1	0	1	6	1	3	0	1	5	12	0	0	2	5	0	17	12	1	0	11	1	2	0	3	1	0	1	1	0	0	0	1	1	6
png	0	0	0	11	15	0	0	0	13	15	0	0	0	7	0	3	16	0	0	16	0	0	0	1	0	0	0	0	0	0	1	0	0	7
pps	0	0	5	6	5	0	0	1	11	10	0	0	0	1	0	2	17	3	9	8	0	0	1	1	0	1	0	0	0	0	1	11	1	5
ppt	0	0	3	14	4	0	0	1	10	11	0	0	0	3	0	1	13	0	9	5	0	1	0	0	0	0	0	0	0	0	2	14	0	6
pptx	0	0	0	12	10	0	0	0	9	19	0	0	1	9	0	1	9	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	18
ps	2	0	0	0	0	31	0	0	0	0	1	1	2	1	3	4	1	0	0	0	43	5	0	0	2	0	2	4	0	0	0	0	0	0
rtf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	68	0	0	14	0	0	5	2	1	1	0	1	0
sql	0	0	0	0	0	0	9	0	0	0	1	5	0	0	2	0	0	0	0	0	0	0	67	0	3	0	3	6	2	0	1	0	4	0
swf	0	0	0	5	7	0	0	1	11	16	0	0	0	3	0	0	11	0	2	11	0	0	0	11	0	0	0	0	0	0	3	7	0	8
tex	5	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	0	71	0	3	5	3	0	2	0	2	0
text	2	2	6	2	0	3	3	1	5	5	0	3	0	0	0	1	6	0	3	3	2	0	2	2	8	9	1	5	13	5	3	4	0	2
tmp	1	0	0	0	0	1	3	0	0	0	3	6	1	0	13	0	0	0	0	0	1	3	4	0	6	0	45	4	1	0	0	1	8	0
troff	2	1	0	0	0	1	7	0	0	0	2	8	0	0	5	0	0	0	0	0	3	1	10	0	9	0	2	47	1	1	0	0	0	0
txt	10	0	0	0	0	3	9	3	0	0	1	7	1	0	4	0	0	0	0	0	0	0	3	0	12	4	5	9	26	2	5	0	0	0
unk	1	3	4	0	1	1	13	5	0	2	3	6	0	0	0	0	0	0	2	2	0	2	7	0	22	2	0	2	5	4	6	3	2	1
wp	0	0	1	1	0	0	2	1	2	0	0	3	0	0	0	0	0	1	5	2	0	1	1	1	5	0	0	2	6	1	54	10	0	0
xls	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	4	0	0	4	83	0	1
xml	0	0	0	0	0	0	0	0	0	0	5	7	23	0	5	0	0	0	0	0	1	0	1	0	13	0	3	0	2	1	0	0	41	0
zip	0	0	0	9	14	0	0	0	6	12	0	0	0	5	0	1	10	0	0	16	0	0	0	6	0	0	0	0	0	0	0	0	0	17
