True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	74	0	0	0	0	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	4	8	0	0	0	3	0
dbase3	0	95	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
doc	0	0	28	0	2	0	0	0	2	3	0	0	0	0	2	0	0	1	0	3	2	0	0	1	0	0	1	0	0	4	0	17	22	0	11
docx	0	0	4	10	3	0	0	0	4	8	0	0	0	0	7	0	0	9	0	0	2	0	0	0	4	0	1	0	0	0	0	3	5	0	36
dwf	0	0	0	4	2	0	0	3	13	5	0	0	0	0	11	0	1	5	1	0	1	0	0	0	6	0	0	0	0	0	0	1	0	0	47
eps	0	0	0	0	0	40	0	1	0	0	0	0	0	0	0	6	1	0	0	0	0	27	1	0	0	2	0	1	0	15	0	3	1	2	0
f	5	3	0	0	0	1	33	3	0	0	2	4	8	0	0	5	0	0	0	0	0	0	0	5	0	2	2	3	2	11	0	10	0	1	0
fits	0	1	0	0	0	0	1	73	2	1	0	0	0	0	1	0	1	2	2	0	0	2	1	0	0	0	1	0	0	0	0	3	7	0	7
gif	0	0	3	1	2	0	0	0	51	2	0	0	0	0	6	0	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24
gz	0	0	0	1	3	0	0	0	6	17	0	0	0	0	12	0	0	11	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	48
hlp	0	0	0	0	0	0	10	0	0	0	66	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	4	1	7	0	0	0
html	1	2	0	0	0	0	2	0	0	0	0	24	4	6	0	7	0	0	0	0	0	0	0	1	0	0	0	4	2	3	3	4	0	37	0
java	0	0	0	0	0	0	12	2	0	0	4	4	55	0	0	4	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	4	0	9	0
kml	0	0	0	0	0	0	0	0	0	0	0	4	0	78	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	1	14	0
kmz	0	0	3	0	1	0	0	0	9	13	0	0	0	0	24	0	1	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	42
log	5	0	0	0	0	0	4	0	0	0	1	7	3	8	0	30	2	0	0	0	0	3	2	4	0	2	0	6	0	6	0	4	0	12	0
pdf	0	0	0	0	2	0	0	1	12	7	0	0	0	1	7	0	13	6	2	0	2	10	2	0	3	0	0	1	0	1	0	0	0	1	29
png	0	0	0	0	3	0	0	0	16	7	0	0	0	0	9	0	0	17	2	0	1	0	0	0	5	0	0	0	0	0	0	2	0	0	38
pps	0	0	5	1	5	0	1	1	5	7	0	0	0	0	6	0	0	10	0	2	1	0	0	0	2	0	1	0	0	0	0	1	11	0	39
ppt	0	0	8	0	5	0	0	1	8	8	0	0	0	0	10	0	0	7	1	4	4	0	0	0	4	0	1	0	0	0	0	3	10	0	27
pptx	0	0	0	6	5	0	0	2	9	11	0	0	0	0	14	0	1	10	1	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	38
ps	2	0	0	0	0	8	0	1	0	0	0	0	5	2	0	4	0	0	0	0	0	60	2	0	0	0	0	0	1	8	0	1	0	1	2
rtf	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	76	1	0	4	0	0	0	2	1	9	0	0	0
sql	2	1	0	0	0	0	13	0	0	0	4	2	4	0	0	4	1	0	0	0	0	0	0	46	0	2	2	0	4	9	1	4	0	3	1
swf	0	0	0	1	4	0	0	0	12	7	0	0	0	0	7	0	0	4	1	1	2	0	0	0	11	0	1	0	0	1	0	7	3	0	41
tex	0	0	0	0	0	0	2	0	0	0	4	6	9	0	0	5	0	0	0	0	0	3	1	1	0	41	0	1	0	2	0	13	0	13	0
text	1	1	6	1	0	0	5	3	3	3	0	2	1	0	2	4	0	1	0	1	1	3	0	0	0	2	5	0	4	19	1	13	3	0	12
tmp	1	0	5	0	0	0	1	1	0	0	0	7	1	1	0	18	0	0	0	0	0	6	2	5	0	1	0	18	0	19	0	1	1	11	0
troff	9	3	0	0	0	0	13	0	0	0	1	2	4	0	0	5	0	0	0	0	0	6	0	3	0	0	1	3	38	5	0	6	1	0	0
txt	6	6	0	0	0	0	10	1	0	0	2	7	0	2	0	5	0	0	0	0	0	2	0	3	0	1	0	0	6	24	2	21	0	0	0
unk	3	2	5	0	0	0	15	13	4	1	4	5	7	0	2	2	0	0	1	1	0	1	0	2	0	0	4	0	2	8	2	8	3	5	3
wp	0	0	6	0	0	0	3	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	73	5	1	0
xls	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	3	1	0	0	1	0	0	0	0	1	0	1	10	75	0	1
xml	0	0	0	0	0	0	4	0	0	0	1	4	4	18	0	4	0	0	0	0	0	0	2	1	0	2	0	0	0	1	0	5	0	52	0
zip	0	0	0	0	4	0	0	1	6	13	0	0	0	0	11	0	0	8	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	53
