True	csv	doc	dwf	eps	gif	gz	hlp	kml	log	pptx	troff	txt	unk	wp
csv	75	0	0	2	0	0	0	0	5	0	5	3	5	0
doc	0	57	0	0	3	15	0	0	1	5	1	2	9	5
dwf	0	0	1	0	19	65	0	0	0	16	0	0	0	0
eps	3	1	0	64	0	2	1	3	10	0	3	9	3	1
gif	0	1	3	0	56	32	0	0	0	9	0	0	0	0
gz	0	0	2	0	9	64	0	0	0	12	0	0	0	0
hlp	0	0	0	1	0	0	71	0	4	0	3	8	13	0
kml	0	0	0	0	0	0	0	92	8	0	3	1	0	0
log	0	1	0	3	0	0	0	11	63	0	6	6	9	0
pptx	0	7	6	0	9	66	0	0	0	19	0	0	0	4
troff	5	0	0	2	0	0	5	0	10	0	59	7	10	2
txt	8	5	0	4	0	0	3	2	13	0	5	29	30	3
unk	0	15	0	2	3	5	7	2	11	0	7	11	31	6
wp	0	10	0	0	3	0	0	0	2	1	1	0	10	75
