True	dbase3	doc	docx	f	fits	gz	kml	kmz	log	pdf	png	ps	tmp	txt	unk
dbase3	99	0	0	0	0	0	0	0	0	0	0	1	0	0	0
doc	0	58	2	2	1	7	1	6	3	1	5	0	1	5	11
docx	0	7	26	0	3	15	0	18	0	1	26	0	0	0	2
f	1	1	0	45	5	0	1	0	12	0	0	4	1	21	10
fits	0	12	0	2	70	1	0	2	2	1	5	0	0	0	9
gz	0	0	9	0	0	43	0	12	0	0	28	0	0	0	0
kml	0	0	0	0	0	0	93	0	3	0	0	0	0	1	0
kmz	0	1	9	0	1	33	0	32	0	1	26	0	0	0	0
log	1	0	0	4	0	0	5	0	69	0	0	2	3	11	7
pdf	0	0	8	0	4	19	0	13	1	20	27	8	0	0	0
png	0	1	23	0	1	18	0	9	0	1	46	0	1	0	0
ps	0	1	1	0	0	0	0	1	3	3	1	86	0	0	1
tmp	0	4	0	3	0	0	4	0	39	2	0	5	26	16	3
txt	2	5	0	8	2	0	2	0	6	1	0	2	0	64	11
unk	1	10	2	12	8	4	2	0	10	0	6	4	1	23	15
