True	doc	docx	f	html	jpg	png	pps	pptx	swf	tex	tmp	txt	unk	xls	xml	zip
doc	28	1	2	2	3	2	3	5	6	1	3	3	9	28	0	3
docx	3	16	0	0	9	13	0	32	14	0	0	0	0	1	0	12
f	1	0	64	6	0	0	0	0	0	3	4	4	7	0	1	0
html	0	0	2	47	0	0	0	0	0	5	5	6	10	0	24	0
jpg	1	1	0	0	23	4	2	40	15	0	0	0	1	1	0	15
png	0	7	0	0	13	15	0	26	18	0	1	0	0	0	0	11
pps	11	0	2	0	11	8	3	30	11	0	1	0	0	14	0	16
pptx	0	5	0	0	14	9	0	40	15	0	0	0	0	2	0	17
swf	0	2	0	0	11	5	0	19	44	0	0	0	0	0	0	13
tex	0	0	3	0	0	0	0	0	0	73	10	4	9	0	2	0
tmp	0	0	7	10	0	0	0	0	0	9	63	6	5	0	3	0
txt	0	0	19	3	0	0	0	0	0	12	15	41	20	0	0	0
unk	4	0	12	6	0	0	3	4	4	11	9	11	40	3	3	0
xls	7	0	1	1	0	0	1	1	2	0	2	0	3	75	0	0
xml	0	0	1	12	0	0	0	0	0	3	3	0	10	0	65	0
zip	0	1	0	0	21	7	0	33	14	0	0	0	0	0	0	28
