True	doc	hlp	jpg	kml	kmz	log	png	ps	rtf	swf	troff	txt	unk	wp	xls	xml	zip
doc	52	0	1	0	3	0	4	1	0	3	4	0	3	9	16	3	0
hlp	0	73	0	0	0	3	0	0	0	0	11	1	4	8	0	1	0
jpg	0	0	16	0	17	0	36	0	0	7	0	0	1	0	0	0	16
kml	0	0	0	65	0	5	0	0	0	0	2	7	0	1	0	20	0
kmz	0	0	11	0	39	0	39	0	0	6	0	0	0	0	0	0	10
log	2	1	0	4	0	59	0	2	0	0	8	11	1	0	0	12	0
png	0	0	3	0	15	0	67	0	0	14	0	0	0	0	0	0	11
ps	0	0	0	1	1	12	0	77	0	0	3	4	2	0	0	2	0
rtf	0	1	0	0	0	2	0	7	68	0	1	3	7	6	0	5	0
swf	0	0	5	0	11	0	33	0	1	26	0	0	1	7	4	0	11
troff	1	0	0	0	0	12	0	0	0	0	62	1	6	7	1	1	0
txt	0	8	0	3	0	10	0	1	0	0	19	46	13	15	0	3	0
unk	4	3	1	1	3	10	6	3	0	2	13	7	18	20	4	9	1
wp	1	0	0	0	0	2	1	0	0	1	2	0	3	71	10	1	0
xls	35	0	0	0	1	0	3	0	0	0	4	0	1	6	44	1	0
xml	0	2	0	7	0	16	0	0	0	0	0	3	1	5	0	62	0
zip	0	0	13	0	16	0	38	0	0	7	0	0	0	0	0	0	20
